Name,URL,Query,Rating,Reviews,Phone,Address,Website
Elixr Coffee Roasters,https://www.google.com/maps/place/Elixr+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c625546f5fe1:0x94adb27329b4a173!8m2!3d39.9493231!4d-75.1667136!16s%2Fg%2F1v8x34b4!19sChIJ4V9vVCXGxokRc6G0KXOyrZQ?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,1557,+1 239-404-1730,"207 S Sydenham St, Philadelphia, PA 19102, United States",elixrcoffee.com
Menagerie Coffee,https://www.google.com/maps/place/Menagerie+Coffee/data=!4m7!3m6!1s0x89c6c88454ae1d0f:0x7aef391b9c8d4939!8m2!3d39.9496924!4d-75.1459389!16s%2Fg%2F12qgvq_51!19sChIJDx2uVITIxokROUmNnBs573o?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,697,-,"18 S 3rd St, Philadelphia, PA 19106, United States",menageriecoffee.com
Habitat Coffee House,https://www.google.com/maps/place/Habitat+Coffee+House/data=!4m7!3m6!1s0x89c6c6266367594f:0x32a78d0a37a64aeb!8m2!3d39.9464654!4d-75.1596387!16s%2Fg%2F1jkyw5cbk!19sChIJT1lnYybGxokR60qmNwqNpzI?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,570,+1 267-284-0675,"1101 Spruce St, Philadelphia, PA 19107, United States",habitat.coffee
Old City Coffee,https://www.google.com/maps/place/Old+City+Coffee/data=!4m7!3m6!1s0x89c6c885c6f2aeb7:0xfa0fdf322e47ff36!8m2!3d39.95079!4d-75.144829!16s%2Fg%2F1vxvjtmh!19sChIJt67yxoXIxokRNv9HLjLfD_o?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.5,436,+1 215-629-9292,"221 Church St, Philadelphia, PA 19106, United States",oldcitycoffee.com
Shot Tower Coffee,https://www.google.com/maps/place/Shot+Tower+Coffee/data=!4m7!3m6!1s0x89c6c8a01f16f605:0x7219ad6850e109fb!8m2!3d39.9376137!4d-75.1532186!16s%2Fg%2F1vlzc9z_!19sChIJBfYWH6DIxokR-wnhUGitGXI?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.7,323,+1 215-205-3835,"542 Christian St, Philadelphia, PA 19147, United States",shot-tower-coffee.square.site
Persimmon Coffee,https://www.google.com/maps/place/Persimmon+Coffee/data=!4m7!3m6!1s0x89c6c7cc2af42b5d:0x86d9d06a9a630462!8m2!3d39.9689063!4d-75.1348704!16s%2Fg%2F11qszc5ggz!19sChIJXSv0KszHxokRYgRjmmrQ2YY?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.9,167,+1 267-314-7903,"11 W Girard Ave, Philadelphia, PA 19123, United States",persimmoncoffee.com
Peddler Coffee,https://www.google.com/maps/place/Peddler+Coffee/data=!4m7!3m6!1s0x89c6c634ff2c2a5b:0xcb1c696f799723a3!8m2!3d39.9582476!4d-75.1742331!16s%2Fg%2F11b7cb_lp8!19sChIJWyos_zTGxokRoyOXeW9pHMs?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,375,-,"2100 Spring St, Philadelphia, PA 19103, United States",peddlercoffee.com
Nook Bakery & Coffee Bar,https://www.google.com/maps/place/Nook+Bakery+%26+Coffee+Bar/data=!4m7!3m6!1s0x89c6c636df625aad:0xbd8c7bb9ea157d94!8m2!3d39.9527109!4d-75.1732272!16s%2Fg%2F1thlp0kw!19sChIJrVpi3zbGxokRlH0V6rl7jL0?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.7,342,+1 215-496-9033,"15 S 20th St, Philadelphia, PA 19103, United States",nookbakeryandcoffee.com
Herman's Coffee,https://www.google.com/maps/place/Herman%27s+Coffee/data=!4m7!3m6!1s0x89c6c8a6bb926901:0xd5f28b4ca3f3f391!8m2!3d39.9313758!4d-75.1497382!16s%2Fg%2F11fxvyn3j1!19sChIJAWmSu6bIxokRkfPzo0yL8tU?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.8,424,-,"1313 S 3rd St, Philadelphia, PA 19147, United States",hermanscoffee.com
Elixr Coffee Roasters,https://www.google.com/maps/place/Elixr+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c784876f8db9:0xd93c0122f3f0d026!8m2!3d39.9582804!4d-75.1583082!16s%2Fg%2F11f7r0mc7n!19sChIJuY1vh4THxokRJtDw8yIBPNk?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,315,+1 239-404-1730,"315 N 12th St, Philadelphia, PA 19107, United States",elixrcoffee.com
Rally Coffee,https://www.google.com/maps/place/Rally+Coffee/data=!4m7!3m6!1s0x89c6c89e24d452af:0x83287392afe7f84e!8m2!3d39.9412553!4d-75.1539819!16s%2Fg%2F11cm4fcvb6!19sChIJr1LUJJ7IxokRTvjnr5JzKIM?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,214,+1 215-925-3657,"701 S 7th St, Philadelphia, PA 19147, United States",heyrally.com
La Colombe Coffee Roasters,https://www.google.com/maps/place/La+Colombe+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c86bcfab7759:0x932bd2e5fbb5e792!8m2!3d39.971241!4d-75.134027!16s%2Fg%2F11b66f8lc9!19sChIJWXerz2vIxokRkue1--XSK5M?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,1875,+1 267-479-1600,"1335 Frankford Ave, Philadelphia, PA 19125, United States",lacolombe.com
"The Ground Coffee, Plants & Gifts","https://www.google.com/maps/place/The+Ground+Coffee,+Plants+%26+Gifts/data=!4m7!3m6!1s0x89c6c9cc31ff9543:0x3b82e0030bacd449!8m2!3d39.980749!4d-75.1372806!16s%2Fg%2F11sw_lrrn0!19sChIJQ5X_MczJxokRSdSsCwPggjs?authuser=0&hl=en&rclk=1",Coffee shops in Philadelphia Pennsylvania,4.8,131,+1 215-867-4581,"2000 N 2nd St C-1, Philadelphia, PA 19122, United States",thegroundcpg.com
La Colombe Coffee Roasters,https://www.google.com/maps/place/La+Colombe+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c6375294832f:0x89ba9b4d7b43b759!8m2!3d39.9507564!4d-75.1723193!16s%2Fg%2F1hc0vlp2h!19sChIJL4OUUjfGxokRWbdDe02buok?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,1140,+1 215-563-0860,"130 S 19th St, Philadelphia, PA 19103, United States",lacolombe.com
Vernick Coffee Bar,https://www.google.com/maps/place/Vernick+Coffee+Bar/data=!4m7!3m6!1s0x89c6c7854e8410a5:0x45457487feb42866!8m2!3d39.9549479!4d-75.1700747!16s%2Fg%2F11gr6y_j9z!19sChIJpRCEToXHxokRZii0_od0RUU?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.4,189,+1 215-419-5052,"lobby, Comcast Technology Center, 1800 Arch St 2nd floor, Philadelphia, PA 19103, United States",vernickcoffeebar.com
Alchemy Coffee,https://www.google.com/maps/place/Alchemy+Coffee/data=!4m7!3m6!1s0x89c6c75037c29c3d:0x8a47d505df7dd559!8m2!3d39.9511237!4d-75.1755163!16s%2Fg%2F11qg0qyh2f!19sChIJPZzCN1DHxokRWdV93wXVR4o?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.5,184,-,"119 S 21st St, Philadelphia, PA 19103, United States",alchemycoffeephilly.com
La Colombe Coffee Roasters,https://www.google.com/maps/place/La+Colombe+Coffee+Roasters/data=!4m7!3m6!1s0x89c6c6375294832f:0x4aa2df52eca4072e!8m2!3d39.9515479!4d-75.1650513!16s%2Fg%2F1tn4z3cl!19sChIJL4OUUjfGxokRLgek7FLfoko?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.5,1298,+1 215-977-7770,"1414 S Penn Square, Philadelphia, PA 19102, United States",lacolombe.com
Grindcore House,https://www.google.com/maps/place/Grindcore+House/data=!4m7!3m6!1s0x89c6c8a7b41aac8f:0x2087ef4484b9c3a7!8m2!3d39.9290368!4d-75.151876!16s%2Fg%2F1vk6_5ry!19sChIJj6watKfIxokRp8O5hETvhyA?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.7,655,+1 215-839-3333,"1515 S 4th St, Philadelphia, PA 19147, United States",grindcorehouse.com
Vibrant Coffee Roasters & Bakery,https://www.google.com/maps/place/Vibrant+Coffee+Roasters+%26+Bakery/data=!4m7!3m6!1s0x89c6c7bb51a7a9f1:0xa8d61e89b02d7799!8m2!3d39.9491835!4d-75.1733603!16s%2Fg%2F11g0lh0z_b!19sChIJ8amnUbvHxokRmXctsIke1qg?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.6,212,+1 267-534-3608,"222 W Rittenhouse Square 1st Floor, Philadelphia, PA 19103, United States",vibrantcoffeeroasters.com
Coffee Cream & Dreams,https://www.google.com/maps/place/Coffee+Cream+%26+Dreams/data=!4m7!3m6!1s0x89c6c71a70d0e4cb:0x62567963f4c8adae!8m2!3d39.9669063!4d-75.1620478!16s%2Fg%2F11h4_f1zvv!19sChIJy-TQcBrHxokRrq3I9GN5VmI?authuser=0&hl=en&rclk=1,Coffee shops in Philadelphia Pennsylvania,4.9,230,+1 267-225-7602,"1436 Fairmount Ave, Philadelphia, PA 19130, United States",coffeecreamanddreams.com
