Name,URL,Query,Rating,Reviews,Phone,Address,Website
JoJo Coffeehouse Breakfast & Brunch,https://www.google.com/maps/place/JoJo+Coffeehouse+Breakfast+%26+Brunch/data=!4m7!3m6!1s0x872b0b3c37298d37:0x15c76d04c2809781!8m2!3d33.4906907!4d-111.9263989!16s%2Fg%2F11fj7hy0p8!19sChIJN40pNzwLK4cRgZeAwgRtxxU?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.3,1249,+1 480-907-6100,"3712 N Scottsdale Rd Suite 110, Scottsdale, AZ 85251, United States",jojocoffeehouse.com
The Garden Coffee,https://www.google.com/maps/place/The+Garden+Coffee/data=!4m7!3m6!1s0x872b71b0450b9a5b:0x6bc2efea54513e45!8m2!3d33.6399436!4d-112.027228!16s%2Fg%2F11whnprbfw!19sChIJW5oLRbBxK4cRRT5RVOrvwms?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,0.0,0,-,"2535 E Bell Rd ste 7, Phoenix, AZ 85032, United States",-
Window Coffee Bar,https://www.google.com/maps/place/Window+Coffee+Bar/data=!4m7!3m6!1s0x872b13d0b8dd2199:0xace9d85c9946f792!8m2!3d33.5089201!4d-112.0849057!16s%2Fg%2F11pxgy5cbn!19sChIJmSHduNATK4cRkvdGmVzY6aw?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.9,465,+1 480-307-4405,"903 W Camelback Rd, Phoenix, AZ 85013, United States",windowcoffeebar.com
Tres Leches Café,https://www.google.com/maps/place/Tres+Leches+Caf%C3%A9/data=!4m7!3m6!1s0x872b12ba2d7c61b1:0xe84c1c45d514ced2!8m2!3d33.451478!4d-112.0964941!16s%2Fg%2F11c3v6yxky!19sChIJsWF8LboSK4cR0s4U1UUcTOg?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.7,1874,+1 602-368-1804,"1714 W Van Buren St, Phoenix, AZ 85007, United States",treslechesaz.com
Lola Coffee,https://www.google.com/maps/place/Lola+Coffee/data=!4m7!3m6!1s0x872b123bff81964d:0xc70c38f4f2e313ac!8m2!3d33.4587994!4d-112.0774034!16s%2Fg%2F1vjdqjg0!19sChIJTZaB_zsSK4cRrBPj8vQ4DMc?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,927,+1 602-252-2265,"1001 N 3rd Ave #6, Phoenix, AZ 85003, United States",lolacoffeebarphx.com
Copper Star Coffee,https://www.google.com/maps/place/Copper+Star+Coffee/data=!4m7!3m6!1s0x872b12e57ba3b6cf:0x60bba321288105c7!8m2!3d33.4974627!4d-112.0838836!16s%2Fg%2F1tfbtbqz!19sChIJz7aje-USK4cRxwWBKCGju2A?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.7,1654,+1 602-266-2136,"4220 N 7th Ave, Phoenix, AZ 85013, United States",copperstarcoffee.com
"Songbird Coffee & Tea House - Phoenix, AZ","https://www.google.com/maps/place/Songbird+Coffee+%26+Tea+House+-+Phoenix,+AZ/data=!4m7!3m6!1s0x872b12163bf7661b:0x968bf8b4d61af5b3!8m2!3d33.4570297!4d-112.0702026!16s%2Fg%2F119v0htqy!19sChIJG2b3OxYSK4cRs_Ua1rT4i5Y?authuser=0&hl=en&rclk=1",Coffee shops in Phoenix Arizona,4.7,942,+1 602-374-4192,"812 N 3rd St Ac, Phoenix, AZ 85004, United States",songbirdcoffeehouse.com
Fillmore Coffee Co.,https://www.google.com/maps/place/Fillmore+Coffee+Co./data=!4m7!3m6!1s0x872b12182f0daa75:0x65a0214d08b051e0!8m2!3d33.4546204!4d-112.0690138!16s%2Fg%2F11c585bkfp!19sChIJdaoNLxgSK4cR4FGwCE0hoGU?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.6,530,+1 602-606-2426,"600 N 4th St, Phoenix, AZ 85004, United States",fillmorecoffeeco.com
"Jobot Coffee, Breakfast and Pizzeria","https://www.google.com/maps/place/Jobot+Coffee,+Breakfast+and+Pizzeria/data=!4m7!3m6!1s0x872b1216fd415379:0x3764c7087cd8d21b!8m2!3d33.4584535!4d-112.0696776!16s%2Fg%2F11c6062jyx!19sChIJeVNB_RYSK4cRG9LYfAjHZDc?authuser=0&hl=en&rclk=1",Coffee shops in Phoenix Arizona,4.5,1229,-,"333 E Roosevelt St, Phoenix, AZ 85004, United States",untappd.com
Giant Coffee,https://www.google.com/maps/place/Giant+Coffee/data=!4m7!3m6!1s0x872b1240082855a3:0x5ca216008cab07c5!8m2!3d33.4653647!4d-112.0722099!16s%2Fg%2F1tg2l3rg!19sChIJo1UoCEASK4cRxQerjAAWolw?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.4,501,+1 602-396-7215,"1437 N 1st St, Phoenix, AZ 85004, United States",giantcoffeeaz.com
Xanadu Coffee Co.,https://www.google.com/maps/place/Xanadu+Coffee+Co./data=!4m7!3m6!1s0x872b123d3cba7a41:0xaad0fb55b31ee710!8m2!3d33.4554962!4d-112.0648815!16s%2Fg%2F1td42z3b!19sChIJQXq6PD0SK4cREOces1X70Ko?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.7,312,+1 602-283-4000,"625 N 7th St, Phoenix, AZ 85006, United States",xanaducoffee.com
Lux Central,https://www.google.com/maps/place/Lux+Central/data=!4m7!3m6!1s0x872b12ecf6d5df1f:0x9c94e3196571aa51!8m2!3d33.5004756!4d-112.0741388!16s%2Fg%2F1v2kxxb8!19sChIJH9_V9uwSK4cRUapxZRnjlJw?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,2878,+1 602-327-1396,"4402 N Central Ave, Phoenix, AZ 85012, United States",luxcoffee.com
Cartel Roasting Co.,https://www.google.com/maps/place/Cartel+Roasting+Co./data=!4m7!3m6!1s0x872b1221e8cbb6bb:0xd829b2810270de0e!8m2!3d33.4485!4d-112.072351!16s%2Fg%2F1261zmlg_!19sChIJu7bL6CESK4cRDt5wAoGyKdg?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.3,539,-,"1 N 1st St, Phoenix, AZ 85004, United States",cartelroasting.co
Fair Trade Cafe,https://www.google.com/maps/place/Fair+Trade+Cafe/data=!4m7!3m6!1s0x872b123dd3870023:0xb53c3e62d863c6a3!8m2!3d33.4593921!4d-112.0743347!16s%2Fg%2F1vpq7bxy!19sChIJIwCH0z0SK4cRo8Zj2GI-PLU?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,1019,+1 602-354-8150,"1020 N 1st Ave, Phoenix, AZ 85003, United States",azfairtrade.com
Spce Coffee,https://www.google.com/maps/place/Spce+Coffee/data=!4m7!3m6!1s0x872b0dee38011601:0x7e2949459de830ee!8m2!3d33.4659618!4d-112.0439633!16s%2Fg%2F11pdfwwgc1!19sChIJARYBOO4NK4cR7jDonUVJKX4?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,175,+1 602-527-0213,"1736 E McDowell Rd, Phoenix, AZ 85006, United States",spce.coffee
Dark Hall Coffee,https://www.google.com/maps/place/Dark+Hall+Coffee/data=!4m7!3m6!1s0x872b12f79ac6dc9d:0xad8b7be230c7623d!8m2!3d33.4727633!4d-112.0561346!16s%2Fg%2F11f3737fhs!19sChIJndzGmvcSK4cRPWLHMOJ7i60?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,544,+1 602-277-5507,"2243 N 12th St, Phoenix, AZ 85006, United States",darkhallcoffee.com
Coffee Zona,https://www.google.com/maps/place/Coffee+Zona/data=!4m7!3m6!1s0x872b1387ce3131d1:0xb08a9980d44ce088!8m2!3d33.5133455!4d-112.0653846!16s%2Fg%2F11f5mj8kxb!19sChIJ0TExzocTK4cRiOBM1ICZirA?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.7,313,+1 602-815-5397,"5202 N 7th St, Phoenix, AZ 85014, United States",coffeezona.dine.online
Futuro,https://www.google.com/maps/place/Futuro/data=!4m7!3m6!1s0x872b123d9aa576b1:0xf876a27b2eaa6fde!8m2!3d33.4580881!4d-112.0722905!16s%2Fg%2F11clsf4j5f!19sChIJsXalmj0SK4cR3m-qLnuidvg?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,281,+1 800-537-2191,"909 N 1st St, Phoenix, AZ 85004, United States",futuro2000.co
Esso Coffeehouse,https://www.google.com/maps/place/Esso+Coffeehouse/data=!4m7!3m6!1s0x872b1299810509bb:0x4d92ca100c1ee487!8m2!3d33.5058475!4d-112.0567569!16s%2Fg%2F11hcth20ng!19sChIJuwkFgZkSK4cRh-QeDBDKkk0?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.7,316,+1 480-568-2067,"4700 N 12th St suite 107, Phoenix, AZ 85014, United States",essocoffeeshop.com
Kahvi Coffee and Cafe,https://www.google.com/maps/place/Kahvi+Coffee+and+Cafe/data=!4m7!3m6!1s0x872b13278fe23243:0x8860d244a3778934!8m2!3d33.4588939!4d-112.0704731!16s%2Fg%2F11qq_rph66!19sChIJQzLijycTK4cRNIl3o0TSYIg?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,258,+1 602-441-4759,"214 E Roosevelt St #2, Phoenix, AZ 85004, United States",drinkkahvi.com
Black Cat Coffee House,https://www.google.com/maps/place/Black+Cat+Coffee+House/data=!4m7!3m6!1s0x872b0c5cea37d9d1:0xee3a14cb09c0c792!8m2!3d33.4953171!4d-111.9798574!16s%2Fg%2F1tppsfbf!19sChIJ0dk36lwMK4cRksfACcsUOu4?authuser=0&hl=en&rclk=1,Coffee shops in Phoenix Arizona,4.5,391,+1 602-553-2228,"4730 E Indian School Rd Suite 120, Phoenix, AZ 85018, United States",blackcatcoffeeaz.com
