Name,URL,Query,Rating,Reviews,Phone,Address,Website
Crepeccino Café & Crêperie,https://www.google.com/maps/place/Crepeccino+Caf%C3%A9+%26+Cr%C3%AAperie/data=!4m7!3m6!1s0x865c673c5991b071:0xf07192fd21dfdf91!8m2!3d29.517053!4d-98.5977324!16s%2Fg%2F11fd7ln7n2!19sChIJcbCRWTxnXIYRkd_fIf2ScfA?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.9,12379,+1 210-600-3362,"5500 Babcock Rd #104, San Antonio, TX 78240, United States",crepeccino.com
Tropical Smoothie Cafe,https://www.google.com/maps/place/Tropical+Smoothie+Cafe/data=!4m7!3m6!1s0x865c695a0b2c7399:0xccb1146730b59003!8m2!3d29.5511539!4d-98.6634156!16s%2Fg%2F11tmwx8ycd!19sChIJmXMsC1ppXIYRA5C1MGcUscw?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,3.9,31,+1 210-957-2022,"11620 Bandera Rd Suite 101, San Antonio, TX 78250, United States",tropicalsmoothiecafe.com
What's Brewing Coffee Roasters,https://www.google.com/maps/place/What%27s+Brewing+Coffee+Roasters/data=!4m7!3m6!1s0x865c603c909accf7:0x52bb96c6c1984d42!8m2!3d29.5450882!4d-98.4969805!16s%2Fg%2F1vm_y9cc!19sChIJ98yakDxgXIYRQk2YwcaWu1I?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.8,636,+1 210-308-8882,"138 W Rhapsody Dr, San Antonio, TX 78216, United States",sacoffeeroasters.com
Theory Coffee Company,https://www.google.com/maps/place/Theory+Coffee+Company/data=!4m7!3m6!1s0x865cf5323ee92ca9:0x7b0a3d2635f02ece!8m2!3d29.5153263!4d-98.4529344!16s%2Fg%2F11b7c2p4xw!19sChIJqSzpPjL1XIYRzi7wNSY9Cns?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.9,588,+1 210-570-4407,"2347 Nacogdoches Rd, San Antonio, TX 78209, United States",theorycoffeeco.com
Bright Coffee,https://www.google.com/maps/place/Bright+Coffee/data=!4m7!3m6!1s0x865c5f262fec9263:0xb84fc5268d6fdc8d!8m2!3d29.461886!4d-98.5080477!16s%2Fg%2F11ry2nj8j4!19sChIJY5LsLyZfXIYRjdxvjSbFT7g?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.8,230,+1 210-504-9615,"1705 Blanco Rd, San Antonio, TX 78212, United States",order.dripos.com
PRESS Coffee @ The Boardwalk,https://www.google.com/maps/place/PRESS+Coffee+@+The+Boardwalk/data=!4m7!3m6!1s0x865c5f699754a62f:0xfb0cc0097d251303!8m2!3d29.4639327!4d-98.4660261!16s%2Fg%2F11b6d5l61l!19sChIJL6ZUl2lfXIYRAxMlfQnADPs?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.6,840,+1 210-550-4441,"4035 Broadway, San Antonio, TX 78209, United States",presscoffeesanantonio.com
CommonWealth Coffeehouse & Bakery,https://www.google.com/maps/place/CommonWealth+Coffeehouse+%26+Bakery/data=!4m7!3m6!1s0x865cf598a4675509:0x338744fd75b16990!8m2!3d29.4664382!4d-98.4628442!16s%2Fg%2F11bbx18ldx!19sChIJCVVnpJj1XIYRkGmxdf1EhzM?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.5,1049,+1 210-560-2955,"118 Davis Ct, San Antonio, TX 78209, United States",commonwealthcoffeehouse.com
San Antonio Gold,https://www.google.com/maps/place/San+Antonio+Gold/data=!4m7!3m6!1s0x865c59020c010ab9:0x73c79c3acac918d0!8m2!3d29.4053309!4d-98.5027644!16s%2Fg%2F11fjsb63b9!19sChIJuQoBDAJZXIYR0BjJyjqcx3M?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.8,347,-,"1913 S Flores St # A, San Antonio, TX 78204, United States",-
Estate Coffee Company,https://www.google.com/maps/place/Estate+Coffee+Company/data=!4m7!3m6!1s0x865cf6076c81368d:0x461a9174928377f0!8m2!3d29.4248459!4d-98.4770163!16s%2Fg%2F11clt9qw6w!19sChIJjTaBbAf2XIYR8HeDknSRGkY?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.6,515,+1 210-267-8725,"1320 E Houston St a101, San Antonio, TX 78205, United States",estatecoffeecompany.com
Poetic Republic Coffee Roasters,https://www.google.com/maps/place/Poetic+Republic+Coffee+Roasters/data=!4m7!3m6!1s0x865c62f7d476d857:0xa7fa5cee8b77a0e3!8m2!3d29.3984663!4d-98.4820985!16s%2Fg%2F11hbnc0tm8!19sChIJV9h21PdiXIYR46B3i-5c-qc?authuser=0&hl=en&rclk=1,Coffee shops in San Antonio Texas,4.8,353,-,"2330 S Presa St, San Antonio, TX 78210, United States",poeticrepubliccoffee.com
