Name,URL,Query,Rating,Reviews,Phone,Address,Website
Rhine Hall Distillery,https://www.google.com/maps/place/Rhine+Hall+Distillery/data=!4m7!3m6!1s0x880e2d281063bac9:0xe073227cfd5ad1f4!8m2!3d41.8869083!4d-87.6779528!16s%2Fg%2F1yfps5xt8!19sChIJybpjECgtDogR9NFa_Xwic-A?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.8,124,+1 312-243-4313,"2010 W Fulton St, Chicago, IL 60612, United States",rhinehall.com
Wolf Point Distilling,https://www.google.com/maps/place/Wolf+Point+Distilling/data=!4m7!3m6!1s0x880e2dc47ac68b67:0xbdb1707e50391477!8m2!3d41.8869596!4d-87.6644488!16s%2Fg%2F11mtrc1v56!19sChIJZ4vGesQtDogRdxQ5UH5wsb0?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.8,31,+1 312-846-1891,"215 N Laflin St, Chicago, IL 60607, United States",wolfpointdistilling.com
Judson & Moore Distillery,https://www.google.com/maps/place/Judson+%26+Moore+Distillery/data=!4m7!3m6!1s0x880fd3369a41bf23:0x47f7965b5e82993f!8m2!3d41.9374115!4d-87.6923826!16s%2Fg%2F11j7fb4lxh!19sChIJI79BmjbTD4gRP5mCXluW90c?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.8,23,+1 773-217-8815,"3057 N Rockwell St Building 5, Chicago, IL 60618, United States",judsonandmoore.com
Chicago Distilling Company,https://www.google.com/maps/place/Chicago+Distilling+Company/data=!4m7!3m6!1s0x880fcd62f389d069:0x76d5e391b0485686!8m2!3d41.9241667!4d-87.6991667!16s%2Fg%2F1ptv_29y7!19sChIJadCJ82LND4gRhlZIsJHj1XY?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.6,76,+1 872-206-2774,"2359 N Milwaukee Ave, Chicago, IL 60647, United States",chicagodistilling.com
CH Distillery,https://www.google.com/maps/place/CH+Distillery/data=!4m7!3m6!1s0x880e2cc66cf05f93:0xb18cbde7fd20db7a!8m2!3d41.8846382!4d-87.6422109!16s%2Fg%2F12qg2w0n5!19sChIJk1_wbMYsDogRetsg_ee9jLE?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.5,484,+1 312-707-8780,"564 W Randolph St, Chicago, IL 60661, United States",chdistillery.com
KOVAL Store,https://www.google.com/maps/place/KOVAL+Store/data=!4m7!3m6!1s0x880fd2209836ab9b:0x86d99a18b43dfb81!8m2!3d41.9589073!4d-87.6733714!16s%2Fg%2F1ts2_wkw!19sChIJm6s2mCDSD4gRgfs9tBia2YY?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.7,345,+1 312-878-7988,"4241 N Ravenswood Ave, Chicago, IL 60613, United States",kovaldistillery.com
Ch Distillery,https://www.google.com/maps/place/Ch+Distillery/data=!4m7!3m6!1s0x880e2cf4600c0cf7:0xe7a0f1ac2423bd39!8m2!3d41.8595573!4d-87.6407023!16s%2Fg%2F11dzt2vnr4!19sChIJ9wwMYPQsDogROb0jJKzxoOc?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.6,13,+1 312-707-8780,"1629 S Clinton St, Chicago, IL 60616, United States",chdistillery.com
Maplewood Brewery & Distillery,https://www.google.com/maps/place/Maplewood+Brewery+%26+Distillery/data=!4m7!3m6!1s0x880fd28423cb47bf:0xce6f8f5f905ee07b!8m2!3d41.930889!4d-87.6913468!16s%2Fg%2F11b6gp6g9q!19sChIJv0fLI4TSD4gRe-BekF-Pb84?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.7,596,+1 773-270-1061,"2717 N Maplewood Ave, Chicago, IL 60647, United States",maplewoodbrew.com
Quincy Street Distillery,https://www.google.com/maps/place/Quincy+Street+Distillery/data=!4m7!3m6!1s0x880e35d2e30fece9:0x2705b65335a3f6fd!8m2!3d41.8272858!4d-87.8174667!16s%2Fg%2F1hc86t77m!19sChIJ6ewP49I1DogR_fajNVO2BSc?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,4.6,94,+1 708-357-7414,"39 E Quincy St, Riverside, IL 60546, United States",quincystreetdistillery.com
The Distillery Project,https://www.google.com/maps/place/The+Distillery+Project/data=!4m7!3m6!1s0x880e2d2814196267:0x5db76bd68a12d4c0!8m2!3d41.8896707!4d-87.6686655!16s%2Fg%2F11bbrpjwwz!19sChIJZ2IZFCgtDogRwNQSitZrt10?authuser=0&hl=en&rclk=1,Distilleries in Chicago Illinois,3.7,3,+1 312-226-6919,"1639 W Hubbard St, Chicago, IL 60622, United States",distilleryproject.com
