Name,URL,Query,Rating,Reviews,Phone,Address,Website
Detroit City Distillery,https://www.google.com/maps/place/Detroit+City+Distillery/data=!4m7!3m6!1s0x8824d2d65c9ebdc7:0x9dadf157cb631729!8m2!3d42.3462513!4d-83.0382811!16s%2Fg%2F11b63f46sz!19sChIJx72eXNbSJIgRKRdjy1fxrZ0?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.6,397,+1 313-338-3760,"2462 Riopelle St, Detroit, MI 48207, United States",detroitcitydistillery.com
The Whiskey Factory - Detroit City Distillery,https://www.google.com/maps/place/The+Whiskey+Factory+-+Detroit+City+Distillery/data=!4m7!3m6!1s0x8824d2d4c40eec01:0xe1d22e6464825a4c!8m2!3d42.3409833!4d-83.0395705!16s%2Fg%2F11g6rjtck7!19sChIJAewOxNTSJIgRTFqCZGQu0uE?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.8,145,+1 313-656-4528,"1000 Maple St, Detroit, MI 48207, United States",whiskeyfactorydetroit.com
Two James Spirits,https://www.google.com/maps/place/Two+James+Spirits/data=!4m7!3m6!1s0x883b32a7931d4fad:0xea46daa7ce5e01f4!8m2!3d42.3311613!4d-83.079494!16s%2Fg%2F12mj_l8zq!19sChIJrU8dk6cyO4gR9AFezqfaRuo?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.6,916,+1 313-964-4800,"2435 Michigan Ave, Detroit, MI 48216, United States",twojames.com
Motor City Gas Whiskey Distillery,https://www.google.com/maps/place/Motor+City+Gas+Whiskey+Distillery/data=!4m7!3m6!1s0x8824cf6a2b36d6dd:0x335b296f560ddda7!8m2!3d42.4875397!4d-83.1407879!16s%2Fg%2F11b7dz3407!19sChIJ3dY2K2rPJIgRp90NVm8pWzM?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.9,180,+1 248-599-1427,"325 E 4th St, Royal Oak, MI 48067, United States",motorcitygas.com
Rusted Crow Distillery,https://www.google.com/maps/place/Rusted+Crow+Distillery/data=!4m7!3m6!1s0x883b4aeb2a6fed45:0x34a367e8c500a948!8m2!3d42.331694!4d-83.27222!16s%2Fg%2F11b772xpjn!19sChIJRe1vKutKO4gRSKkAxehnozQ?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.7,230,+1 313-551-4164,"6056 N Telegraph Rd, Dearborn Heights, MI 48127, United States",rustedcrowspirits.com
Belle's Lounge by Valentine Distilling Co.,https://www.google.com/maps/place/Belle%27s+Lounge+by+Valentine+Distilling+Co./data=!4m7!3m6!1s0x8824cee2c6551d0b:0x96ef6cf6ee1800d1!8m2!3d42.461793!4d-83.133618!16s%2Fg%2F1tgdd0q5!19sChIJCx1VxuLOJIgR0QAY7vZs75Y?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.7,374,+1 248-629-9951,"161 Vester Ave, Ferndale, MI 48220, United States",valentinedistilling.com
Nikki's Body Butter Distillery,https://www.google.com/maps/place/Nikki%27s+Body+Butter+Distillery/data=!4m7!3m6!1s0x8824cb6f81ecabcf:0xda1325a7552725f8!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11rfqp1g9n!19sChIJz6vsgW_LJIgR-CUnVaclE9o?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,5.0,11,-,-,nikkisbbd.com
DISTILLERY Livonia,https://www.google.com/maps/place/DISTILLERY+Livonia/data=!4m7!3m6!1s0x8824b3017c0315a5:0x23686f6b05e4320a!8m2!3d42.3847082!4d-83.3168213!16s%2Fg%2F11n5nzzf5l!19sChIJpRUDfAGzJIgRCjLkBWtvaCM?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.1,141,+1 734-237-8240,"27600 Schoolcraft Rd, Livonia, MI 48150, United States",distillerylivonia.com
Weiss Distilling Co.,https://www.google.com/maps/place/Weiss+Distilling+Co./data=!4m7!3m6!1s0x8824c52e2ff31ec7:0x79a26af68883aa9e!8m2!3d42.53325!4d-83.1454679!16s%2Fg%2F11q85ycx4k!19sChIJxx7zLy7FJIgRnqqDiPZqonk?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.5,152,+1 929-484-3932,"34 E 14 Mile Rd, Clawson, MI 48017, United States",thewdc.com
Shankar Distillers - Home of Varchas Premium Spirits,https://www.google.com/maps/place/Shankar+Distillers+-+Home+of+Varchas+Premium+Spirits/data=!4m7!3m6!1s0x8824bf1f0898b6c1:0x5f00937c32aa3ddb!8m2!3d42.5441957!4d-83.113491!16s%2Fg%2F11mxz9mycs!19sChIJwbaYCB-_JIgR2z2qMnyTAF8?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.9,250,+1 855-827-2427,"1030 Chicago Rd, Troy, MI 48083, United States",shankardistillers.com
Traverse City Whiskey Co. - OUTPOST,https://www.google.com/maps/place/Traverse+City+Whiskey+Co.+-+OUTPOST/data=!4m7!3m6!1s0x8824cf108da0f091:0x70c3a8014328592!8m2!3d42.4608952!4d-83.134298!16s%2Fg%2F11fmpy5chh!19sChIJkfCgjRDPJIgRkoUyFIA6DAc?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.6,62,+1 248-602-2122,"22812 Woodward Ave #200, Ferndale, MI 48220, United States",tcwhiskey.com
Valentine Distilling Co.-Production Facility,https://www.google.com/maps/place/Valentine+Distilling+Co.-Production+Facility/data=!4m7!3m6!1s0x8824ce512215da89:0x76ce391e9ac12f14!8m2!3d42.4543904!4d-83.1161376!16s%2Fg%2F11c6zz_r78!19sChIJidoVIlHOJIgRFC_Bmh45znY?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,5.0,4,-,"965 Wanda St, Ferndale, MI 48220, United States",valentinedistilling.com
Copper Rose Distillery,https://www.google.com/maps/place/Copper+Rose+Distillery/data=!4m7!3m6!1s0x883b2ddfeaf5d935:0x81efd261a7323301!8m2!3d42.3155642!4d-83.0379442!16s%2Fg%2F11j4rwdslg!19sChIJNdn16t8tO4gRATMyp2HS74E?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,5.0,14,+1 226-979-5770,"459 Ouellette Ave, Windsor, ON N9A 4J2, Canada",copperrose.ca
St. Julian Winery & Distillery Tasting Room,https://www.google.com/maps/place/St.+Julian+Winery+%26+Distillery+Tasting+Room/data=!4m7!3m6!1s0x8824c52c1e3be5c3:0xb9cdbacb85096e0f!8m2!3d42.5346046!4d-83.1131788!16s%2Fg%2F11f63rrm0d!19sChIJw-U7HizFJIgRD24Jhcu6zbk?authuser=0&hl=en&rclk=1,Distilleries in Detroit Michigan,4.4,219,+1 248-951-2113,"518 W 14 Mile Rd #4205, Troy, MI 48083, United States",stjulian.com
