Name,URL,Query,Rating,Reviews,Phone,Address,Website
Maverick Whiskey,https://www.google.com/maps/place/Maverick+Whiskey/data=!4m7!3m6!1s0x865c5f70ef6ebbbb:0xa201376dcb2cb88f!8m2!3d29.4271109!4d-98.4880838!16s%2Fg%2F11g4g7yt0w!19sChIJu7tu73BfXIYRj7gsy203AaI?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.4,289,+1 210-447-7010,"115 Broadway, San Antonio, TX 78205, United States",maverickwhiskey.com
Alamo Distilling Company,https://www.google.com/maps/place/Alamo+Distilling+Company/data=!4m7!3m6!1s0x865cf5fe7b2d2e7b:0x87ad5eef0f1fb83e!8m2!3d29.4247681!4d-98.4644847!16s%2Fg%2F11d_t4smk9!19sChIJey4te_71XIYRPrgfD-9erYc?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,5.0,25,+1 210-674-9977,"2030 E Houston St, San Antonio, TX 78202, United States",alamodistilling.com
Rebecca Creek Distillery,https://www.google.com/maps/place/Rebecca+Creek+Distillery/data=!4m7!3m6!1s0x865c8871b5110269:0x531199b3550f2f3a!8m2!3d29.6941434!4d-98.454507!16s%2Fg%2F1w4f8jhr!19sChIJaQIRtXGIXIYROi8PVbOZEVM?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.6,249,+1 830-714-4581,"26605 Bulverde Rd, San Antonio, TX 78260, United States",rebeccacreekdistillery.com
Devils River Whiskey Distillery,https://www.google.com/maps/place/Devils+River+Whiskey+Distillery/data=!4m7!3m6!1s0x865c5f6fdd06d40b:0x6dcb5a523f89a89b!8m2!3d29.4267584!4d-98.4883196!16s%2Fg%2F11j1vhkbjc!19sChIJC9QG3W9fXIYRm6iJP1Jay20?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.7,164,+1 833-379-1840,"401 E Houston St, San Antonio, TX 78205, United States",devilsriverwhiskey.com
Ranger Creek Brewing & Distilling,https://www.google.com/maps/place/Ranger+Creek+Brewing+%26+Distilling/data=!4m7!3m6!1s0x865c8b560424481f:0x944d95bd1ff2bda7!8m2!3d29.529396!4d-98.397044!16s%2Fg%2F1tcxdmlm!19sChIJH0gkBFaLXIYRp73yH72VTZQ?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.7,467,+1 210-339-2282,"4834 Whirlwind Dr, San Antonio, TX 78217, United States",drinkrangercreek.com
Catimore Cold Brew Coffee Liqueur,https://www.google.com/maps/place/Catimore+Cold+Brew+Coffee+Liqueur/data=!4m7!3m6!1s0x865cf538f44990e1:0xb78aa8d4c041b60d!8m2!3d29.4284124!4d-98.4794106!16s%2Fg%2F11gr57936h!19sChIJ4ZBJ9Dj1XIYRDbZBwNSoirc?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,0.0,0,+1 210-354-5443,"621 Chestnut St, San Antonio, TX 78202, United States",-
Artisan Distillery & Craft Bar,https://www.google.com/maps/place/Artisan+Distillery+%26+Craft+Bar/data=!4m7!3m6!1s0x865cf5f8c686d547:0xa8007e8cdd82f6c!8m2!3d29.4316351!4d-98.4787703!16s%2Fg%2F11cs1vvsh3!19sChIJR9WGxvj1XIYRbC_YzegHgAo?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.4,139,+1 210-896-5070,"402 Austin St, San Antonio, TX 78215, United States",artisancraftbar.com
BoozeHoundzWhiskey,https://www.google.com/maps/place/BoozeHoundzWhiskey/data=!4m7!3m6!1s0x865c43edc4bb7c59:0x2e1e8bb26bf3d829!8m2!3d29.4367046!4d-98.7446105!16s%2Fg%2F11s54_vv3z!19sChIJWXy7xO1DXIYRKdjza7KLHi4?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,0.0,0,+1 209-450-9089,"12662 Point Summit, San Antonio, TX 78253, United States",-
Azar Family Brands,https://www.google.com/maps/place/Azar+Family+Brands/data=!4m7!3m6!1s0x865cfaac6cb00001:0x2a51ebb3b809be4d!8m2!3d29.3375223!4d-98.3129076!16s%2Fg%2F11hy9p508p!19sChIJAQCwbKz6XIYRTb4JuLPrUSo?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,0.0,0,+1 210-817-1580,"8501 Cover Rd, San Antonio, TX 78263, United States",seersuckergin.com
Dorćol Distilling + Brewing Co,https://www.google.com/maps/place/Dor%C4%87ol+Distilling+%2B+Brewing+Co/data=!4m7!3m6!1s0x865c58bec1fe0413:0x17629bc4e3dfa89!8m2!3d29.4057305!4d-98.5022453!16s%2Fg%2F1z3tbxjgm!19sChIJEwT-wb5YXIYRifo9TrwpdgE?authuser=0&hl=en&rclk=1,Distilleries in San Antonio Texas,4.7,173,+1 210-229-0607,"1902 S Flores St, San Antonio, TX 78204, United States",dorcolspirits.com
