Name,URL,Query,Rating,Reviews,Phone,Address,Website
Gold Bar Whiskey Distillery Tasting Room,https://www.google.com/maps/place/Gold+Bar+Whiskey+Distillery+Tasting+Room/data=!4m7!3m6!1s0x80858162e2a5f8b9:0x23c90d7f8901b612!8m2!3d37.8172234!4d-122.370686!16s%2Fg%2F11rmst1sdz!19sChIJufil4mKBhYARErYBiX8NySM?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.9,71,+1 415-592-2177,"1 Avenue of the Palms #167, San Francisco, CA 94130, United States",goldbarwhiskey.com
"The Tripp Distillery, LLC","https://www.google.com/maps/place/The+Tripp+Distillery,+LLC/data=!4m7!3m6!1s0x808f7b07830eaf8f:0x8893fa6a5b5baaba!8m2!3d37.6426041!4d-122.4923538!16s%2Fg%2F11dzstlkc0!19sChIJj68Ogwd7j4ARuqpbW2r6k4g?authuser=0&hl=en&rclk=1",Distilleries in San Francisco California,5.0,22,+1 650-713-4927,"1121 Palmetto Ave, Pacifica, CA 94044, United States",trippdistillery.com
St. George Spirits,https://www.google.com/maps/place/St.+George+Spirits/data=!4m7!3m6!1s0x808f808abbe2feff:0x9086e53ccfa6f879!8m2!3d37.7876363!4d-122.3093238!16s%2Fg%2F1tcz_rvk!19sChIJ__7iu4qAj4ARefimzzzlhpA?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.5,124,+1 510-769-1601,"2601 Monarch St, Alameda, CA 94501, United States",stgeorgespirits.com
Treecraft Distillery,https://www.google.com/maps/place/Treecraft+Distillery/data=!4m7!3m6!1s0x808581cb42e3ffc1:0xb4027c5b20720341!8m2!3d37.8253667!4d-122.373839!16s%2Fg%2F11gbxg_2bt!19sChIJwf_jQsuBhYARQQNyIFt8ArQ?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.6,28,+1 415-271-3457,"849 Avenue D, San Francisco, CA 94130, United States",treecraftdistillery.com
Jettywave Distillery,https://www.google.com/maps/place/Jettywave+Distillery/data=!4m7!3m6!1s0x808f73eef0e5bcf1:0xcd7fa9a03afe9667!8m2!3d37.5045495!4d-122.487891!16s%2Fg%2F11lm7wmthj!19sChIJ8bzl8O5zj4ARZ5b-OqCpf80?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.8,72,+1 650-291-8835,"155 Broadway, Half Moon Bay, CA 94019, United States",jettywave.com
Hotaling & Co.,https://www.google.com/maps/place/Hotaling+%26+Co./data=!4m7!3m6!1s0x808f7fcb57400001:0x8c8d3482495fd71!8m2!3d37.795705!4d-122.4028357!16s%2Fg%2F11ggmbln1p!19sChIJAQBAV8t_j4ARcf2VJEjTyAg?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,0.0,0,+1 415-630-5910,"550 Montgomery St #300, San Francisco, CA 94111, United States",hotalingandco.com
Falcon Spirits Distillery,https://www.google.com/maps/place/Falcon+Spirits+Distillery/data=!4m7!3m6!1s0x808577d4e0f8a637:0x33f22fd3864be24f!8m2!3d37.9817502!4d-122.353601!16s%2Fg%2F1vs1s2yb!19sChIJN6b44NR3hYART-JLhtMv8jM?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,3,+1 510-206-0596,"3701 Collins Ave, Richmond, CA 94806, United States",falconspirits.com
Endless West,https://www.google.com/maps/place/Endless+West/data=!4m7!3m6!1s0x808f7f25496e7041:0x362906e9aa3fd5ae!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11fkw9629k!19sChIJQXBuSSV_j4ARrtU_qukGKTY?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.2,5,-,-,endlesswest.com
"Fat Labrador Distillers, Inc.","https://www.google.com/maps/place/Fat+Labrador+Distillers,+Inc./data=!4m7!3m6!1s0x89d72fab1831a449:0x7517b4825ab9be08!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11jz8822db!19sChIJSaQxGKsv14kRCL65WoK0F3U?authuser=0&hl=en&rclk=1",Distilleries in San Francisco California,0.0,0,+1 415-505-4454,-,fatlabradordistillers.com
Half Moon Bay Distillery,https://www.google.com/maps/place/Half+Moon+Bay+Distillery/data=!4m7!3m6!1s0x808f735541bb00f7:0x98eba5382c74c15!8m2!3d37.5032984!4d-122.4937543!16s%2Fg%2F11b75jhbxs!19sChIJ9wC7QVVzj4ARFUzHglO6jgk?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.0,21,+1 650-392-5355,"103 Harvard Ave, Half Moon Bay, CA 94019, United States",hmbdistillery.com
Mosswood Spirits,https://www.google.com/maps/place/Mosswood+Spirits/data=!4m7!3m6!1s0x80857ef210f00001:0x54adccfaaeb77bb3!8m2!3d40.956652!4d-98.129747!16s%2Fg%2F11f5dgq7dk!19sChIJAQDwEPJ-hYARs3u3rvrMrVQ?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,1,-,-,drinkmosswood.com
Moss Beach Distillery,https://www.google.com/maps/place/Moss+Beach+Distillery/data=!4m7!3m6!1s0x808f718b136489af:0x67b06263bb74a847!8m2!3d37.5177902!4d-122.5128227!16s%2Fm%2F01zjj_q!19sChIJr4lkE4txj4ARR6h0u2NisGc?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.5,2619,+1 650-728-5595,"140 Beach Way, Moss Beach, CA 94038, United States",mossbeachdistillery.com
Wright & Brown Distilling Co.,https://www.google.com/maps/place/Wright+%26+Brown+Distilling+Co./data=!4m7!3m6!1s0x80857e191297fc9b:0x9d500a3a9b403f53!8m2!3d37.82015!4d-122.283842!16s%2Fg%2F11c7vv8vl6!19sChIJm_yXEhl-hYARUz9AmzoKUJ0?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.0,9,+1 510-922-1429,"2715 Magnolia St, Oakland, CA 94607, United States",wbdistilling.com
Alamere Spirits,https://www.google.com/maps/place/Alamere+Spirits/data=!4m7!3m6!1s0x80859bb1226c3795:0x3488eafb748fcf6e!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11fm_71cq9!19sChIJlTdsIrGbhYARbs-PdPvqiDQ?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,1,-,-,alamerespirits.com
10th Street Distillery,https://www.google.com/maps/place/10th+Street+Distillery/data=!4m7!3m6!1s0x808e33af09240539:0x645e531831de5e7f!8m2!3d37.3451804!4d-121.8924589!16s%2Fg%2F11g4jbqm3f!19sChIJOQUkCa8zjoARf17eMRhTXmQ?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,27,+1 408-458-5163,"442 N 4th St, San Jose, CA 95112, United States",10thstreetdistillery.com
Hanson of Sonoma Tasting Room at Hanson Gallery,https://www.google.com/maps/place/Hanson+of+Sonoma+Tasting+Room+at+Hanson+Gallery/data=!4m7!3m6!1s0x80858573f93468cd:0xe37e7d28295f4f7f!8m2!3d37.8553396!4d-122.4793897!16s%2Fg%2F11fmv2wcdh!19sChIJzWg0-XOFhYARf09fKSh9fuM?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.5,23,+1 415-332-1815,"669 Bridgeway, Sausalito, CA 94965, United States",hansonofsonoma.com
Griffo Distillery & Tasting Bar,https://www.google.com/maps/place/Griffo+Distillery+%26+Tasting+Bar/data=!4m7!3m6!1s0x8085b4fa2b377a39:0xfa14480cb061b7e1!8m2!3d38.2705192!4d-122.6643974!16s%2Fg%2F1z3t9mvks!19sChIJOXo3K_q0hYAR4bdhsAxIFPo?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.8,36,+1 707-879-8755,"1320 Scott St Suite A, Petaluma, CA 94954, United States",griffodistillery.com
Sequoia Sake,https://www.google.com/maps/place/Sequoia+Sake/data=!4m7!3m6!1s0x808f7e5514e2a20d:0x3fcc85c6e688c233!8m2!3d37.7404135!4d-122.4031003!16s%2Fg%2F11bxfwdx_y!19sChIJDaLiFFV-j4ARM8KI5saFzD8?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,66,+1 415-225-0515,"50 Apparel Way, San Francisco, CA 94124, United States",sequoiasake.com
Branded Spirits USA Ltd,https://www.google.com/maps/place/Branded+Spirits+USA+Ltd/data=!4m7!3m6!1s0x808580f9918b402b:0x3bfaa974b7a60f0b!8m2!3d37.7951536!4d-122.4012264!16s%2Fg%2F11b7t0t65h!19sChIJK0CLkfmAhYARCw-mt3Sp-js?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.7,3,+1 415-813-5045,"500 Sansome St Suite 600, San Francisco, CA 94111, United States",brandedspiritsusa.com
Savage & Cooke - An American Distillery,https://www.google.com/maps/place/Savage+%26+Cooke+-+An+American+Distillery/data=!4m7!3m6!1s0x8085749ea51fb971:0x94c3453fde45ed3b!8m2!3d38.0990482!4d-122.2702269!16s%2Fg%2F11ggr6jdc3!19sChIJcbkfpZ50hYARO-1F3j9Fw5Q?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.2,69,+1 707-388-1864,"1097 Nimitz Ave, Vallejo, CA 94592, United States",savageandcooke.com
Spirit Works Distilling,https://www.google.com/maps/place/Spirit+Works+Distilling/data=!4m7!3m6!1s0x808430a786b5d46b:0x98fc5914c15d50d4!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1hm65grcg!19sChIJa9S1hqcwhIAR1FBdwRRZ_Jg?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.9,32,+1 707-634-4793,-,spiritworksdistilling.com
Hanson of Sonoma Distillery,https://www.google.com/maps/place/Hanson+of+Sonoma+Distillery/data=!4m7!3m6!1s0x8085a8953769c5ed:0xc611b071c8920930!8m2!3d38.2455944!4d-122.4228926!16s%2Fg%2F11f12znmw4!19sChIJ7cVpN5WohYARMAmSyHGwEcY?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.7,71,+1 707-343-1805,"22985 Burndale Rd, Sonoma, CA 95476, United States",hansonofsonoma.com
Haight Bourbon Shop,https://www.google.com/maps/place/Haight+Bourbon+Shop/data=!4m7!3m6!1s0x8085816c43491489:0x92cd81be8cb27251!8m2!3d37.7729611!4d-122.430495!16s%2Fg%2F11qsfm9nkk!19sChIJiRRJQ2yBhYARUXKyjL6BzZI?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.5,17,-,"378 Fillmore St, San Francisco, CA 94117, United States",-
Healthy Spirits,https://www.google.com/maps/place/Healthy+Spirits/data=!4m7!3m6!1s0x808f7e1d3343a2c9:0x5851ec10ba22a2b3!8m2!3d37.7656477!4d-122.4353113!16s%2Fg%2F1v41_psy!19sChIJyaJDMx1-j4ARs6IiuhDsUVg?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.6,148,+1 415-255-0610,"2299 15th St, San Francisco, CA 94114, United States",healthyspirits.com
The Whisky Shop of San Francisco,https://www.google.com/maps/place/The+Whisky+Shop+of+San+Francisco/data=!4m7!3m6!1s0x808580894f695b27:0x1aa2c866f096c211!8m2!3d37.7896683!4d-122.406577!16s%2Fg%2F1263r72ck!19sChIJJ1tpT4mAhYAREcKW8GbIoho?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.8,161,+1 415-989-1030,"360 Sutter St, San Francisco, CA 94108, United States",whiskyshopusa.com
Elk Fence Distillery,https://www.google.com/maps/place/Elk+Fence+Distillery/data=!4m7!3m6!1s0x8084378080dbc187:0x57fb3d747491a2ff!8m2!3d38.4105193!4d-122.7184154!16s%2Fg%2F11ng6m8hlj!19sChIJh8HbgIA3hIAR_6KRdHQ9-1c?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,29,+1 415-497-4338,"464 Kenwood Ct, Santa Rosa, CA 95407, United States",elkfencedistillery.com
Essential Spirits Alambic Distilleries,https://www.google.com/maps/place/Essential+Spirits+Alambic+Distilleries/data=!4m7!3m6!1s0x808fb7217b2873fb:0x680cbcbec7412bbe!8m2!3d37.3871855!4d-122.0640786!16s%2Fg%2F1thr7dqk!19sChIJ-3MoeyG3j4ARvitBx768DGg?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.8,6,+1 650-962-0546,"144 S Whisman Rd, Mountain View, CA 94041, United States",essentialspirits.com
Treasure Island,https://www.google.com/maps/place/Treasure+Island/data=!4m7!3m6!1s0x8085803321fc6a09:0xdab760b51b3d84de!8m2!3d37.825284!4d-122.3699786!16zL20vMDFkYnNq!19sChIJCWr8ITOAhYAR3oQ9G7Vgt9o?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,0.0,0,-,-,-
Alley 6 Craft Distillery,https://www.google.com/maps/place/Alley+6+Craft+Distillery/data=!4m7!3m6!1s0x808410bf57427449:0xdc3ce86702700b2d!8m2!3d38.6281104!4d-122.8759307!16s%2Fg%2F11bccd796s!19sChIJSXRCV78QhIARLQtwAmfoPNw?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.9,47,+1 707-484-3593,"1401 Grove St STE D, Healdsburg, CA 95448, United States",alley6.com
Great Women Spirits,https://www.google.com/maps/place/Great+Women+Spirits/data=!4m7!3m6!1s0x808f9f52d1b83fcd:0x495d435e12c8f903!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11gbxft0gv!19sChIJzT-40VKfj4ARA_nIEl5DXUk?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,0.0,0,-,-,greatwomenspirits.com
Fat Labrador Distillers,https://www.google.com/maps/place/Fat+Labrador+Distillers/data=!4m7!3m6!1s0x808587012da1f30d:0xf267e14b926ca617!8m2!3d37.7843187!4d-122.488565!16s%2Fg%2F11l5tm8trl!19sChIJDfOhLQGHhYARF6ZskkvhZ_I?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,0.0,0,+1 415-505-4454,"271 28th Ave, San Francisco, CA 94121, United States",fatlabradordistillers.com
Raff Distillerie,https://www.google.com/maps/place/Raff+Distillerie/data=!4m7!3m6!1s0x808581cdbb852c07:0x26621b8bc2353a32!8m2!3d37.739745!4d-122.3896662!16s%2Fg%2F1tj9c6x3!19sChIJByyFu82BhYARMjo1wosbYiY?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,3,+1 415-610-7486,"1615 Innes Ave STE C, San Francisco, CA 94124, United States",-
Russell City Distillery,https://www.google.com/maps/place/Russell+City+Distillery/data=!4m7!3m6!1s0x808f9330f8b7d1ff:0xe022c2a9ff0ceebe!8m2!3d37.6743107!4d-122.0815475!16s%2Fg%2F11h10v24p8!19sChIJ_9G3-DCTj4ARvu4M_6nCIuA?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,5.0,4,-,"22549 Foothill Blvd, Hayward, CA 94541, United States",russellcitydistillery.com
Napa Valley Distillery,https://www.google.com/maps/place/Napa+Valley+Distillery/data=!4m7!3m6!1s0x8085065044be10bb:0xccac261c2e2e363c!8m2!3d38.2942377!4d-122.3015967!16s%2Fg%2F11bwqc41wh!19sChIJuxC-RFAGhYARPDYuLhwmrMw?authuser=0&hl=en&rclk=1,Distilleries in San Francisco California,4.7,203,+1 707-265-6272,"2485 Stockton St, Napa, CA 94559, United States",napadistillery.com
