Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Community Solution (Formerly TCS Education System),https://www.google.com/maps/place/The+Community+Solution+%28Formerly+TCS+Education+System%29/data=!4m7!3m6!1s0x880e2cb6fcbcc901:0xdd7397e7965c60ba!8m2!3d41.886154!4d-87.631501!16s%2Fg%2F1tgdjl2q!19sChIJAcm8_LYsDogRumBclueXc90?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,4.2,5,+1 312-379-1699,"203 N La Salle St #1900, Chicago, IL 60601, United States",tcsedsystem.edu
Ashland Educational Services,https://www.google.com/maps/place/Ashland+Educational+Services/data=!4m7!3m6!1s0x880e2d57e0ebb639:0xc113ea21e3c25687!8m2!3d41.8828914!4d-87.6504679!16s%2Fg%2F11g6m0_zcq!19sChIJObbr4FctDogRh1bC4yHqE8E?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,2.3,19,+1 312-380-5976,"917 W Washington Blvd, Chicago, IL 60607, United States",ashlandeducationalservices.com
Education Systems Center at Northern Illinois University,https://www.google.com/maps/place/Education+Systems+Center+at+Northern+Illinois+University/data=!4m7!3m6!1s0x880e2cbba1715555:0x2b6fdf2e97ff37e2!8m2!3d41.8818291!4d-87.6312275!16s%2Fg%2F11d_7b40cm!19sChIJVVVxobssDogR4jf_ly7fbys?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,5.0,1,+1 312-989-3888,"105 W Madison St Suite 1700, Chicago, IL 60602, United States",edsystemsniu.org
Access to Growth Learning Solutions,https://www.google.com/maps/place/Access+to+Growth+Learning+Solutions/data=!4m7!3m6!1s0x880e2deb9f4f3e73:0x75e19393d47d8478!8m2!3d41.8772942!4d-87.624614!16s%2Fg%2F11fl8y77q9!19sChIJcz5Pn-stDogReIR91JOT4XU?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,5.0,11,+1 847-220-7062,"332 S Michigan Ave Suite 121 # 5938, Chicago, IL 60604, United States",myatg.org
National Education Servicing,https://www.google.com/maps/place/National+Education+Servicing/data=!4m7!3m6!1s0x880e2cb94c24de35:0x5e8ca4bcf3ac4bfa!8m2!3d41.8808707!4d-87.6342992!16s%2Fg%2F1tmz7j42!19sChIJNd4kTLksDogR-kus87ykjF4?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,0.0,0,+1 800-345-4325,"200 W Monroe St # 700, Chicago, IL 60606, United States",-
C2 Education of Lincoln Park,https://www.google.com/maps/place/C2+Education+of+Lincoln+Park/data=!4m7!3m6!1s0x880fd2e15d38ed2d:0x63b3a6a87bfeed67!8m2!3d41.9200052!4d-87.6617491!16s%2Fg%2F11ckqtxs9n!19sChIJLe04XeHSD4gRZ-3-e6ims2M?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,4.9,58,+1 773-417-6795,"2121 N Clybourn Ave Suite A-8, Chicago, IL 60614, United States",c2educate.com
"Educational Perspectives, nfp","https://www.google.com/maps/place/Educational+Perspectives,+nfp/data=!4m7!3m6!1s0x880e2cba167311d5:0x2b9e0c7aa8241a3!8m2!3d41.878031!4d-87.625626!16s%2Fg%2F1tql5c4q!19sChIJ1RFzFrosDogRo0GCqsfguQI?authuser=0&hl=en&rclk=1",Educational Services in Chicago Illinois,3.7,376,+1 312-421-9300,"55 E Jackson Blvd #2175, Chicago, IL 60604, United States",edperspective.org
Latin American Recruitment,https://www.google.com/maps/place/Latin+American+Recruitment/data=!4m7!3m6!1s0x880e2ce01f97c2bb:0xa652fc0d8bc0e02d!8m2!3d41.8749254!4d-87.6585754!16s%2Fg%2F1tj923rz!19sChIJu8KXH-AsDogRLeDAiw38UqY?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,5.0,2,+1 312-996-3356,"1200 W Harrison St # 2640, Chicago, IL 60607, United States",lares.uic.edu
Gateway To Learning,https://www.google.com/maps/place/Gateway+To+Learning/data=!4m7!3m6!1s0x880fd20382fa65fb:0x20897a1f540396ef!8m2!3d41.9716258!4d-87.6903104!16s%2Fg%2F1tgcb32h!19sChIJ-2X6ggPSD4gR75YDVB96iSA?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,4.5,11,+1 773-784-3200,"4925 N Lincoln Ave, Chicago, IL 60625, United States",gtlchicago.com
Cambridge Educational Services,https://www.google.com/maps/place/Cambridge+Educational+Services/data=!4m7!3m6!1s0x880fb6232b2866fd:0xf726790d2ca6cacb!8m2!3d42.0015192!4d-87.8646262!16s%2Fg%2F1tdp5mzd!19sChIJ_WYoKyO2D4gRy8qmLA15Jvc?authuser=0&hl=en&rclk=1,Educational Services in Chicago Illinois,5.0,1,+1 847-299-2930,"2860 S River Rd # 400, Des Plaines, IL 60018, United States",cambridgeed.com
