Name,URL,Query,Rating,Reviews,Phone,Address,Website
Educational Service Center of Central Ohio,https://www.google.com/maps/place/Educational+Service+Center+of+Central+Ohio/data=!4m7!3m6!1s0x88388a03b30f943d:0x42ee9d39ce6c7a3a!8m2!3d40.0136525!4d-82.9142216!16s%2Fg%2F11xj70nt3!19sChIJPZQPswOKOIgROnpszjmd7kI?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,4.3,12,+1 614-445-3750,"2080 Citygate Dr, Columbus, OH 43219, United States",escco.org
"New Spring Special Education Services, LLC","https://www.google.com/maps/place/New+Spring+Special+Education+Services,+LLC/data=!4m7!3m6!1s0x8838f30d9be18d39:0xcedcc50e98b7db0b!8m2!3d40.1301309!4d-83.0177396!16s%2Fg%2F11f30xbz1d!19sChIJOY3hmw3zOIgRC9u3mA7F3M4?authuser=0&hl=en&rclk=1",Educational Services in Columbus Ohio,5.0,3,+1 614-588-8515,"30 Northwoods Blvd, Columbus, OH 43235, United States",newspringsped.com
JS Educational Services,https://www.google.com/maps/place/JS+Educational+Services/data=!4m7!3m6!1s0x88388b4f707cd07d:0x17e4cbc3a2810187!8m2!3d40.0866912!4d-82.980311!16s%2Fg%2F11cnd9y16n!19sChIJfdB8cE-LOIgRhwGBosPL5Bc?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,5.0,1,+1 614-800-2845,"1395 E Dublin Granville Rd Suite 115, Columbus, OH 43229, United States",jseducationalservices.com
Educational Solutions Co,https://www.google.com/maps/place/Educational+Solutions+Co/data=!4m7!3m6!1s0x88388e51cacace91:0x95e85838c4dfdc5f!8m2!3d39.9967005!4d-82.9349536!16s%2Fg%2F1tknl32l!19sChIJkc7KylGOOIgRX9zfxDhY6JU?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,4.4,7,+1 614-299-1007,"2740 Airport Dr, Columbus, OH 43219, United States",edsolns.com
Columbus City Schools 17th Avenue Service Center,https://www.google.com/maps/place/Columbus+City+Schools+17th+Avenue+Service+Center/data=!4m7!3m6!1s0x883889c92a58cd21:0xe3d95d32787bba2c!8m2!3d39.9998958!4d-82.9835709!16s%2Fg%2F11lqfc5s0s!19sChIJIc1YKsmJOIgRLLp7eDJd2eM?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,4.3,7,+1 614-365-5268,"889 E 17th Ave, Columbus, OH 43211, United States",ccsoh.us
Learning Without Limits Educational Services,https://www.google.com/maps/place/Learning+Without+Limits+Educational+Services/data=!4m7!3m6!1s0x8838629a715d2837:0xb3b627c80d57f350!8m2!3d39.9550534!4d-82.8967821!16s%2Fg%2F11fx7w8tpl!19sChIJNyhdcZpiOIgRUPNXDcgntrM?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,5.0,4,+1 614-706-2649,"911 Robinwood Ave suite g, Columbus, OH 43213, United States",learningwithoutlimitsed.com
Columbus City Schools Adult & Community Education,https://www.google.com/maps/place/Columbus+City+Schools+Adult+%26+Community+Education/data=!4m7!3m6!1s0x883889584e6b9c6d:0xa2850de5e60bb4e3!8m2!3d40.012565!4d-82.980567!16s%2Fg%2F11byczykr0!19sChIJbZxrTliJOIgR47QL5uUNhaI?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,4.8,40,+1 614-365-6000,"2323 Lexington Ave, Columbus, OH 43211, United States",ccsoh.us
Reach Educational Services,https://www.google.com/maps/place/Reach+Educational+Services/data=!4m7!3m6!1s0x88388d9a46dbe155:0x63e857031a8ccf17!8m2!3d40.09818!4d-83.097898!16s%2Fg%2F1xcbq8rc!19sChIJVeHbRpqNOIgRF8-MGgNX6GM?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,3.6,9,+1 614-451-4465,"4015 W Granville Rd, Dublin, OH 43017, United States",reachohio.com
Fort Hayes Metropolitan Education Center,https://www.google.com/maps/place/Fort+Hayes+Metropolitan+Education+Center/data=!4m7!3m6!1s0x88388929e63b3a41:0xfccf05dd320ae4ec!8m2!3d39.9746008!4d-82.9875589!16zL20vMGdoOTYw!19sChIJQTo75imJOIgR7OQKMt0Fz_w?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,3.9,55,+1 614-365-6681,"546 Jack Gibbs Blvd, Columbus, OH 43215, United States",ccsoh.us
Pace Education Services,https://www.google.com/maps/place/Pace+Education+Services/data=!4m7!3m6!1s0x6a426c3b53019543:0x5f76b13837253068!8m2!3d40.3633984!4d-82.669505!16s%2Fg%2F11nwsy2s69!19sChIJQ5UBUztsQmoRaDAlNzixdl8?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,0.0,0,+1 614-678-6907,-,-
Columbus City Schools Central Enrollment Center,https://www.google.com/maps/place/Columbus+City+Schools+Central+Enrollment+Center/data=!4m7!3m6!1s0x883888d5a8e04e57:0xd7bc1643241ed947!8m2!3d39.9728457!4d-82.9893462!16s%2Fg%2F11bw4md_8s!19sChIJV07gqNWIOIgRR9keJEMWvNc?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,3.7,145,+1 614-365-4011,"430 Cleveland Ave, Columbus, OH 43215, United States",ccsoh.us
BWS Education Consulting,https://www.google.com/maps/place/BWS+Education+Consulting/data=!4m7!3m6!1s0x8838f29fb73d4943:0x1794c8e7ce833585!8m2!3d40.1245474!4d-83.0775171!16s%2Fg%2F1td9fdx_!19sChIJQ0k9t5_yOIgRhTWDzufIlBc?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,5.0,26,+1 614-353-4725,"2296 Satterbury Ct, Dublin, OH 43016, United States",bwseducationconsulting.com
Willow Tree Education Services LLC,https://www.google.com/maps/place/Willow+Tree+Education+Services+LLC/data=!4m7!3m6!1s0x883887e4cf2e07e9:0x67d5d8f588029553!8m2!3d40.0113175!4d-82.9534572!16s%2Fg%2F11k6mg9spq!19sChIJ6Qcuz-SHOIgRU5UCiPXY1Wc?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,0.0,0,+1 614-706-2287,-,-
"eSchool Consultants, Inc.","https://www.google.com/maps/place/eSchool+Consultants,+Inc./data=!4m7!3m6!1s0x8838860033b6352d:0x72fe4e4906052a99!8m2!3d39.915807!4d-82.876968!16s%2Fg%2F1tcz8zzw!19sChIJLTW2MwCGOIgRmSoFBklO_nI?authuser=0&hl=en&rclk=1",Educational Services in Columbus Ohio,3.6,5,+1 614-322-7996,"4480 Refugee Rd Suite 208, Columbus, OH 43232, United States",focuslearn.org
Midwest Educational Therapists & Associates,https://www.google.com/maps/place/Midwest+Educational+Therapists+%26+Associates/data=!4m7!3m6!1s0x8838f3cd6439d831:0x87a13140c9e9dfcb!8m2!3d40.1227025!4d-83.0338472!16s%2Fg%2F11tkb4d7bj!19sChIJMdg5ZM3zOIgRy9_pyUAxoYc?authuser=0&hl=en&rclk=1,Educational Services in Columbus Ohio,5.0,5,+1 614-625-1771,"7720 Rivers Edge Dr #121, Columbus, OH 43235, United States",metaoh.org
