Name,URL,Query,Rating,Reviews,Phone,Address,Website
Region 19 Education Services Center,https://www.google.com/maps/place/Region+19+Education+Services+Center/data=!4m7!3m6!1s0x86e74370bc9b9c25:0x834057afa449b2c9!8m2!3d31.7925872!4d-106.3966058!16s%2Fg%2F1yfj72r9m!19sChIJJZybvHBD54YRybJJpK9XQIM?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.5,38,+1 915-780-1919,"6611 Boeing Dr, El Paso, TX 79925, United States",esc19.net
Education Service Center Region,https://www.google.com/maps/place/Education+Service+Center+Region/data=!4m7!3m6!1s0x86e73877d5cda22d:0x5619f94846762294!8m2!3d31.8255147!4d-106.1565878!16s%2Fg%2F1tjpqyvf!19sChIJLaLN1Xc454YRlCJ2Rkj5GVY?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,5.0,1,+1 915-849-6782,"4250 O'shea Rd, El Paso, TX 79938, United States",-
Responsive Learning,https://www.google.com/maps/place/Responsive+Learning/data=!4m7!3m6!1s0x86e759a48ca2408b:0x492160f271a10433!8m2!3d31.7777576!4d-106.4713476!16s%2Fg%2F1tlz_mr5!19sChIJi0CijKRZ54YRMwShcfJgIUk?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,5.0,29,+1 915-532-9964,"2118 Grant Ave, El Paso, TX 79930, United States",responsivelearning.com
EPISD SPECIAL EDUCATION HEALTH SERVICES CENTER,https://www.google.com/maps/place/EPISD+SPECIAL+EDUCATION+HEALTH+SERVICES+CENTER/data=!4m7!3m6!1s0x86e7575df9c0eb23:0xba8aefc30d781025!8m2!3d31.830014!4d-106.4493201!16s%2Fg%2F11nrwqkvs1!19sChIJI-vA-V1X54YRJRB4DcPviro?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,2.6,5,+1 915-230-2500,"3700 Thomason Ave, El Paso, TX 79904, United States",episd.org
SISD Community Education Department,https://www.google.com/maps/place/SISD+Community+Education+Department/data=!4m7!3m6!1s0x86e769d1413d8105:0x6b7ffdc09d1a8bb6!8m2!3d31.7061387!4d-106.2735686!16s%2Fg%2F11gzfqs1f!19sChIJBYE9QdFp54YRtosancD9f2s?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.9,16,+1 915-937-1700,"12380 Pine Springs Dr, El Paso, TX 79928, United States",sisd.net
Texas Alcohol Education Services,https://www.google.com/maps/place/Texas+Alcohol+Education+Services/data=!4m7!3m6!1s0x86e75af9d827cd4b:0x9a1d3db1690eb9ab!8m2!3d31.7911481!4d-106.3881223!16s%2Fg%2F11c5823lc0!19sChIJS80n2Pla54YRq7kOabE9HZo?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,0.0,0,+1 915-204-4045,"7501 Lockheed Dr, El Paso, TX 79925, United States",-
A Better Choice Education Program,https://www.google.com/maps/place/A+Better+Choice+Education+Program/data=!4m7!3m6!1s0x86e7599d4157d1b1:0xc7492406ffd8fb49!8m2!3d31.7592294!4d-106.4815635!16s%2Fg%2F11vk7gbffp!19sChIJsdFXQZ1Z54YRSfvY_wYkScc?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,5.0,55,+1 956-359-6380,"800 E San Antonio Ave, El Paso, TX 79901, United States",dwiclassestx.com
Learning Disabilities Association + Of Texas El Paso Council,https://www.google.com/maps/place/Learning+Disabilities+Association+%2B+Of+Texas+El+Paso+Council/data=!4m7!3m6!1s0x86e744cf69e6c3af:0x87db565f42054ad9!8m2!3d31.7716725!4d-106.3356149!16s%2Fg%2F125_v_x2v!19sChIJr8Pmac9E54YR2UoFQl9W24c?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,5.0,1,+1 915-591-8080,"10510 Montwood Dr # D, El Paso, TX 79935, United States",-
Ysleta Community Learning Center,https://www.google.com/maps/place/Ysleta+Community+Learning+Center/data=!4m7!3m6!1s0x86e742d73e1af4ed:0x8d5cd73d356eca9!8m2!3d31.6939138!4d-106.3364576!16s%2Fg%2F1tftlnq4!19sChIJ7fQaPtdC54YRqexW03PN1Qg?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.6,51,+1 915-434-9400,"121 Padres Dr, El Paso, TX 79907, United States",yisd.net
Level Up Coaching & Human Development,https://www.google.com/maps/place/Level+Up+Coaching+%26+Human+Development/data=!4m7!3m6!1s0x86e759b47623b543:0x561551fc10cf42d9!8m2!3d31.7553378!4d-106.4931378!16s%2Fg%2F11g1gs7hrx!19sChIJQ7UjdrRZ54YR2ULPEPxRFVY?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,5.0,31,+1 915-262-1370,"500 W Overland Ave Ste 250 - L1, El Paso, TX 79901, United States",lupcoaching.com
Center for Career & Technology Education,https://www.google.com/maps/place/Center+for+Career+%26+Technology+Education/data=!4m7!3m6!1s0x86e759bb1cdf78fd:0x48b482cd9ffaa84d!8m2!3d31.7816549!4d-106.4724729!16s%2Fg%2F1pv60x0fc!19sChIJ_XjfHLtZ54YRTaj6n82CtEg?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.9,50,+1 915-236-7900,"1170 N Walnut St, El Paso, TX 79930, United States",episd.org
Education Center Ft Bliss,https://www.google.com/maps/place/Education+Center+Ft+Bliss/data=!4m7!3m6!1s0x86e7500fd879993d:0x9f5d8a9b4a42328d!8m2!3d31.8110463!4d-106.4129674!16s%2Fg%2F11ckfbvbrf!19sChIJPZl52A9Q54YRjTJCSpuKXZ8?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.5,17,+1 915-568-6831,"Building 2916/2917, Fort Bliss, TX 79906, United States",education.army.mil
Innovative Minds,https://www.google.com/maps/place/Innovative+Minds/data=!4m7!3m6!1s0x86e743f5a509760b:0xf885fdad119aac76!8m2!3d31.7387222!4d-106.3179135!16s%2Fg%2F11hfz55vb1!19sChIJC3YJpfVD54YRdqyaEa39hfg?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.9,120,+1 915-219-4232,"11436 Rojas Dr Suite B-10, El Paso, TX 79936, United States",e-ime.com
El Paso Community College - Administrative Services Center - EPCC ASC,https://www.google.com/maps/place/El+Paso+Community+College+-+Administrative+Services+Center+-+EPCC+ASC/data=!4m7!3m6!1s0x86e75b181b4e8715:0x6891ae184af97517!8m2!3d31.772572!4d-106.371546!16s%2Fg%2F1jlk04xz2!19sChIJFYdOGxhb54YRF3X5ShiukWg?authuser=0&hl=en&rclk=1,Educational Services in El Paso Texas,4.4,68,+1 915-831-3722,"9050 Viscount Blvd, El Paso, TX 79925, United States",epcc.edu
