Name,URL,Query,Rating,Reviews,Phone,Address,Website
Region 4 Education Service Center,https://www.google.com/maps/place/Region+4+Education+Service+Center/data=!4m7!3m6!1s0x8640c5f2b60d656d:0x71341f24c8609ba1!8m2!3d29.849583!4d-95.4984472!16s%2Fg%2F1vs1s7_3!19sChIJbWUNtvLFQIYRoZtgyCQfNHE?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,4.5,63,+1 713-462-7708,"7145 W Tidwell Rd, Houston, TX 77092, United States",esc4.net
Houston Educational Services,https://www.google.com/maps/place/Houston+Educational+Services/data=!4m7!3m6!1s0x8640c1a2ffd3e29b:0x357e14021111f830!8m2!3d29.7143358!4d-95.454217!16s%2Fg%2F11f3xg857n!19sChIJm-LT_6LBQIYRMPgREQIUfjU?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,0.0,0,+1 713-666-9343,"4545 Bissonnet St, Bellaire, TX 77401, United States",houstoneducationalservices.com
Educational Services Houston,https://www.google.com/maps/place/Educational+Services+Houston/data=!4m7!3m6!1s0x8640c135ca118dfb:0xec575dd3063cec21!8m2!3d29.716598!4d-95.498702!16s%2Fg%2F11f657d_h4!19sChIJ-40RyjXBQIYRIew8BtNdV-w?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,0.0,0,+1 832-458-8860,-,-
SDR Educational Consultants,https://www.google.com/maps/place/SDR+Educational+Consultants/data=!4m7!3m6!1s0x8640c52397caf567:0x91bf2e06680d6565!8m2!3d29.819552!4d-95.544562!16s%2Fg%2F1tct92vy!19sChIJZ_XKlyPFQIYRZWUNaAYuv5E?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,4.4,114,+1 713-460-3525,"2600 Gessner Rd #267, Houston, TX 77080, United States",sdreducational.org
Diagnostic Learning Services - Houston,https://www.google.com/maps/place/Diagnostic+Learning+Services+-+Houston/data=!4m7!3m6!1s0x8640db46cd1b00fb:0xbe0f91d7b658f12c!8m2!3d29.7524936!4d-95.4832335!16s%2Fg%2F11cjhznnrk!19sChIJ-wAbzUbbQIYRLPFYtteRD74?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,5.0,145,+1 832-839-2203,"1502 Augusta Dr Suite #396, Houston, TX 77057, United States",diagnostic-learning.com
Firat Education,https://www.google.com/maps/place/Firat+Education/data=!4m7!3m6!1s0x8640c11d0d335977:0x9687da9afd4d0d45!8m2!3d29.7942347!4d-95.4791328!16s%2Fg%2F1wrgkjtc!19sChIJd1kzDR3BQIYRRQ1N_Zrah5Y?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,4.6,9,+1 713-871-1048,"7521 Westview Dr, Houston, TX 77055, United States",firateducation.com
"Bright Literacy Educational Services, LLC","https://www.google.com/maps/place/Bright+Literacy+Educational+Services,+LLC/data=!4m7!3m6!1s0x6c379b8f6220e4fb:0xbb5666150f1d06c2!8m2!3d29.817178!4d-95.4012914!16s%2Fg%2F11w9kd9s55!19sChIJ--QgYo-bN2wRwgYdDxVmVrs?authuser=0&hl=en&rclk=1",Educational Services in Houston Texas,5.0,3,+1 832-353-9772,-,-
Education Specialists LLC,https://www.google.com/maps/place/Education+Specialists+LLC/data=!4m7!3m6!1s0x8640c4c4b1891899:0xc79ad3b0587a9a35!8m2!3d29.7837498!4d-95.5861623!16s%2Fg%2F1vntk8hg!19sChIJmRiJscTEQIYRNZp6WLDTmsc?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,3.7,6,+1 713-461-7996,"11511 Katy Fwy #502, Houston, TX 77079, United States",-
TExES Teacher Certification Test Prep Courses-KAB Educational Consulting,https://www.google.com/maps/place/TExES+Teacher+Certification+Test+Prep+Courses-KAB+Educational+Consulting/data=!4m7!3m6!1s0x8640cb84c8759025:0x252ab4f4ddc81b56!8m2!3d31.1689103!4d-100.0768425!16s%2Fg%2F11ll8qyv4s!19sChIJJZB1yITLQIYRVhvI3fS0KiU?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,5.0,37,+1 409-241-0613,-,-
Alief Educational Services Center,https://www.google.com/maps/place/Alief+Educational+Services+Center/data=!4m7!3m6!1s0x8640c2a859c09823:0x6e33e0af81470be1!8m2!3d31.5904382!4d-99.288293!16s%2Fg%2F1hc1rrw4j!19sChIJI5jAWajCQIYR4QtHga_gM24?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,1.0,1,+1 713-772-9085,-,aliefeducationstation.org
Involvement Educational Services,https://www.google.com/maps/place/Involvement+Educational+Services/data=!4m7!3m6!1s0xacb38e689fc2e229:0x49e095ad33960e75!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11vxny29_h!19sChIJKeLCn2iOs6wRdQ6WM62V4Ek?authuser=0&hl=en&rclk=1,Educational Services in Houston Texas,5.0,24,+1 979-353-1213,-,involvement-ed.com
