Name,URL,Query,Rating,Reviews,Phone,Address,Website
"River City Education Services, Inc.","https://www.google.com/maps/place/River+City+Education+Services,+Inc./data=!4m7!3m6!1s0x88e5b5c1441fdd19:0x39aee7a4599120d4!8m2!3d30.2896509!4d-81.580308!16s%2Fg%2F11h2ffgt4h!19sChIJGd0fRMG15YgR1CCRWaTnrjk?authuser=0&hl=en&rclk=1",Educational Services in Jacksonville Florida,5.0,1,-,"7565 Beach Blvd, Jacksonville, FL 32216, United States",-
Children's Educational Services,https://www.google.com/maps/place/Children%27s+Educational+Services/data=!4m7!3m6!1s0x88e5cee9d5b1a7e5:0x97a8eb7f140f7dc9!8m2!3d30.1176431!4d-81.4186828!16s%2Fg%2F11cjpc781p!19sChIJ5aex1enO5YgRyX0PFH_rqJc?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,5.0,16,+1 904-652-1282,"90 Fort Wade Rd, Ponte Vedra Beach, FL 32081, United States",ces-schools.net
All Purpose Educational Services,https://www.google.com/maps/place/All+Purpose+Educational+Services/data=!4m7!3m6!1s0x88e5ba24532ad77f:0x12945f568ccf6971!8m2!3d30.3656122!4d-81.7213345!16s%2Fg%2F11t13t0cfl!19sChIJf9cqUyS65YgRcWnPjFZflBI?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,5.0,2,+1 904-614-3617,"5600 New Kings Rd ste 5, Jacksonville, FL 32209, United States",allpurposeeduservices.com
Florida Educational Services,https://www.google.com/maps/place/Florida+Educational+Services/data=!4m7!3m6!1s0x88e5b5e11d724473:0xd361620a71f0fa76!8m2!3d30.2777274!4d-81.599909!16s%2Fg%2F1vs5xjts!19sChIJc0RyHeG15YgRdvrwcQpiYdM?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,0.0,0,+1 904-674-0310,"6211 Terry Rd, Jacksonville, FL 32216, United States",-
CES Academy of Jacksonville,https://www.google.com/maps/place/CES+Academy+of+Jacksonville/data=!4m7!3m6!1s0x88e5b42fc5a830a1:0xa59fe35d94eda88b!8m2!3d30.2857354!4d-81.5773719!16s%2Fg%2F1tdym0dq!19sChIJoTCoxS-05YgRi6jtlF3jn6U?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,4.9,31,+1 904-254-6428,"8045 Hogan Rd, Jacksonville, FL 32216, United States",ces-schools.net
Keys to Success Educational Consulting,https://www.google.com/maps/place/Keys+to+Success+Educational+Consulting/data=!4m7!3m6!1s0x88e4332feb712613:0x516d32fbdf3501ae!8m2!3d30.1056221!4d-81.5036514!16s%2Fg%2F11fp4skfn3!19sChIJEyZx6y8z5IgRrgE13_sybVE?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,5.0,1,+1 904-914-8120,"5985 Bartram Village Dr, Jacksonville, FL 32258, United States",-
Magnolia Educational Services,https://www.google.com/maps/place/Magnolia+Educational+Services/data=!4m7!3m6!1s0x88e5b918e01a5ef5:0xbab8f694d1ecb735!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11jvfbzvqc!19sChIJ9V4a4Bi55YgRNbfs0ZT2uLo?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,0.0,0,+1 904-325-6359,-,-
Chapman Education Services,https://www.google.com/maps/place/Chapman+Education+Services/data=!4m7!3m6!1s0x88e5c19e845c0733:0xc0a0a2c27d207ab1!8m2!3d30.1856388!4d-81.7259949!16s%2Fg%2F11stzqznxk!19sChIJMwdchJ7B5YgRsXogfcKioMA?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,5.0,2,+1 904-917-1830,"1700 Wells Rd STE 15, Orange Park, FL 32073, United States",chapmaneducationservices.com
North Florida School of Special Education,https://www.google.com/maps/place/North+Florida+School+of+Special+Education/data=!4m7!3m6!1s0x88e5b45f7cb8575d:0x48a312a2e6bd27b8!8m2!3d30.3196412!4d-81.5598404!16s%2Fg%2F1tj7x5rd!19sChIJXVe4fF-05YgRuCe95qISo0g?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,4.7,13,+1 904-724-8323,"223 Mill Creek Rd, Jacksonville, FL 32211, United States",northfloridaschool.org
Accessible Education Solutions,https://www.google.com/maps/place/Accessible+Education+Solutions/data=!4m7!3m6!1s0xa6d978cbb5c20853:0xb681aaf7416e55a!8m2!3d30.318249!4d-81.488527!16s%2Fg%2F11t7l4_9gh!19sChIJUwjCtct42aYRWuUWdK8aaAs?authuser=0&hl=en&rclk=1,Educational Services in Jacksonville Florida,5.0,8,+1 904-842-2794,-,accessibleeducationsolutions.com
