Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Expanded Educational Services, Inc.","https://www.google.com/maps/place/Expanded+Educational+Services,+Inc./data=!4m7!3m6!1s0x887f82dba1a5e9a3:0xa53e1c2cd790dd8a!8m2!3d35.0037656!4d-89.830664!16s%2Fg%2F11d_d516ll!19sChIJo-mloduCf4gRit2Q1ywcPqU?authuser=0&hl=en&rclk=1",Educational Services in Memphis Tennessee,5.0,5,+1 901-265-3344,"5270 Riverdale Rd, Memphis, TN 38141, United States",expandededucationalservices.com
Destination Education,https://www.google.com/maps/place/Destination+Education/data=!4m7!3m6!1s0x887f8269758d99ad:0xf6309b91b5211a80!8m2!3d35.0189077!4d-89.8308096!16s%2Fg%2F11g8ys3j_h!19sChIJrZmNdWmCf4gRgBohtZGbMPY?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.8,26,+1 901-207-2995,"4744 Riverdale Rd, Memphis, TN 38141, United States",destinationeducationlc.com
Memphis-Shelby County Schools Teaching & Learning Academy,https://www.google.com/maps/place/Memphis-Shelby+County+Schools+Teaching+%26+Learning+Academy/data=!4m7!3m6!1s0x87d57d881d8d6d31:0x9221bb2980fa4ea9!8m2!3d35.132895!4d-89.9785941!16s%2Fg%2F1trvlzpm!19sChIJMW2NHYh91YcRqU76gCm7IZI?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.7,18,+1 901-416-5930,"2485 Union Ave, Memphis, TN 38112, United States",-
Brand Boss Academy,https://www.google.com/maps/place/Brand+Boss+Academy/data=!4m7!3m6!1s0x87d57fbd44f01c53:0xb3feef79cbfaf7bc!8m2!3d35.1430628!4d-90.0505848!16s%2Fg%2F11qlz_cvq9!19sChIJUxzwRL1_1YcRvPf6y3nv_rM?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,5.0,20,+1 901-219-7477,"50 S B.B. King Blvd Suite #350, Memphis, TN 38103, United States",-
HopeWorks Adult Education,https://www.google.com/maps/place/HopeWorks+Adult+Education/data=!4m7!3m6!1s0x87d562f1e05edde5:0xb2d9d1d7cb40f1b0!8m2!3d35.005808!4d-90.0245401!16s%2Fg%2F11g9jgrs5f!19sChIJ5d1e4PFi1YcRsPFAy9fR2bI?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.9,29,+1 901-396-8800,"1187 E Holmes Rd, Memphis, TN 38116, United States",sites.google.com
The Excel Center,https://www.google.com/maps/place/The+Excel+Center/data=!4m7!3m6!1s0x87d57d9df1db3765:0x4117063e038b782a!8m2!3d35.0791632!4d-89.9022562!16s%2Fg%2F11b6nq6khy!19sChIJZTfb8Z191YcRKniLAz4GF0E?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.3,81,+1 901-726-3100,"2576 Thousand Oaks Blvd, Memphis, TN 38118, United States",goodwillmemphis.org
The Bowie Center Tutoring,https://www.google.com/maps/place/The+Bowie+Center+Tutoring/data=!4m7!3m6!1s0x887f8528e9ab6f31:0x3a8ee014d4fe566!8m2!3d35.079341!4d-89.858503!16s%2Fg%2F1tffkjvt!19sChIJMW-r6SiFf4gRZuVPTQHuqAM?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.3,40,+1 901-474-1081,"2550 Ridgeway Rd, Memphis, TN 38119, United States",bowietutoring.com
LearningRx - Memphis Germantown,https://www.google.com/maps/place/LearningRx+-+Memphis+Germantown/data=!4m7!3m6!1s0x887f9a15459bfb3b:0xaf06559057734919!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1pp2txygm!19sChIJO_ubRRWaf4gRGUlzV5BVBq8?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,5.0,16,+1 866-272-4601,-,learningrx.com
Academic Advantage,https://www.google.com/maps/place/Academic+Advantage/data=!4m7!3m6!1s0x887f85471b2b2617:0xd396bcf545bee35!8m2!3d35.114996!4d-89.8901856!16s%2Fg%2F11g2x7bt7w!19sChIJFyYrG0eFf4gRNe5bVM9rOQ0?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,5.0,2,+1 901-921-1833,"5148 Wheelis Dr, Memphis, TN 38117, United States",academicadv.org
Global Children Services,https://www.google.com/maps/place/Global+Children+Services/data=!4m7!3m6!1s0x87d56284d43fac7d:0xfd8f4adc6dc4b3d3!8m2!3d35.0054957!4d-90.0067575!16s%2Fg%2F11dfj1ssjt!19sChIJfaw_1IRi1YcR07PEbdxKj_0?authuser=0&hl=en&rclk=1,Educational Services in Memphis Tennessee,4.9,11,+1 901-531-9165,"5235 Martin Edwards Pl, Memphis, TN 38116, United States",globalchildrenservices.org
