Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Education Service Center, Region 20","https://www.google.com/maps/place/Education+Service+Center,+Region+20/data=!4m7!3m6!1s0x865cf5ce0b0a4eef:0x89355b8d90a30fb7!8m2!3d29.4418863!4d-98.4461343!16s%2Fg%2F1tdpgmj6!19sChIJ704KC871XIYRtw-jkI1bNYk?authuser=0&hl=en&rclk=1",Educational Services in San Antonio Texas,4.6,57,+1 210-370-5200,"1314 Hines, San Antonio, TX 78208, United States",esc20.net
RB Education Services,https://www.google.com/maps/place/RB+Education+Services/data=!4m7!3m6!1s0x865cfb0e8823a7d9:0x7a905ad01098d627!8m2!3d29.6193225!4d-98.5224324!16s%2Fg%2F119v92q5g!19sChIJ2acjiA77XIYRJ9aYENBakHo?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,1,+1 210-257-9540,-,rbeducationservices.org
Beyond the Horizon Educational Services,https://www.google.com/maps/place/Beyond+the+Horizon+Educational+Services/data=!4m7!3m6!1s0x865c5dec3680b925:0x98574f5b4b64eef9!8m2!3d29.5076066!4d-98.5937808!16s%2Fg%2F11rpt602v8!19sChIJJbmANuxdXIYR-e5kS1tPV5g?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,1,+1 512-998-0177,"7221 Lamb Rd #915, San Antonio, TX 78240, United States",-
"Alamo City Education Services, Inc.","https://www.google.com/maps/place/Alamo+City+Education+Services,+Inc./data=!4m7!3m6!1s0x865c8cacd8b8d2f5:0xa921e2b02afb3dc2!8m2!3d29.5249906!4d-98.3882295!16s%2Fg%2F11gb3jmv08!19sChIJ9dK42KyMXIYRwj37KrDiIak?authuser=0&hl=en&rclk=1",Educational Services in San Antonio Texas,3.4,15,+1 210-600-4407,"5121 Crestway Dr Suite 113, San Antonio, TX 78239, United States",alamocity.education
My Education Solutions,https://www.google.com/maps/place/My+Education+Solutions/data=!4m7!3m6!1s0x865c60820ed77f3d:0x3ba76c8c0dca65ea!8m2!3d29.5499973!4d-98.5402185!16s%2Fg%2F11btxhln5v!19sChIJPX_XDoJgXIYR6mXKDYxspzs?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,4.8,519,+1 210-812-3200,"2700 Lockhill Selma Rd, San Antonio, TX 78230, United States",myedusolutions.com
Restore Education,https://www.google.com/maps/place/Restore+Education/data=!4m7!3m6!1s0x865c5f5cd0789c05:0xdbd9267cfcab29d9!8m2!3d29.4730716!4d-98.4997219!16s%2Fg%2F1q5bp6vtw!19sChIJBZx40FxfXIYR2Smr_Hwm2ds?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,4.8,100,+1 210-432-6123,"4205 San Pedro Ave, San Antonio, TX 78212, United States",restoreeducation.org
LULAC NATIONAL EDUCATIONAL SERVICE CENTER,https://www.google.com/maps/place/LULAC+NATIONAL+EDUCATIONAL+SERVICE+CENTER/data=!4m7!3m6!1s0x865c5ffce7a859cd:0x54386d3a7af499ce!8m2!3d29.4526306!4d-98.4991251!16s%2Fg%2F11h3lf0c2_!19sChIJzVmo5_xfXIYRzpn0ejptOFQ?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,1,+1 210-226-2772,"342 W Woodlawn Ave #201, San Antonio, TX 78212, United States",lnesc.org
Ascend Education,https://www.google.com/maps/place/Ascend+Education/data=!4m7!3m6!1s0x865cf7fb5331a41b:0x749b0ea0b51c46a8!8m2!3d29.4348493!4d-98.40119!16s%2Fg%2F11vwhty5jr!19sChIJG6QxU_v3XIYRqEYctaAOm3Q?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,9,-,-,ascendedu.co
Alamo Colleges District Westside Education & Training Center,https://www.google.com/maps/place/Alamo+Colleges+District+Westside+Education+%26+Training+Center/data=!4m7!3m6!1s0x865c5c061efbe9b1:0xcfa57cc3677cfe1d!8m2!3d29.4239484!4d-98.5836321!16s%2Fg%2F1q5gwh9nz!19sChIJsen7HgZcXIYRHf58Z8N8pc8?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,4.4,35,+1 210-485-0000,"610 SW 41st St, San Antonio, TX 78237, United States",alamo.edu
LearningRx,https://www.google.com/maps/place/LearningRx/data=!4m7!3m6!1s0x865c674c71d54253:0x4ad3532c96383076!8m2!3d29.5625855!4d-98.6091976!16s%2Fg%2F1hc458bb8!19sChIJU0LVcUxnXIYRdjA4lixT00o?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,33,+1 210-699-6463,"6222 De Zavala Rd STE 203, San Antonio, TX 78249, United States",learningrx.com
Educational Testing,https://www.google.com/maps/place/Educational+Testing/data=!4m7!3m6!1s0x865c67322e36029f:0x4dfb4dd64bb84ea6!8m2!3d29.5450395!4d-98.577271!16s%2Fg%2F1v44qvbm!19sChIJnwI2LjJnXIYRpk64S9ZN-00?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,2,+1 210-558-5350,"10999 Frontage Rd # 400, San Antonio, TX 78230, United States",ets.org
Northside Learning Center,https://www.google.com/maps/place/Northside+Learning+Center/data=!4m7!3m6!1s0x865c5d76595534b9:0x22a68078ee34325a!8m2!3d29.4938279!4d-98.618268!16s%2Fg%2F1q5gqxrs0!19sChIJuTRVWXZdXIYRWjI07niApiI?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,4.8,124,+1 210-397-8100,"6632 Bandera Rd, San Antonio, TX 78238, United States",nisd.net
Teaching Growth,https://www.google.com/maps/place/Teaching+Growth/data=!4m7!3m6!1s0x865c436940dca747:0x47bf21d40e3fdcfb!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11h71nl30w!19sChIJR6fcQGlDXIYR-9w_DtQhv0c?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,4.8,25,+1 210-541-2983,-,teachinggrowth.com
Lonestar Education,https://www.google.com/maps/place/Lonestar+Education/data=!4m7!3m6!1s0x865cf61e43617303:0x4d8240ec3fe4821a!8m2!3d29.4585735!4d-98.5143764!16s%2Fg%2F1tdbr8z9!19sChIJA3NhQx72XIYRGoLkP-xAgk0?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,1,+1 210-816-3281,-,lonestartutoring.com
Eagles Wing Academic Services,https://www.google.com/maps/place/Eagles+Wing+Academic+Services/data=!4m7!3m6!1s0xac11c9feaf4b9585:0x854dff33194f6b1f!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11nxsmb5xb!19sChIJhZVLr_7JEawRH2tPGTP_TYU?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,0.0,0,+1 512-553-2648,-,-
Student Assistance Learning Center,https://www.google.com/maps/place/Student+Assistance+Learning+Center/data=!4m7!3m6!1s0x865c5f5d3be2ba1b:0xa48585d516cd4077!8m2!3d29.4463118!4d-98.4943201!16s%2Fg%2F11g6qszfx4!19sChIJG7riO11fXIYRd0DNFtWFhaQ?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,2,+1 210-486-0165,"1819 N Main Ave, San Antonio, TX 78212, United States",-
Beyond Education,https://www.google.com/maps/place/Beyond+Education/data=!4m7!3m6!1s0xacd3899a1759a601:0x106c272ed6f31304!8m2!3d29.4884632!4d-98.443571!16s%2Fg%2F11sxx6ffnz!19sChIJAaZZF5qJ06wRBBPz1i4nbBA?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,2,+1 210-816-1982,"1254 Austin Hwy Suite 103, San Antonio, TX 78209, United States",beyondedu.co
Pathways Home Education @ The Haven,https://www.google.com/maps/place/Pathways+Home+Education+@+The+Haven/data=!4m7!3m6!1s0x865cf510392a90d5:0x161e50bf7a90b6e1!8m2!3d29.5734865!4d-98.5880118!16s%2Fg%2F11q8y856q9!19sChIJ1ZAqORD1XIYR4baQer9QHhY?authuser=0&hl=en&rclk=1,Educational Services in San Antonio Texas,5.0,41,+1 210-430-7179,"5039 Beckwith Blvd # 109, San Antonio, TX 78249, United States",phesa.org
