Name,URL,Query,Rating,Reviews,Phone,Address,Website
San Diego Educational Services,https://www.google.com/maps/place/San+Diego+Educational+Services/data=!4m7!3m6!1s0x80dc01dace9fe51b:0x4bc628156d3909fa!8m2!3d32.8245525!4d-117.1089784!16s%2Fg%2F11ftkxmwmr!19sChIJG-WfztoB3IAR-gk5bRUoxks?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,1,+1 858-413-5584,-,sdeducationalservices.com
International Education Management (IEM),https://www.google.com/maps/place/International+Education+Management+%28IEM%29/data=!4m7!3m6!1s0x80dc0741d684924d:0x3f85e3e90f85ab71!8m2!3d32.72388!4d-117.161435!16s%2Fg%2F1td6sjdc!19sChIJTZKE1kEH3IARcauFD-njhT8?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,4.9,24,+1 619-450-2224,"1770 Fourth Ave, San Diego, CA 92101, United States",ieducationm.com
DJ Educational Consulting,https://www.google.com/maps/place/DJ+Educational+Consulting/data=!4m7!3m6!1s0x80dbf9695d150c6b:0xa3c11413746c3643!8m2!3d34.533092!4d-119.3396996!16s%2Fg%2F11mvv62hzk!19sChIJawwVXWn524ARQzZsdBMUwaM?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,69,-,"10089 Willow Creek Rd #200-C, San Diego, CA 92131, United States",djeducationalconsulting.com
Hawk Educational Solutions,https://www.google.com/maps/place/Hawk+Educational+Solutions/data=!4m7!3m6!1s0x80d9550291f26097:0x514b0b8a78917424!8m2!3d32.8245525!4d-117.1089784!16s%2Fg%2F11vm7g9x5l!19sChIJl2DykQJV2YARJHSReIoLS1E?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,33,+1 619-777-0973,-,hawkeducationtoday.com
Greenhaus College Consulting,https://www.google.com/maps/place/Greenhaus+College+Consulting/data=!4m7!3m6!1s0x80dc0796dc1b081f:0xed776cc7df30e3!8m2!3d32.9296331!4d-117.1923357!16s%2Fg%2F11dxkxn8mx!19sChIJHwgb3JYH3IAR4zDfx2x37QA?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,78,+1 858-481-6045,"5802 Brittany Forrest Ln, San Diego, CA 92130, United States",greenhauscollegeconsulting.com
EduAbroad,https://www.google.com/maps/place/EduAbroad/data=!4m7!3m6!1s0x80d954a63e7fac95:0xc9cf2bc7c18c1a01!8m2!3d32.7180744!4d-117.1596088!16s%2Fg%2F11b7q9879c!19sChIJlax_PqZU2YARARqMwccrz8k?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,4.7,127,+1 858-605-0085,"530 B St Suite 1030, San Diego, CA 92101, United States",eduabroad.us
"Medical Education Systems, Inc.","https://www.google.com/maps/place/Medical+Education+Systems,+Inc./data=!4m7!3m6!1s0x80deab26d9cf851b:0x162240f11093b2f5!8m2!3d32.7711743!4d-117.1854373!16s%2Fg%2F1tdnlfbs!19sChIJG4XP2Sar3oAR9bKTEPFAIhY?authuser=0&hl=en&rclk=1",Educational Services in San Diego California,4.9,76,+1 877-295-4719,"5955 Linda Vista Rd, San Diego, CA 92110, United States",mededsys.com
JEI Learning Center,https://www.google.com/maps/place/JEI+Learning+Center/data=!4m7!3m6!1s0x80dbf9c68b6ec5c1:0x311784a8a5284fb3!8m2!3d32.9606651!4d-117.1152618!16s%2Fg%2F12637nfnz!19sChIJwcVui8b524ARs08opaiEFzE?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,11,+1 858-231-9929,"9888 Carmel Mountain Rd Suite D, San Diego, CA 92129, United States",jeilearning.com
Marsha Flanagan Educational Services,https://www.google.com/maps/place/Marsha+Flanagan+Educational+Services/data=!4m7!3m6!1s0x80dc0924c8843919:0xdd2486c194a97fb1!8m2!3d32.9939326!4d-117.2518811!16s%2Fg%2F1tfv0vh7!19sChIJGTmEyCQJ3IARsX-plMGGJN0?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,5.0,1,+1 858-755-6675,"993 Lomas Santa Fe Dr suite g, Solana Beach, CA 92075, United States",-
Education Center,https://www.google.com/maps/place/Education+Center/data=!4m7!3m6!1s0x80d954e73b8c7155:0x97acea7922ad3a18!8m2!3d32.7543229!4d-117.1481458!16s%2Fg%2F1tdgq37s!19sChIJVXGMO-dU2YARGDqtInnqrJc?authuser=0&hl=en&rclk=1,Educational Services in San Diego California,4.7,9,+1 619-260-2410,"Education Center, 4100 Normal St, San Diego, CA 92103, United States",sandiegounified.org
