Name,URL,Query,Rating,Reviews,Phone,Address,Website
StudyFree,https://www.google.com/maps/place/StudyFree/data=!4m7!3m6!1s0x80858107807d6645:0xe4930a048437c54!8m2!3d37.7759158!4d-122.4403979!16s%2Fg%2F11pxs2xx3q!19sChIJRWZ9gAeBhYARVHxDSKAwSQ4?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.6,31,-,"1440 Grove St, San Francisco, CA 94117, United States",-
SFUSD Special Education Services (Early Childhood),https://www.google.com/maps/place/SFUSD+Special+Education+Services+%28Early+Childhood%29/data=!4m7!3m6!1s0x808f7f0fe71a9f19:0x4956f7b86b1e26f3!8m2!3d37.7345189!4d-122.3894829!16s%2Fg%2F11cm_hpck7!19sChIJGZ8a5w9_j4AR8yYea7j3Vkk?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,3.8,5,+1 415-401-2525,"1520 Oakdale Ave, San Francisco, CA 94124, United States",sfusd.edu
Empowerly College Counseling,https://www.google.com/maps/place/Empowerly+College+Counseling/data=!4m7!3m6!1s0x808fbad423b233af:0x9ed6d64360f86400!8m2!3d37.7647751!4d-122.4320369!16s%2Fg%2F1hc1gxyyn!19sChIJrzOyI9S6j4ARAGT4YEPW1p4?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,187,+1 800-491-6920,"2261 Market St #4555, San Francisco, CA 94114, United States",empowerly.com
San Francisco Creative Learning Solutions,https://www.google.com/maps/place/San+Francisco+Creative+Learning+Solutions/data=!4m7!3m6!1s0x808f7e70c009f2af:0xe1b30abcc30d223e!8m2!3d37.7384617!4d-122.4397569!16s%2Fg%2F1tfbypx8!19sChIJr_IJwHB-j4ARPiINw7wKs-E?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,2,+1 415-370-2916,"5705 Diamond Heights Blvd #2611, San Francisco, CA 94131, United States",sflearns.com
SFUSD Academic & Professional Development service center,https://www.google.com/maps/place/SFUSD+Academic+%26+Professional+Development+service+center/data=!4m7!3m6!1s0x8085870c2c49d0df:0xb8794d55d6c22504!8m2!3d37.7756825!4d-122.483783!16s%2Fm%2F076mdbf!19sChIJ39BJLAyHhYARBCXC1lVNebg?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.0,2,+1 415-241-6000,"735 24th Ave, San Francisco, CA 94121, United States",sfusd.edu
LessonsUp,https://www.google.com/maps/place/LessonsUp/data=!4m7!3m6!1s0x808f7f395ab85c4f:0xa9fb2ae27fb00ae1!8m2!3d37.7749026!4d-122.4169367!16s%2Fg%2F11l4k6pm16!19sChIJT1y4Wjl_j4AR4Qqwf-Iq-6k?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.9,45,+1 510-671-0357,"1460 Mission St, San Francisco, CA 94110, United States",lessonsup.com
Educational Placement Center,https://www.google.com/maps/place/Educational+Placement+Center/data=!4m7!3m6!1s0x8085809845d9b109:0x15916d4f1c2a54d0!8m2!3d37.7793134!4d-122.4220755!16s%2Fg%2F11bv1cpv4t!19sChIJCbHZRZiAhYAR0FQqHE9tkRU?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,2.6,18,+1 415-241-6085,"555 Franklin St, San Francisco, CA 94102, United States",sfusd.edu
Crimson Education,https://www.google.com/maps/place/Crimson+Education/data=!4m7!3m6!1s0x8085808baec2b473:0x402834e711bfb91e!8m2!3d37.7929216!4d-122.4047371!16s%2Fg%2F11hd765sx_!19sChIJc7TCrouAhYARHrm_Eec0KEA?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.7,28,+1 415-523-0132,"600 California St 11th Floor, San Francisco, CA 94108, United States",-
Sylvan Learning of San Francisco,https://www.google.com/maps/place/Sylvan+Learning+of+San+Francisco/data=!4m7!3m6!1s0x808f7dbfee2ca2c7:0xf07d4f256b39f37c!8m2!3d37.7367505!4d-122.470193!16s%2Fg%2F1wd3w8p7!19sChIJx6Is7r99j4ARfPM5ayVPffA?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.9,275,+1 415-504-1885,"379 W Portal Ave, San Francisco, CA 94127, United States",sylvanlearning.com
USF School Of Education,https://www.google.com/maps/place/USF+School+Of+Education/data=!4m7!3m6!1s0x8085874b147f5d79:0xcf65bb1deb37b5c6!8m2!3d37.778863!4d-122.4485051!16s%2Fg%2F11_rpll_q!19sChIJeV1_FEuHhYARxrU36x27Zc8?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.6,11,+1 415-422-5467,"2350 Turk Blvd, San Francisco, CA 94118, United States",usfca.edu
Mission Language and Professional School,https://www.google.com/maps/place/Mission+Language+and+Professional+School/data=!4m7!3m6!1s0x808f7e30caa7c469:0x64b7264bd0bfc1f8!8m2!3d37.7603222!4d-122.4113533!16s%2Fg%2F1w0r043r!19sChIJacSnyjB-j4AR-MG_0Esmt2Q?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.9,11,+1 415-622-5432,"2929 19th St, San Francisco, CA 94110, United States",mlvschool.org
C2 Education of West Portal,https://www.google.com/maps/place/C2+Education+of+West+Portal/data=!4m7!3m6!1s0x808f7deaab52cedb:0xdee73de29e0defcc!8m2!3d37.7380669!4d-122.4694971!16s%2Fg%2F1hc19w68h!19sChIJ285Sq-p9j4ARzO8NnuI9594?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,21,+1 415-759-1196,"300 W Portal Ave Unit C, San Francisco, CA 94127, United States",c2educate.com
Product School San Francisco,https://www.google.com/maps/place/Product+School+San+Francisco/data=!4m7!3m6!1s0x808580f54c9033d9:0xffa2423f4aedd6fa!8m2!3d37.7900465!4d-122.4008744!16s%2Fg%2F11gb3wbcyj!19sChIJ2TOQTPWAhYAR-tbtSj9Cov8?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.8,841,+1 415-938-3858,"548 Market St PMB 22502, San Francisco, CA 94104, United States",productschool.com
Sentence Center,https://www.google.com/maps/place/Sentence+Center/data=!4m7!3m6!1s0x808f9d93f3c3b269:0x24a43eef6e01dffd!8m2!3d37.760937!4d-122.39948!16s%2Fg%2F11cm74_pky!19sChIJabLD85Odj4AR_d8Bbu8-pCQ?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,27,+1 650-993-4003,"520 Wisconsin St, San Francisco, CA 94107, United States",sentencecenter.com
Sorensen Educational Services,https://www.google.com/maps/place/Sorensen+Educational+Services/data=!4m7!3m6!1s0x2f90b33fcbbf9089:0x8518e278ed289001!8m2!3d37.878638!4d-122.4203375!16s%2Fg%2F11t7r5ds6_!19sChIJiZC_yz-zkC8RAZAo7XjiGIU?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,0.0,0,+1 415-489-0607,-,-
Eureka College Admissions Counseling–San Francisco,https://www.google.com/maps/place/Eureka+College+Admissions+Counseling%E2%80%93San+Francisco/data=!4m7!3m6!1s0x808f7f09334f343f:0xd3c5e67ca7e44bcb!8m2!3d35.0064529!4d-110.3529664!16s%2Fg%2F11kg67wcs0!19sChIJPzRPMwl_j4ARy0vkp3zmxdM?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,2,-,-,eurekacac.com
Swing Education,https://www.google.com/maps/place/Swing+Education/data=!4m7!3m6!1s0x808fb72922fec4cd:0x8595beac30964385!8m2!3d34.1727987!4d-99.0911376!16s%2Fg%2F11ckr6hp3c!19sChIJzcT-Iim3j4ARhUOWMKy-lYU?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.6,416,-,-,swingeducation.com
ELS San Francisco IELTS Test Center (formerly ILSC San Francisco),https://www.google.com/maps/place/ELS+San+Francisco+IELTS+Test+Center+%28formerly+ILSC+San+Francisco%29/data=!4m7!3m6!1s0x808580604aadaf01:0x377723490b7808db!8m2!3d37.7928201!4d-122.4017972!16s%2Fg%2F1hdz0wy3m!19sChIJAa-tSmCAhYAR2wh4C0kjdzc?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.4,79,+1 415-361-7866,"433 California St # 210, San Francisco, CA 94104, United States",ielts.ilsc.us
SFSU College of Professional & Global Education (CPaGE),https://www.google.com/maps/place/SFSU+College+of+Professional+%26+Global+Education+%28CPaGE%29/data=!4m7!3m6!1s0x80858086148f8a05:0x8551228599759afa!8m2!3d37.7911756!4d-122.3938288!16s%2Fg%2F11gzqtpg7!19sChIJBYqPFIaAhYAR-pp1mYUiUYU?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,3.9,7,+1 415-405-7700,"160 Spear St 5th Floor, San Francisco, CA 94105, United States",cpage.sfsu.edu
Universal Education,https://www.google.com/maps/place/Universal+Education/data=!4m7!3m6!1s0x8085810e74bcb30f:0x31623553eaf42baf!8m2!3d37.7900465!4d-122.4008744!16s%2Fg%2F11h0c1w8x8!19sChIJD7O8dA6BhYARryv06lM1YjE?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,0.0,0,+1 888-255-6396,"548 Market St #41193, San Francisco, CA 94104, United States",-
Montessori School of San Francisco,https://www.google.com/maps/place/Montessori+School+of+San+Francisco/data=!4m7!3m6!1s0x808580ba2f50db6f:0xa166a50cb00d5bb6!8m2!3d37.7814597!4d-122.4331333!16s%2Fg%2F1tcxj_9w!19sChIJb9tQL7qAhYARtlsNsAylZqE?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,4.8,18,+1 415-292-7970,"1550 Eddy St # 500, San Francisco, CA 94115, United States",montessorisf.org
College and Career Champion,https://www.google.com/maps/place/College+and+Career+Champion/data=!4m7!3m6!1s0xa4fc65920fe0671b:0x48f52f9a7de15a6d!8m2!3d37.4353789!4d-122.358089!16s%2Fg%2F11swd6g468!19sChIJG2fgD5Jl_KQRbVrhfZov9Ug?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,34,+1 510-612-1250,-,collegeandcareerchampion.com
"SMART (Schools, Mentoring and Resource Team, Inc.)","https://www.google.com/maps/place/SMART+%28Schools,+Mentoring+and+Resource+Team,+Inc.%29/data=!4m7!3m6!1s0x808f7e20b9cbdf95:0x1f4724a1fb43b7e9!8m2!3d37.7632022!4d-122.4190013!16s%2Fg%2F1tdr8dm8!19sChIJld_LuSB-j4AR6bdD-6EkRx8?authuser=0&hl=en&rclk=1",Educational Services in San Francisco California,4.9,17,+1 415-865-5400,"2101 Mission St Suite 200, San Francisco, CA 94110, United States",thesmartprogram.org
Writing Coach and College Admissions Essay Counselor,https://www.google.com/maps/place/Writing+Coach+and+College+Admissions+Essay+Counselor/data=!4m7!3m6!1s0x808581d141be458d:0xe2a0aa367576e978!8m2!3d37.7269307!4d-122.4571402!16s%2Fg%2F11g0dtpwd3!19sChIJjUW-QdGBhYAReOl2dTaqoOI?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,62,+1 415-444-6907,"70 Eastwood Dr, San Francisco, CA 94112, United States",danlichterman.com
College Match,https://www.google.com/maps/place/College+Match/data=!4m7!3m6!1s0x80858061627f440b:0x11085fea1b1485ca!8m2!3d37.7928391!4d-122.3981308!16s%2Fg%2F1tctm01b!19sChIJC0R_YmGAhYARyoUUG-pfCBE?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,8,+1 415-601-6955,"101 California St, San Francisco, CA 94111, United States",collegematchus.com
Academic Research Bureau,https://www.google.com/maps/place/Academic+Research+Bureau/data=!4m7!3m6!1s0x8085807aadb64cab:0xefe42271d5edd7d!8m2!3d37.7902194!4d-122.3906115!16s%2Fg%2F11f63y4232!19sChIJq0y2rXqAhYARfd1eHSdC_g4?authuser=0&hl=en&rclk=1,Educational Services in San Francisco California,5.0,5,+1 564-544-6924,"79 Folsom St, San Francisco, CA 94107, United States",academicresearchbureau.com
