Name,URL,Query,Rating,Reviews,Phone,Address,Website
Furniture Row,https://www.google.com/maps/place/Furniture+Row/data=!4m7!3m6!1s0x88237792c2859503:0xf1ec84de26edf2c2!8m2!3d35.2944619!4d-80.7612259!16s%2Fg%2F1v6l85rs!19sChIJA5WFwpJ3I4gRwvLtJt6E7PE?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.6,1814,+1 704-705-3030,"8215 Ikea Blvd, Charlotte, NC 28262, United States",furniturerow.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x88569c6bfad2afa7:0xa74c48b9b7bb40b1!8m2!3d35.108201!4d-80.879572!16s%2Fg%2F1tdhmjnw!19sChIJp6_S-mucVogRsUC7t7lITKc?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.5,1711,+1 704-571-4200,"9527 South Blvd, Charlotte, NC 28273, United States",valuecityfurniture.com
K & D's Discount Store,https://www.google.com/maps/place/K+%26+D%27s+Discount+Store/data=!4m7!3m6!1s0x88542034bec155b9:0x635092347d2c89fc!8m2!3d35.1961713!4d-80.7688709!16s%2Fg%2F11g6rd3t1v!19sChIJuVXBvjQgVIgR_IksfTSSUGM?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.9,383,+1 704-910-4171,"4420 E Independence Blvd, Charlotte, NC 28205, United States",charlotte.furniture
Kimbrell's Furniture,https://www.google.com/maps/place/Kimbrell%27s+Furniture/data=!4m7!3m6!1s0x88569f20281673fb:0xeec7299e6c47e204!8m2!3d35.1799782!4d-80.8762651!16s%2Fg%2F1tf7n898!19sChIJ-3MWKCCfVogRBOJHbJ4px-4?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.7,732,+1 704-523-7693,"4524 South Blvd A, Charlotte, NC 28209, United States",kimbrells.com
Ashley Outlet,https://www.google.com/maps/place/Ashley+Outlet/data=!4m7!3m6!1s0x88569ee9b8d03da3:0xcc2a5bde6be4dca8!8m2!3d35.162987!4d-80.875027!16s%2Fg%2F11b69h_74p!19sChIJoz3QuOmeVogRqNzka95bKsw?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.6,1816,+1 704-594-2000,"5345 South Blvd, Charlotte, NC 28217, United States",stores.ashleyfurniture.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x8856a7a840975d01:0xb2dc7f380d6bef49!8m2!3d35.3510155!4d-80.8449675!16s%2Fg%2F11c310p2vh!19sChIJAV2XQKinVogRSe9rDTh_3LI?authuser=0&hl=en&rclk=1",Furniture stores in Charlotte North Carolina,4.8,1309,+1 704-599-9549,"7201 Smith Corners Blvd, Charlotte, NC 28269, United States",americanfreight.com
Rooms To Go Outlet,https://www.google.com/maps/place/Rooms+To+Go+Outlet/data=!4m7!3m6!1s0x8856a210c39b1d01:0xa7f9c1b0b4e10010!8m2!3d35.2408385!4d-80.911673!16s%2Fg%2F1tg9td9h!19sChIJAR2bwxCiVogREADhtLDB-ac?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.1,1613,+1 704-393-9077,"2730 Queen City Dr, Charlotte, NC 28208, United States",roomstogo.com
Ashley Store + Outlet,https://www.google.com/maps/place/Ashley+Store+%2B+Outlet/data=!4m7!3m6!1s0x88541c211f91904b:0x58056a6e9177a7db!8m2!3d35.301215!4d-80.747597!16s%2Fg%2F1tdnxm0v!19sChIJS5CRHyEcVIgR26d3kW5qBVg?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.6,2572,+1 704-369-2200,"430 E McCullough Dr, Charlotte, NC 28262, United States",stores.ashleyfurniture.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x88541e9c7425daa1:0x48a6a93349b349c2!8m2!3d35.2940716!4d-80.7510893!16s%2Fg%2F1vy7h8j_!19sChIJodoldJweVIgRwkmzSTOppkg?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.4,2236,+1 704-227-0170,"8101 University City Blvd B, Charlotte, NC 28213, United States",valuecityfurniture.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x8854215dfde2389f:0x4d1832a9a09f173e!8m2!3d35.1444219!4d-80.72704!16s%2Fg%2F1td0bn36!19sChIJnzji_V0hVIgRPhefoKkyGE0?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.8,3905,+1 704-841-4111,"2320 Sardis Rd N, Charlotte, NC 28227, United States",valuecityfurniture.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x8856a1f4339c9867:0xc284faf1f039a283!8m2!3d35.2400555!4d-80.8954509!16s%2Fg%2F11dztsysdb!19sChIJZ5icM_ShVogRg6I58PH6hMI?authuser=0&hl=en&rclk=1",Furniture stores in Charlotte North Carolina,4.8,1121,+1 704-392-9444,"1526-A Alleghany St, Charlotte, NC 28208, United States",americanfreight.com
IKEA,https://www.google.com/maps/place/IKEA/data=!4m7!3m6!1s0x88541e8715a24135:0x784411d77fbfeb9a!8m2!3d35.2935168!4d-80.7647415!16s%2Fg%2F1thqhgfl!19sChIJNUGiFYceVIgRmuu_f9cRRHg?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.3,11179,+1 888-888-4532,"8300 Ikea Blvd, Charlotte, NC 28262, United States",ikea.com
Havertys Furniture,https://www.google.com/maps/place/Havertys+Furniture/data=!4m7!3m6!1s0x8856a707f50b9dc5:0x6cedd6f9c5143cc9!8m2!3d35.3501744!4d-80.8452217!16s%2Fg%2F1tfjlvbf!19sChIJxZ0L9QenVogRyTwUxfnW7Ww?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.6,479,+1 704-596-2125,"7101 Smith Corners Blvd, Charlotte, NC 28269, United States",havertys.com
Factory Direct Furniture,https://www.google.com/maps/place/Factory+Direct+Furniture/data=!4m7!3m6!1s0x88541e858d5a3849:0x7620d6d0d2a9f6f1!8m2!3d35.289608!4d-80.759129!16s%2Fg%2F1tn06hq3!19sChIJSThajYUeVIgR8fap0tDWIHY?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.3,148,+1 704-599-3533,"7419 N Tryon St, Charlotte, NC 28262, United States",furniturestoresusa.com
Furniture Palace,https://www.google.com/maps/place/Furniture+Palace/data=!4m7!3m6!1s0x88541fd371c41f57:0x1ae8038b56c55a0c!8m2!3d35.3014516!4d-80.8010105!16s%2Fg%2F11s_vcs0qd!19sChIJVx_EcdMfVIgRDFrFVosD6Bo?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,4.9,264,+1 704-900-5008,"2802 W Sugar Creek Rd, Charlotte, NC 28262, United States",facebook.com
Amodernary Furniture Designs,https://www.google.com/maps/place/Amodernary+Furniture+Designs/data=!4m7!3m6!1s0x88569f7bcb2c812b:0x33b9155669976c59!8m2!3d35.1517106!4d-80.8270799!16s%2Fg%2F11f3zx8fj_!19sChIJK4Esy3ufVogRWWyXaVYVuTM?authuser=0&hl=en&rclk=1,Furniture stores in Charlotte North Carolina,5.0,251,+1 704-390-0984,"4425 Sharon Rd M100, Charlotte, NC 28211, United States",amodernary.com
