Name,URL,Query,Rating,Reviews,Phone,Address,Website
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x880fd28dc00c7c49:0xe6586ee82d54cd07!8m2!3d41.9270959!4d-87.681927!16s%2Fg%2F11csb0fgl5!19sChIJSXwMwI3SD4gRB81ULehuWOY?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.6,2651,+1 872-210-3042,"2536 N Elston Ave, Chicago, IL 60647, United States",valuecityfurniture.com
Chicago Best Furniture,https://www.google.com/maps/place/Chicago+Best+Furniture/data=!4m7!3m6!1s0x880fcda8b0ec2a6d:0x7af094747c94fd55!8m2!3d41.94131!4d-87.72801!16s%2Fg%2F11hbk4zhgs!19sChIJbSrssKjND4gRVf2UfHSU8Ho?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.6,69,+1 708-320-2845,"3326 N Milwaukee Ave, Chicago, IL 60641, United States",milwaukeefurniture.net
Roy's Furniture,https://www.google.com/maps/place/Roy%27s+Furniture/data=!4m7!3m6!1s0x880fd3036679cf1f:0x1a9a3ef98d0a0d7d!8m2!3d41.926968!4d-87.653306!16s%2Fg%2F1tg2f2j0!19sChIJH895ZgPTD4gRfQ0Kjfk-mho?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.4,464,+1 773-248-7878,"2455 N Sheffield Ave, Chicago, IL 60614, United States",royschicago.com
Affordable Furniture & Carpet,https://www.google.com/maps/place/Affordable+Furniture+%26+Carpet/data=!4m7!3m6!1s0x880fd2cf8267272b:0x6bc998bddf141ff2!8m2!3d41.9054701!4d-87.6700568!16s%2Fg%2F1tr9p05d!19sChIJKydngs_SD4gR8h8U372YyWs?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.6,135,+1 773-904-8000,"1314 N Milwaukee Ave, Chicago, IL 60622, United States",affordablefurniturechicago.com
Milwaukee Furniture Of Chicago,https://www.google.com/maps/place/Milwaukee+Furniture+Of+Chicago/data=!4m7!3m6!1s0x880fd2c586ee41ab:0x7fcaf4a7d88ec588!8m2!3d41.9063619!4d-87.6708697!16s%2Fg%2F1tdqp7kf!19sChIJq0HuhsXSD4gRiMWO2Kf0yn8?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.6,148,+1 773-292-1000,"1341 N Milwaukee Ave, Chicago, IL 60622, United States",milwaukeefurniture.net
Unique Furniture,https://www.google.com/maps/place/Unique+Furniture/data=!4m7!3m6!1s0x880fce150b5d5aff:0x62a6a2e84ab753e5!8m2!3d41.9947717!4d-87.7150599!16s%2Fg%2F1tkrmdbd!19sChIJ_1pdCxXOD4gR5VO3SuiipmI?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.8,114,+1 773-267-7000,"6222 N Lincoln Ave, Chicago, IL 60659, United States",uniquefurniture.us
Mr. Discount,https://www.google.com/maps/place/Mr.+Discount/data=!4m7!3m6!1s0x880fcc85b7a83e0f:0xb0b84479bf4ad9ef!8m2!3d41.9314356!4d-87.7684924!16s%2Fg%2F1hc7r7hl5!19sChIJDz6ot4XMD4gR79lKv3lEuLA?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.4,97,+1 773-237-6000,"5652 W Diversey Ave, Chicago, IL 60639, United States",mrdiscountfurniture.com
Furniture City & Mattress,https://www.google.com/maps/place/Furniture+City+%26+Mattress/data=!4m7!3m6!1s0x880e256451803023:0xbe801358959a4e36!8m2!3d41.6825073!4d-87.6637819!16s%2Fg%2F11q3pm5mh5!19sChIJIzCAUWQlDogRNk6alVgTgL4?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.6,109,+1 773-952-6801,"11624 S Marshfield Ave, Chicago, IL 60643, United States",homefurnitureoutlet113.com
Room & Board,https://www.google.com/maps/place/Room+%26+Board/data=!4m7!3m6!1s0x880e2cac545fcf19:0x9da1537994ae9234!8m2!3d41.8922713!4d-87.6257215!16s%2Fg%2F1w4f8pjy!19sChIJGc9fVKwsDogRNJKulHlToZ0?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.4,142,+1 877-396-4068,"55 E Ohio St, Chicago, IL 60611, United States",roomandboard.com
New Age Chicago Furniture Co.,https://www.google.com/maps/place/New+Age+Chicago+Furniture+Co./data=!4m7!3m6!1s0x880e2be2fb45ef35:0x533c31b5695ecf67!8m2!3d41.8174653!4d-87.6070058!16s%2Fg%2F1tdx4qdj!19sChIJNe9F--IrDogRZ89eabUxPFM?authuser=0&hl=en&rclk=1,Furniture stores in Chicago Illinois,4.8,236,+1 773-285-3765,"4238 S Cottage Grove Ave, Chicago, IL 60653, United States",chicagofurnitureonlinestore.com
