Name,URL,Query,Rating,Reviews,Phone,Address,Website
Scioto Valley Home Store,https://www.google.com/maps/place/Scioto+Valley+Home+Store/data=!4m7!3m6!1s0x883893b66c7befb9:0x7a1012f91ef63d8f!8m2!3d40.0455356!4d-83.1286146!16s%2Fg%2F1vq9mz1c!19sChIJue97bLaTOIgRjz32HvkSEHo?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.8,3637,+1 614-876-7755,"4577 Lyman Dr, Hilliard, OH 43026, United States",sciotovalley.com
Furniture Land Ohio,https://www.google.com/maps/place/Furniture+Land+Ohio/data=!4m7!3m6!1s0x88388b0eb6f19627:0x8cfa5111e768989f!8m2!3d40.0602153!4d-82.9820486!16s%2Fg%2F1hc2_x1pp!19sChIJJ5bxtg6LOIgRn5ho5xFR-ow?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.5,464,+1 614-447-8505,"1395 Morse Rd, Columbus, OH 43229, United States",furniturelandohio.com
Big Sandy Superstore,https://www.google.com/maps/place/Big+Sandy+Superstore/data=!4m7!3m6!1s0x8838f47a296df7bb:0xf659698035daf342!8m2!3d40.1455656!4d-82.9874864!16s%2Fg%2F11clwnlcxb!19sChIJu_dtKXr0OIgRQvPaNYBpWfY?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.6,3944,+1 614-430-8962,"1180 Polaris Pkwy, Columbus, OH 43240, United States",bigsandysuperstore.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x883892ade7997413:0x7d2cb527d15b7d6f!8m2!3d40.0986984!4d-83.0879796!16s%2Fg%2F1tfbctr3!19sChIJE3SZ562SOIgRb31b0Se1LH0?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.7,1815,+1 614-923-1033,"3700 W Granville Rd, Columbus, OH 43235, United States",valuecityfurniture.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x8838631d67d6b10b:0x42625ba0d5b2a946!8m2!3d39.9543679!4d-82.8636864!16s%2Fg%2F1thl1j82!19sChIJC7HWZx1jOIgRRqmy1aBbYkI?authuser=0&hl=en&rclk=1",Furniture stores in Columbus Ohio,4.7,931,+1 614-861-5300,"5055 E Main St, Columbus, OH 43213, United States",americanfreight.com
Havertys Furniture,https://www.google.com/maps/place/Havertys+Furniture/data=!4m7!3m6!1s0x8838f38800ff0867:0x86fbc1b49ef212f9!8m2!3d40.14781!4d-82.99411!16s%2Fg%2F1tgnmr7p!19sChIJZwj_AIjzOIgR-RLynrTB-4Y?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.6,483,+1 614-785-6190,"935 Polaris Pkwy, Columbus, OH 43240, United States",havertys.com
Arhaus,https://www.google.com/maps/place/Arhaus/data=!4m7!3m6!1s0x8838f4634af91375:0x8c000c3e02372dc1!8m2!3d40.0544726!4d-82.9112395!16s%2Fg%2F1tqtbbgt!19sChIJdRP5SmP0OIgRwS03Aj4MAIw?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.7,318,+1 614-847-4279,"4128 Worth Ave, Columbus, OH 43219, United States",arhaus.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x88388a8a108825f7:0xfb09fd9c1d11d4b0!8m2!3d40.0530469!4d-82.9239552!16s%2Fg%2F11c30_trzc!19sChIJ9yWIEIqKOIgRsNQRHZz9Cfs?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.9,4145,+1 614-943-7832,"3740 Easton Market, Columbus, OH 43219, United States",valuecityfurniture.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x88388c823362d153:0x8edfd8423070778b!8m2!3d40.0623999!4d-82.9958389!16s%2Fg%2F1tgwbktr!19sChIJU9FiM4KMOIgRi3dwMELY344?authuser=0&hl=en&rclk=1",Furniture stores in Columbus Ohio,4.5,857,+1 614-430-0200,"900 Morse Rd, Columbus, OH 43229, United States",americanfreight.com
Value City Furniture,https://www.google.com/maps/place/Value+City+Furniture/data=!4m7!3m6!1s0x8838906465daf38f:0x8aeedef7c75b4b34!8m2!3d39.9548197!4d-83.1163251!16s%2Fg%2F11yqknzyx!19sChIJj_PaZWSQOIgRNEtbx_fe7oo?authuser=0&hl=en&rclk=1,Furniture stores in Columbus Ohio,4.8,2316,+1 614-276-5157,"4300 W Broad St, Columbus, OH 43228, United States",valuecityfurniture.com
