Name,URL,Query,Rating,Reviews,Phone,Address,Website
Sunnyland Outdoor Living,https://www.google.com/maps/place/Sunnyland+Outdoor+Living/data=!4m7!3m6!1s0x864c20355ac22b09:0x52620e7289d8a0c6!8m2!3d32.9415106!4d-96.7704312!16s%2Fg%2F1tg8k3n4!19sChIJCSvCWjUgTIYRxqDYiXIOYlI?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.7,245,+1 972-239-3716,"7879 Spring Valley Rd #125, Dallas, TX 75254, United States",sunnylandfurniture.com
Velora Furniture,https://www.google.com/maps/place/Velora+Furniture/data=!4m7!3m6!1s0x864e91ba4509212d:0xbe3c6ea9985f3be7!8m2!3d32.6463012!4d-96.8692245!16s%2Fg%2F11pz_kr_1y!19sChIJLSEJRbqRToYR5ztfmKluPL4?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,1072,+1 972-782-4771,"2984 W Wheatland Rd Suite A, Dallas, TX 75237, United States",-
Furniture To Go,https://www.google.com/maps/place/Furniture+To+Go/data=!4m7!3m6!1s0x864e9bf8996c3c73:0x4b9be17be1eae3ee!8m2!3d32.805565!4d-96.845746!16s%2Fg%2F11f29y4mjk!19sChIJczxsmfibToYR7uPq4Xvhm0s?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,2103,+1 214-853-0989,"2759 Irving Blvd, Dallas, TX 75207, United States",ftgfurniture.com
Canales Furniture,https://www.google.com/maps/place/Canales+Furniture/data=!4m7!3m6!1s0x864c21cabdd28e89:0xa936221ef2c08578!8m2!3d32.9403585!4d-96.7705611!16s%2Fg%2F11f1pzgh5q!19sChIJiY7SvcohTIYReIXA8h4iNqk?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,2072,+1 469-677-5690,"7879 Spring Valley Rd #108, Dallas, TX 75254, United States",canalesfurniture.com
Furniture Depot,https://www.google.com/maps/place/Furniture+Depot/data=!4m7!3m6!1s0x864e9d7ba24e3d21:0x443d07947d4f2165!8m2!3d32.8825268!4d-96.8853727!16s%2Fg%2F1td7j48f!19sChIJIT1OonudToYRZSFPfZQHPUQ?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.6,260,+1 214-350-4433,"11022 Harry Hines Blvd, Dallas, TX 75229, United States",fddallas.com
Rooms To Go,https://www.google.com/maps/place/Rooms+To+Go/data=!4m7!3m6!1s0x864c20f025ff805d:0xd6e717b911a8c98e!8m2!3d32.926287!4d-96.8024109!16s%2Fg%2F1td4kj30!19sChIJXYD_JfAgTIYRjsmoEbkX59Y?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.6,1901,+1 972-980-2492,"6041 Lyndon B Johnson Fwy Ste A, Dallas, TX 75240, United States",roomstogo.com
Nebraska Furniture Mart,https://www.google.com/maps/place/Nebraska+Furniture+Mart/data=!4m7!3m6!1s0x864c3b33a8264243:0x9a59db173fe88e0a!8m2!3d33.0720983!4d-96.8668892!16s%2Fg%2F11b6gnjz3n!19sChIJQ0ImqDM7TIYRCo7oPxfbWZo?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.6,54885,+1 800-336-9136,"5600 Nebraska Furniture Mart Dr, The Colony, TX 75056, United States",nfm.com
Dallas Furniture Online,https://www.google.com/maps/place/Dallas+Furniture+Online/data=!4m7!3m6!1s0x864e98d96c2f5179:0xd515bdfc06e662b!8m2!3d32.7877315!4d-96.772093!16s%2Fg%2F11c20c6f70!19sChIJeVEvbNmYToYRK2ZuwN9bUQ0?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.8,67,+1 972-698-0805,"3935 Main St, Dallas, TX 75226, United States",dallasfurnitureonline.com
Bargain Town Furniture & Mattresses,https://www.google.com/maps/place/Bargain+Town+Furniture+%26+Mattresses/data=!4m7!3m6!1s0x864e91b049a41c3d:0x43feddbe9dbcef6f!8m2!3d32.6552872!4d-96.8901898!16s%2Fg%2F1tgns1wl!19sChIJPRykSbCRToYRb--8nb7d_kM?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.7,1678,+1 972-572-9898,"4350 Gannon Ln, Dallas, TX 75237, United States",bargaintownonline.com
ROYAL FURNITURE,https://www.google.com/maps/place/ROYAL+FURNITURE/data=!4m7!3m6!1s0x864e9d281d812877:0x671da92859096a43!8m2!3d32.8765689!4d-96.8838732!16s%2Fg%2F11gzmyx556!19sChIJdyiBHSidToYRQ2oJWSipHWc?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.7,588,+1 972-707-9888,"10850 Harry Hines Blvd #110, Dallas, TX 75220, United States",royalfurnituredfw.com
Furniture Source,https://www.google.com/maps/place/Furniture+Source/data=!4m7!3m6!1s0x864c279257b4da49:0x10bd1e10979c0ede!8m2!3d32.9048373!4d-96.6978905!16s%2Fg%2F1tczf95y!19sChIJSdq0V5InTIYR3g6clxAevRA?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.6,22,+1 972-243-8311,"11440 Chairman Dr, Dallas, TX 75243, United States",furnituresource.us
Nadeau - Furniture With a Soul,https://www.google.com/maps/place/Nadeau+-+Furniture+With+a+Soul/data=!4m7!3m6!1s0x864e9c0b1fdc8433:0x2d35e4ce3c0e0d3e!8m2!3d32.8062073!4d-96.8536433!16s%2Fg%2F1tg_m0x3!19sChIJM4TcHwucToYRPg0OPM7kNS0?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,209,+1 214-655-1440,"1305 Inwood Rd, Dallas, TX 75247, United States",nadeaudallas.com
Modani Furniture Dallas,https://www.google.com/maps/place/Modani+Furniture+Dallas/data=!4m7!3m6!1s0x864c20d6af6cbcd3:0xd24d24fa91ece614!8m2!3d32.9327652!4d-96.8292701!16s%2Fg%2F11b6j0s9h4!19sChIJ07xsr9YgTIYRFObskfokTdI?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.0,509,+1 214-432-4814,"4700 Alpha Rd, Farmers Branch, TX 75244, United States",modani.com
The Dump Furniture Outlet,https://www.google.com/maps/place/The+Dump+Furniture+Outlet/data=!4m7!3m6!1s0x864c29a186a277e1:0x356056443932cec6!8m2!3d32.9240015!4d-96.9831481!16s%2Fg%2F1tg6qj2h!19sChIJ4XeihqEpTIYRxs4yOURWYDU?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.1,3704,+1 214-296-6200,"2700 Ranch Trail, Irving, TX 75063, United States",thedump.com
Canales Furniture,https://www.google.com/maps/place/Canales+Furniture/data=!4m7!3m6!1s0x864e9d2fc6306ee1:0x349d2502ec52162f!8m2!3d32.862358!4d-96.8803329!16s%2Fg%2F11h_wp7yv5!19sChIJ4W4wxi-dToYRLxZS7AIlnTQ?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,1575,+1 214-758-0460,"10220 Harry Hines Blvd Suite A, Dallas, TX 75220, United States",canalesfurniture.com
Canales Furniture,https://www.google.com/maps/place/Canales+Furniture/data=!4m7!3m6!1s0x864e9b445ea06731:0xe95fc481c6f730b6!8m2!3d32.7490918!4d-96.8612689!16s%2Fg%2F11h9h11_5r!19sChIJMWegXkSbToYRtjD3xoHEX-k?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,2079,+1 214-946-2659,"2627 W Jefferson Blvd #209, Dallas, TX 75211, United States",canalesfurniture.com
World Market,https://www.google.com/maps/place/World+Market/data=!4m7!3m6!1s0x864e9f9f1ada6d5f:0xcabdcbd4cce30d1f!8m2!3d32.8527279!4d-96.7689699!16s%2Fg%2F1vr3dl1s!19sChIJX23aGp-fToYRHw3jzNTLvco?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.5,381,+1 214-378-5370,"5500 Greenville Ave #300, Dallas, TX 75206, United States",stores.worldmarket.com
Furniture One Dallas,https://www.google.com/maps/place/Furniture+One+Dallas/data=!4m7!3m6!1s0x864e9fed3a7d333d:0x5240c098977c7c62!8m2!3d32.8742854!4d-96.7620784!16s%2Fg%2F1tdlvpkh!19sChIJPTN9Ou2fToYRYnx8l5jAQFI?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.4,142,+1 214-692-7038,"7038 Greenville Ave, Dallas, TX 75231, United States",furnitureone.net
World Market,https://www.google.com/maps/place/World+Market/data=!4m7!3m6!1s0x864e9edab0198a9b:0xea51d82c9d922d6c!8m2!3d32.8159845!4d-96.801403!16s%2Fg%2F1tgh7zpw!19sChIJm4oZsNqeToYRbC2SnSzYUeo?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.4,324,+1 214-521-1028,"3888 Oak Lawn Ave Suite 111, Dallas, TX 75219, United States",stores.worldmarket.com
Living Modern Furnishings & Design,https://www.google.com/maps/place/Living+Modern+Furnishings+%26+Design/data=!4m7!3m6!1s0x864e9edab98c9d3d:0x8ca2ff8a56c0eab0!8m2!3d32.8165717!4d-96.80219!16s%2Fg%2F11cmct69t6!19sChIJPZ2MudqeToYRsOrAVor_oow?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.4,20,+1 214-830-7749,"3900 Oak Lawn Ave, Dallas, TX 75219, United States",livingmodernhome.com
Zoe's Furniture,https://www.google.com/maps/place/Zoe%27s+Furniture/data=!4m7!3m6!1s0x864c1ce34e6ac047:0xc14d3f687c46fb84!8m2!3d32.9422301!4d-96.7420366!16s%2Fg%2F11bx0hjlrc!19sChIJR8BqTuMcTIYRhPtGfGg_TcE?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,887,+1 888-755-9637,"777 Central Expy #4B, Richardson, TX 75080, United States",zoesfurniture.com
Lots of Furniture Antiques Warehouse,https://www.google.com/maps/place/Lots+of+Furniture+Antiques+Warehouse/data=!4m7!3m6!1s0x864e9940e1474de9:0xac2904313513832e!8m2!3d32.7850039!4d-96.8160707!16s%2Fg%2F1trqhmqt!19sChIJ6U1H4UCZToYRLoMTNTEEKaw?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.7,147,+1 214-761-1575,"910 N Riverfront Blvd, Dallas, TX 75207, United States",lotsoffurniture.com
Furniture World,https://www.google.com/maps/place/Furniture+World/data=!4m7!3m6!1s0x864e9d7ff065ba0f:0x5adc85efd013f596!8m2!3d32.8650529!4d-96.8822667!16s%2Fg%2F11fm79vrdp!19sChIJD7pl8H-dToYRlvUT0O-F3Fo?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.5,299,+1 469-436-3607,"10401 Harry Hines Blvd, Dallas, TX 75220, United States",facebook.com
Discount furniture and Home Decor,https://www.google.com/maps/place/Discount+furniture+and+Home+Decor/data=!4m7!3m6!1s0x864e91378e65e9b1:0x2e04b1e88150b9b5!8m2!3d32.6628869!4d-96.8894635!16s%2Fg%2F11fl8xt_6l!19sChIJselljjeRToYRtblQgeixBC4?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.7,146,+1 972-863-7854,"4343 W Camp Wisdom Rd, Dallas, TX 75237, United States",furniturestoresusa.com
"Serra Furniture, Mattress & Electronics","https://www.google.com/maps/place/Serra+Furniture,+Mattress+%26+Electronics/data=!4m7!3m6!1s0x864c2117b020ed2f:0x813b1b1fc209a0ae!8m2!3d32.9331849!4d-96.8105993!16s%2Fg%2F11lkc9jx64!19sChIJL-0gsBchTIYRrqAJwh8bO4E?authuser=0&hl=en&rclk=1",Furniture stores in Dallas Texas,4.7,403,+1 469-906-6262,"5623 Alpha Rd, Dallas, TX 75240, United States",serrafurniture.com
The Arrangement,https://www.google.com/maps/place/The+Arrangement/data=!4m7!3m6!1s0x864c20d91acf7cf3:0x6ff4cd4e2f722a7c!8m2!3d32.9343681!4d-96.8206176!16s%2Fg%2F1tdg3m9y!19sChIJ83zPGtkgTIYRfCpyL07N9G8?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.5,35,+1 214-748-4540,"13710 Dallas Pkwy C, Dallas, TX 75240, United States",thearrangement.com
Room & Board,https://www.google.com/maps/place/Room+%26+Board/data=!4m7!3m6!1s0x864e9f8dc970f415:0x2ee73dafd4e014cf!8m2!3d32.8216803!4d-96.7875151!16s%2Fg%2F11hdjdfp3k!19sChIJFfRwyY2fToYRzxTg1K895y4?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.4,37,+1 888-985-4224,"4524 McKinney Ave, Dallas, TX 75205, United States",roomandboard.com
Ethan Allen,https://www.google.com/maps/place/Ethan+Allen/data=!4m7!3m6!1s0x864c20d88043bfed:0x6c17aac3e91a1678!8m2!3d32.9375991!4d-96.8211135!16s%2Fg%2F1tg5_0sn!19sChIJ7b9DgNggTIYReBYa6cOqF2w?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.3,67,+1 972-726-6633,"13920 Dallas Pkwy, Dallas, TX 75240, United States",ethanallen.com
Crate & Barrel Outlet,https://www.google.com/maps/place/Crate+%26+Barrel+Outlet/data=!4m7!3m6!1s0x864e9c0b85b26dbf:0xb5e9cd0fa8f2f4!8m2!3d32.8065379!4d-96.8533307!16s%2Fg%2F1wrgkkq5!19sChIJv22yhQucToYR9PKoD83ptQA?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.3,381,+1 214-634-2277,"1317 Inwood Rd, Dallas, TX 75247, United States",crateandbarrel.com
Regal Furniture,https://www.google.com/maps/place/Regal+Furniture/data=!4m7!3m6!1s0x864e9d776ae6dbdf:0x277b957c7cbc0007!8m2!3d32.8892737!4d-96.8894727!16s%2Fg%2F11kj48c552!19sChIJ39vmanedToYRBwC8fHyVeyc?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.9,323,+1 972-280-9400,"11181 Harry Hines Blvd #130, Dallas, TX 75229, United States",regalfurnituretx.com
Arhaus,https://www.google.com/maps/place/Arhaus/data=!4m7!3m6!1s0x864e9fbe8b0e34f9:0xc67d217f0eb94969!8m2!3d32.8685817!4d-96.7755747!16s%2Fg%2F11b6gqlty8!19sChIJ-TQOi76fToYRaUm5Dn8hfcY?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,3.8,166,+1 214-706-3523,"8687 N Central Expy, Dallas, TX 75225, United States",arhaus.com
Fiesta Furniture Dallas,https://www.google.com/maps/place/Fiesta+Furniture+Dallas/data=!4m7!3m6!1s0x864e9d738d4d60f3:0x7dcb4bf9850c6325!8m2!3d32.8713874!4d-96.8835428!16s%2Fg%2F11b6j7t_tl!19sChIJ82BNjXOdToYRJWMMhflLy30?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.3,508,+1 214-366-7979,"10679 Harry Hines Blvd, Dallas, TX 75220, United States",fiestafurnituredallas.com
Bassett Furniture,https://www.google.com/maps/place/Bassett+Furniture/data=!4m7!3m6!1s0x864e9f584e3d4ef5:0x9abedf6454ef7107!8m2!3d32.8504975!4d-96.8189806!16s%2Fg%2F11k58c2jbd!19sChIJ9U49TlifToYRB3HvVGTfvpo?authuser=0&hl=en&rclk=1,Furniture stores in Dallas Texas,4.5,25,+1 214-599-8973,"5550 W Lovers Ln #147, Dallas, TX 75209, United States",stores.bassettfurniture.com
