Name,URL,Query,Rating,Reviews,Phone,Address,Website
ItalMod Furniture,https://www.google.com/maps/place/ItalMod+Furniture/data=!4m7!3m6!1s0x89c2e571cc7585d1:0x167367fdcd2a76e2!8m2!3d40.9673242!4d-74.0789536!16s%2Fg%2F11j9d24fs3!19sChIJ0YV1zHHlwokR4nYqzf1ncxY?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.9,174,+1 201-288-8388,"685 NJ-17 S, Paramus, NJ 07652, United States",italmodfurniture.com
France and Son,https://www.google.com/maps/place/France+and+Son/data=!4m7!3m6!1s0x89c259bcdd0afc85:0xffeadbb406da4915!8m2!3d40.7401043!4d-73.9961164!16s%2Fg%2F11bw46zz9b!19sChIJhfwK3bxZwokRFUnaBrTb6v8?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,3.9,1077,+1 212-206-1200,"122 W 18th St, New York, NY 10011, United States",franceandson.com
Jensen-Lewis Furniture,https://www.google.com/maps/place/Jensen-Lewis+Furniture/data=!4m7!3m6!1s0x89c258e5b9d1b4e9:0x3397b90cfe40548c!8m2!3d40.7607444!4d-73.9669261!16s%2Fg%2F1vlk2gq2!19sChIJ6bTRueVYwokRjFRA_gy5lzM?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.8,321,+1 212-434-0990,"969 3rd Ave, New York, NY 10022, United States",jensen-lewis.com
Brooklyn City Furniture,https://www.google.com/maps/place/Brooklyn+City+Furniture/data=!4m7!3m6!1s0x89c25946d40dfa05:0xe74ff63788916add!8m2!3d40.728413!4d-73.9532375!16s%2Fg%2F11cfbq1hb!19sChIJBfoN1EZZwokR3WqRiDf2T-c?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.9,157,+1 347-457-5727,"820 Manhattan Ave, Brooklyn, NY 11222, United States",brooklyncityfurniture.com
Ethan Allen,https://www.google.com/maps/place/Ethan+Allen/data=!4m7!3m6!1s0x89c258e5f6781811:0x24ff6ed449772319!8m2!3d40.760458!4d-73.9693232!16s%2Fg%2F1tdh4sk2!19sChIJERh49uVYwokRGSN3SdRu_yQ?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.6,129,+1 212-888-2384,"685 Lexington Ave, New York, NY 10022, United States",ethanallen.com
Room & Board,https://www.google.com/maps/place/Room+%26+Board/data=!4m7!3m6!1s0x89c259bc115bf543:0xcb6707a3b8a2673a!8m2!3d40.7417755!4d-73.9998276!16s%2Fg%2F11b6ql9_1s!19sChIJQ_VbEbxZwokROmeiuKMHZ8s?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.5,249,+1 866-396-1055,"236 W 18th St, New York, NY 10011, United States",roomandboard.com
Canal Furniture,https://www.google.com/maps/place/Canal+Furniture/data=!4m7!3m6!1s0x89c2598a73af69c1:0xcf9b9ae0dfe06241!8m2!3d40.7186887!4d-74.0021707!16s%2Fg%2F1td145l_!19sChIJwWmvc4pZwokRQWLg3-Cam88?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.7,81,+1 212-925-5343,"402 Broadway, New York, NY 10013, United States",nyfurniture.biz
Bob’s Discount Furniture and Mattress Store,https://www.google.com/maps/place/Bob%E2%80%99s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89c2f5fcec94093f:0x8d4121018b2fcc8!8m2!3d40.7952416!4d-73.9306489!16s%2Fg%2F1tdq_nbp!19sChIJPwmU7Pz1wokRyPyyGBAS1Ag?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.8,6593,+1 646-400-6180,"517 E 117th St, New York, NY 10035, United States",mybobs.com
Raymour & Flanigan Furniture and Mattress Store,https://www.google.com/maps/place/Raymour+%26+Flanigan+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89c2588a7d85af95:0xd7e48017daee3b88!8m2!3d40.7742009!4d-73.9825857!16s%2Fg%2F1ts305fz!19sChIJla-FfYpYwokRiDvu2heA5Nc?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.7,2045,+1 646-556-9390,"1961 Broadway, New York, NY 10023, United States",raymourflanigan.com
LAZZONI,https://www.google.com/maps/place/LAZZONI/data=!4m7!3m6!1s0x89c259bcf10955bf:0x6fe0fdb8360620c9!8m2!3d40.7404842!4d-73.9973577!16s%2Fg%2F1hhl6nm1r!19sChIJv1UJ8bxZwokRySAGNrj94G8?authuser=0&hl=en&rclk=1,Furniture stores in New York New York,4.8,116,+1 212-242-0606,"154 W 18th St, New York, NY 10011, United States",lazzoni.com
