Name,URL,Query,Rating,Reviews,Phone,Address,Website
Living Spaces,https://www.google.com/maps/place/Living+Spaces/data=!4m7!3m6!1s0x872b15a7d03bdbad:0x7c1a56e2d5b00468!8m2!3d33.461273!4d-112.199343!16s%2Fg%2F1s04f0b29!19sChIJrds70KcVK4cRaASw1eJWGnw?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.6,3967,+1 877-266-7300,"6600 W Latham St, Phoenix, AZ 85043, United States",livingspaces.com
Mor Furniture for Less,https://www.google.com/maps/place/Mor+Furniture+for+Less/data=!4m7!3m6!1s0x872b0d5c23896993:0x4eca53d606c712a0!8m2!3d33.4664869!4d-111.9861642!16s%2Fg%2F11c6lktf5d!19sChIJk2mJI1wNK4cRoBLHBtZTyk4?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.8,978,+1 602-569-8787,"4416 E McDowell Rd, Phoenix, AZ 85008, United States",morfurniture.com
Mega Furniture,https://www.google.com/maps/place/Mega+Furniture/data=!4m7!3m6!1s0x872b6594051dab87:0xaf6d0fbed2c40c6b!8m2!3d33.7086217!4d-112.1155006!16s%2Fg%2F11c6slkh8v!19sChIJh6sdBZRlK4cRawzE0r4Pba8?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.8,1601,+1 623-266-4400,"2501 W Happy Valley Rd, Phoenix, AZ 85085, United States",-
American Furniture Warehouse,https://www.google.com/maps/place/American+Furniture+Warehouse/data=!4m7!3m6!1s0x872b4044eb5c286f:0xb86e7165078cb89b!8m2!3d33.5184!4d-112.2704781!16s%2Fg%2F11b5zv713g!19sChIJbyhc60RAK4cRm7iMB2Vxbrg?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.7,18985,+1 602-422-8800,"5801 N 99th Ave, Glendale, AZ 85305, United States",afw.com
MNM FURNITURE,https://www.google.com/maps/place/MNM+FURNITURE/data=!4m7!3m6!1s0x872b0d89d81c9c89:0x7ce2ccc47156b001!8m2!3d33.4944968!4d-112.0305438!16s%2Fg%2F11hzzqyhjg!19sChIJiZwc2IkNK4cRAbBWccTM4nw?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.9,38,+1 602-651-1800,"2341 E Indian School Rd, Phoenix, AZ 85016, United States",mnmfurnitureaz.com
Del Sol Furniture & Mattress,https://www.google.com/maps/place/Del+Sol+Furniture+%26+Mattress/data=!4m7!3m6!1s0x872b0db9ce9e295b:0x644a542d65a1a932!8m2!3d33.4793701!4d-112.0125365!16s%2Fg%2F1tjhy3fk!19sChIJWymezrkNK4cRMqmhZS1USmQ?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.5,521,+1 602-225-9650,"2829 N 32nd St #107, Phoenix, AZ 85008, United States",delsolfurniture.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x872b0db999fb49a9:0x9202197ac4d9aa7f!8m2!3d33.48157!4d-112.014254!16s%2Fg%2F11hd9htw40!19sChIJqUn7mbkNK4cRf6rZxHoZApI?authuser=0&hl=en&rclk=1",Furniture stores in Phoenix Arizona,4.9,1572,+1 602-956-6900,"3144 E Thomas Rd, Phoenix, AZ 85016, United States",americanfreight.com
Nick's Furniture,https://www.google.com/maps/place/Nick%27s+Furniture/data=!4m7!3m6!1s0x872b6c04689cf981:0x76749c183126093!8m2!3d33.5979309!4d-112.135498!16s%2Fg%2F1tfj3msm!19sChIJgfmcaARsK4cRk2ASg8FJZwc?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.4,474,+1 602-548-2267,"3526 W Cactus Rd, Phoenix, AZ 85029, United States",nicksfurniture.com
Mega Furniture,https://www.google.com/maps/place/Mega+Furniture/data=!4m7!3m6!1s0x872b0c3564a5dd55:0xbcbf06cbbe33d22c!8m2!3d33.4789664!4d-111.9977602!16s%2Fg%2F11fxvm2npj!19sChIJVd2lZDUMK4cRLNIzvssGv7w?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.4,473,+1 623-225-7420,"3903 E Thomas Rd, Phoenix, AZ 85018, United States",megafurnitureusa.com
Mega Furniture,https://www.google.com/maps/place/Mega+Furniture/data=!4m7!3m6!1s0x872b1530661200df:0x9cb9c252c5c11808!8m2!3d33.4961466!4d-112.2041707!16s%2Fg%2F1tdm_znf!19sChIJ3wASZjAVK4cRCBjBxVLCuZw?authuser=0&hl=en&rclk=1,Furniture stores in Phoenix Arizona,4.5,684,+1 623-247-0601,"6730 W Indian School Rd, Phoenix, AZ 85033, United States",megafurnitureusa.com
