Name,URL,Query,Rating,Reviews,Phone,Address,Website
JWI - Jana Ward Interiors,https://www.google.com/maps/place/JWI+-+Jana+Ward+Interiors/data=!4m7!3m6!1s0x865c60233b40e235:0xef639eae5f41b950!8m2!3d29.5445125!4d-98.4950641!16s%2Fg%2F11dxb1p91n!19sChIJNeJAOyNgXIYRULlBX66eY-8?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,5.0,18,+1 210-524-1013,"111 W Rhapsody Dr, San Antonio, TX 78216, United States",janawardinteriors.com
Bel Furniture - San Antonio,https://www.google.com/maps/place/Bel+Furniture+-+San+Antonio/data=!4m7!3m6!1s0x865c5cbf5205848f:0x5dc74867d04015e0!8m2!3d29.4339156!4d-98.6502824!16s%2Fg%2F1tl0xrx9!19sChIJj4QFUr9cXIYR4BVA0GdIx10?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,5966,+1 210-680-8899,"555 SW Loop 410, San Antonio, TX 78227, United States",belfurniture.com
Bob Mills Furniture,https://www.google.com/maps/place/Bob+Mills+Furniture/data=!4m7!3m6!1s0x865c66d89b3f59dd:0x2562cf42d44d3266!8m2!3d29.5601754!4d-98.5872435!16s%2Fg%2F11hd24j5py!19sChIJ3Vk_m9hmXIYRZjJN1ELPYiU?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.7,1939,+1 210-580-8200,"12621 I-10, San Antonio, TX 78230, United States",bobmillsfurniture.com
Star Furniture - San Antonio,https://www.google.com/maps/place/Star+Furniture+-+San+Antonio/data=!4m7!3m6!1s0x865c66df01c06e23:0x2fb90f8fb8398a6a!8m2!3d29.5597347!4d-98.5915795!16s%2Fg%2F1tkmmzxb!19sChIJI27AAd9mXIYRaoo5uI8PuS8?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,2177,+1 210-558-7800,"12350 I-10, San Antonio, TX 78230, United States",starfurniture.com
Living Spaces,https://www.google.com/maps/place/Living+Spaces/data=!4m7!3m6!1s0x865c618ad4486d81:0xf972afa3ef7f36c8!8m2!3d29.6000484!4d-98.5677514!16s%2Fg%2F11fhr75hxq!19sChIJgW1I1IphXIYRyDZ_76Ovcvk?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,5371,+1 877-266-7300,"4239 N Loop 1604 W, San Antonio, TX 78249, United States",livingspaces.com
In Home Furniture,https://www.google.com/maps/place/In+Home+Furniture/data=!4m7!3m6!1s0x865c8b4270771773:0x4fe511797040a990!8m2!3d29.561266!4d-98.3927975!16s%2Fg%2F1th82c8l!19sChIJcxd3cEKLXIYRkKlAcHkR5U8?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,560,+1 210-651-9700,"13240 Nacogdoches Rd, San Antonio, TX 78217, United States",inhomefurniturewholesale.com
Furniture Row,https://www.google.com/maps/place/Furniture+Row/data=!4m7!3m6!1s0x865c5d02f7cc2129:0x426b7a5684dfb7d!8m2!3d29.4655562!4d-98.6235629!16s%2Fg%2F1vp6_lsh!19sChIJKSHM9wJdXIYRfftNaKW3JgQ?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.7,1172,+1 210-509-4660,"6745 Ingram Rd, San Antonio, TX 78238, United States",furniturerow.com
Rooms To Go,https://www.google.com/maps/place/Rooms+To+Go/data=!4m7!3m6!1s0x865c6157fbba4829:0xf476655509b8ee44!8m2!3d29.5215321!4d-98.5037156!16s%2Fg%2F1tgn54kt!19sChIJKUi6-1dhXIYRRO64CVVldvQ?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,3793,+1 210-979-9050,"707 Northwest Loop 410 Ste A, San Antonio, TX 78216, United States",roomstogo.com
Havertys Furniture,https://www.google.com/maps/place/Havertys+Furniture/data=!4m7!3m6!1s0x89a9f367a3d36419:0x1b62cbd6118b5671!8m2!3d29.5666899!4d-98.5902173!16s%2Fg%2F1tjs5t5h!19sChIJGWTTo2fzqYkRcVaLEdbLYhs?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.7,481,+1 210-690-1409,"13141 I-10, San Antonio, TX 78249, United States",havertys.com
Mega Furniture - La Plaza Del Norte,https://www.google.com/maps/place/Mega+Furniture+-+La+Plaza+Del+Norte/data=!4m7!3m6!1s0x865c6005fb777a2b:0xb6a40cf88bab79fe!8m2!3d29.5243301!4d-98.4947052!16s%2Fg%2F11b6gghxck!19sChIJK3p3-wVgXIYR_nmri_gMpLY?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.1,629,+1 210-340-0006,"125 NW Loop 410 # 250, San Antonio, TX 78216, United States",megafurnituretx.com
"American Freight Furniture, Mattress, Appliance","https://www.google.com/maps/place/American+Freight+Furniture,+Mattress,+Appliance/data=!4m7!3m6!1s0x865cf4a16cab6b27:0x96e3593621218f1b!8m2!3d29.5042207!4d-98.4001087!16s%2Fg%2F11b8jcyk3j!19sChIJJ2urbKH0XIYRG48hITZZ45Y?authuser=0&hl=en&rclk=1",Furniture stores in San Antonio Texas,4.7,1315,+1 210-653-9999,"639 Lanark Dr, San Antonio, TX 78218, United States",americanfreight.com
Bassett Furniture,https://www.google.com/maps/place/Bassett+Furniture/data=!4m7!3m6!1s0x865c60ca100f8bb9:0xb534d618f8da1ca0!8m2!3d29.6093388!4d-98.5971673!16s%2Fg%2F1tm8fdks!19sChIJuYsPEMpgXIYRoBza-BjWNLU?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.6,223,+1 210-641-0101,"17603 La Cantera Pkwy, San Antonio, TX 78257, United States",stores.bassettfurniture.com
Stowers Furniture,https://www.google.com/maps/place/Stowers+Furniture/data=!4m7!3m6!1s0x865c5fe2a6ff2d4b:0x70deea8059a90e94!8m2!3d29.5156683!4d-98.4965523!16s%2Fg%2F1tfvzkqw!19sChIJSy3_puJfXIYRlA6pWYDq3nA?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.2,85,+1 210-342-9411,"210 W Rector Dr, San Antonio, TX 78216, United States",stowersfurniture.com
Furniture Now,https://www.google.com/maps/place/Furniture+Now/data=!4m7!3m6!1s0x865c5dc08b2e2dc7:0xcb43adb790eee433!8m2!3d29.5784863!4d-98.4393092!16s%2Fg%2F11cltjshv9!19sChIJxy0ui8BdXIYRM-TukLetQ8s?authuser=0&hl=en&rclk=1,Furniture stores in San Antonio Texas,4.2,389,+1 210-254-9917,"2945 Thousand Oaks Dr, San Antonio, TX 78247, United States",furniturenow.com
