Name,URL,Query,Rating,Reviews,Phone,Address,Website
Jerome's Dream Shop Mattress Store-Solana Beach,https://www.google.com/maps/place/Jerome%27s+Dream+Shop+Mattress+Store-Solana+Beach/data=!4m7!3m6!1s0x80dc092e1e5c158d:0x7e5c3836de0c7651!8m2!3d32.9933315!4d-117.2587522!16s%2Fg%2F11hb6pq11t!19sChIJjRVcHi4J3IARUXYM3jY4XH4?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.9,96,+1 858-924-1787,"Towne Centre, 663 San Rodolfo Dr Ste 106, Solana Beach, CA 92075, United States",jeromes.com
"American Freight: Appliance, Mattress","https://www.google.com/maps/place/American+Freight:+Appliance,+Mattress/data=!4m7!3m6!1s0x80deaaebade5029f:0xe9a6b8f221105dda!8m2!3d32.7686927!4d-117.2030354!16s%2Fg%2F1tfb6wgc!19sChIJnwLlreuq3oAR2l0QIfK4puk?authuser=0&hl=en&rclk=1",Furniture stores in San Diego California,4.5,1214,+1 619-497-1123,"1210 W Morena Blvd, San Diego, CA 92110, United States",americanfreight.com
Living Spaces,https://www.google.com/maps/place/Living+Spaces/data=!4m7!3m6!1s0x80d955115b36a02f:0x1ef9c72511bb5ee2!8m2!3d32.7764442!4d-117.14279!16s%2Fg%2F1yg587bdq!19sChIJL6A2WxFV2YAR4l67ESXH-R4?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.5,5504,+1 877-266-7300,"8730 Rio San Diego Dr, San Diego, CA 92108, United States",livingspaces.com
Mor Furniture for Less,https://www.google.com/maps/place/Mor+Furniture+for+Less/data=!4m7!3m6!1s0x80dbff53a6ace189:0xc2e81a0fda968868!8m2!3d32.87712!4d-117.1657342!16s%2Fg%2F1xgzc1yj!19sChIJieGsplP_24ARaIiW2g8a6MI?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.8,3530,+1 858-689-7914,"6965 Consolidated Wy, San Diego, CA 92121, United States",morfurniture.com
Jerome's Furniture Mattress & Patio Superstore-San Diego Morena,https://www.google.com/maps/place/Jerome%27s+Furniture+Mattress+%26+Patio+Superstore-San+Diego+Morena/data=!4m7!3m6!1s0x80deaa934f9577a7:0xece58a7a7dbc5181!8m2!3d32.7680428!4d-117.2034339!16s%2Fg%2F1tj9c9j0!19sChIJp3eVT5Oq3oARgVG8fXqK5ew?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.5,2660,+1 858-924-1871,"1190 W Morena Blvd, San Diego, CA 92110, United States",jeromes.com
Modani Furniture San Diego,https://www.google.com/maps/place/Modani+Furniture+San+Diego/data=!4m7!3m6!1s0x80d9556d0fa459c1:0x945783ce3b2a9903!8m2!3d32.77044!4d-117.1509895!16s%2Fg%2F11fml31_68!19sChIJwVmkD21V2YARA5kqO86DV5Q?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.8,255,+1 619-695-2020,"1530 Camino De La Reina #C-2, San Diego, CA 92108, United States",modani.com
D3 Home Modern Furniture,https://www.google.com/maps/place/D3+Home+Modern+Furniture/data=!4m7!3m6!1s0x80d954e6a0da2143:0xc5350af13b6c1b1b!8m2!3d32.7289973!4d-117.1719234!16s%2Fg%2F11f08w8w78!19sChIJQyHaoOZU2YARGxtsO_EKNcU?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.9,90,+1 619-487-1025,"2400 Kettner Blvd #106, San Diego, CA 92101, United States",d3home.com
Ashley Store,https://www.google.com/maps/place/Ashley+Store/data=!4m7!3m6!1s0x80dbff4b55a4a3b7:0x37375e82d0ad027c!8m2!3d32.886003!4d-117.150923!16s%2Fg%2F1tghdf9r!19sChIJt6OkVUv_24ARfAKt0IJeNzc?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.3,2650,+1 619-393-4663,"7770 Miramar Rd, San Diego, CA 92126, United States",stores.ashleyfurniture.com
Lawrance Furniture,https://www.google.com/maps/place/Lawrance+Furniture/data=!4m7!3m6!1s0x80d954db194b33cb:0x71ea320ccae056ed!8m2!3d32.748141!4d-117.15863!16s%2Fg%2F1v9gvrrv!19sChIJyzNLGdtU2YAR7Vbgygwy6nE?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.4,62,+1 877-338-0412,"633 University Ave, San Diego, CA 92103, United States",lawrance.com
Ethan Allen,https://www.google.com/maps/place/Ethan+Allen/data=!4m7!3m6!1s0x80dbff9b02e360af:0x758d175abfb0956e!8m2!3d32.8311805!4d-117.1602859!16s%2Fg%2F1tvw56py!19sChIJr2DjApv_24ARbpWwv1oXjXU?authuser=0&hl=en&rclk=1,Furniture stores in San Diego California,4.6,60,+1 858-560-4404,"7341 Clairemont Mesa Blvd, San Diego, CA 92111, United States",ethanallen.com
