Name,URL,Query,Rating,Reviews,Phone,Address,Website
Sheraton Suites Chicago O'Hare,https://www.google.com/maps/place/Sheraton+Suites+Chicago+O%27Hare/data=!4m10!3m9!1s0x880fb66866947803:0x585daa2ad76eb4f!5m2!4m1!1i2!8m2!3d41.99727!4d-87.883446!16s%2Fg%2F1tctg65_!19sChIJA3iUZmi2D4gRT-t2raLahQU?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.3,2069,+1 847-699-6300,"6501 Mannheim Rd, Rosemont, IL 60018, United States",marriott.com
Marriott Marquis Chicago,https://www.google.com/maps/place/Marriott+Marquis+Chicago/data=!4m10!3m9!1s0x880e2c7fb79a8219:0x3431ad87f88215cd!5m2!4m1!1i2!8m2!3d41.854019!4d-87.620536!16s%2Fg%2F11cs1f408n!19sChIJGYKat38sDogRzRWC-IetMTQ?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.5,3318,+1 312-824-0500,"2121 S Prairie Ave, Chicago, IL 60616, United States",marriott.com
Hilton Garden Inn Chicago Downtown/Magnificent Mile,https://www.google.com/maps/place/Hilton+Garden+Inn+Chicago+Downtown%2FMagnificent+Mile/data=!4m10!3m9!1s0x880e2cad95a6878b:0x4d168928c4e72ca9!5m2!4m1!1i2!8m2!3d41.8919352!4d-87.62757!16s%2Fg%2F1tcw8s01!19sChIJi4emla0sDogRqSznxCiJFk0?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.1,2464,+1 312-595-0000,"10 E Grand Ave, Chicago, IL 60611, United States",hilton.com
"Holiday Inn Chicago O'Hare Area, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Chicago+O%27Hare+Area,+an+IHG+Hotel/data=!4m10!3m9!1s0x880fc9f4dcd190f3:0xa1f8f3f32fb094e0!5m2!4m1!1i2!8m2!3d41.9818598!4d-87.8357209!16s%2Fg%2F113jhv71t!19sChIJ85DR3PTJD4gR4JSwL_Pz-KE?authuser=0&hl=en&rclk=1",Hotels in Chicago Illinois,3.8,2414,+1 773-693-5800,"5615 N Cumberland Ave, Chicago, IL 60631, United States",ihg.com
The Chicago Hotel Collection Magnificent Mile Hotel & Suites,https://www.google.com/maps/place/The+Chicago+Hotel+Collection+Magnificent+Mile+Hotel+%26+Suites/data=!4m10!3m9!1s0x880fd3fba337f47d:0x37ee921e0a0daa1c!5m2!4m1!1i2!8m2!3d41.8960152!4d-87.6226872!16s%2Fg%2F11sh4myt30!19sChIJffQ3o_vTD4gRHKoNCh6S7jc?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,2.7,657,+1 312-787-6000,"166 E Superior St, Chicago, IL 60611, United States",thechicagohotelcollection.com
Freehand Chicago,https://www.google.com/maps/place/Freehand+Chicago/data=!4m10!3m9!1s0x880e2cad98bd799f:0x530b4ce71e087400!5m2!4m1!1i2!8m2!3d41.8923757!4d-87.6273243!16s%2Fg%2F11b81v42dr!19sChIJn3m9mK0sDogRAHQIHudMC1M?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.0,2532,+1 312-940-3699,"19 E Ohio St, Chicago, IL 60611, United States",freehandhotels.com
Hilton Garden Inn Chicago Downtown South Loop,https://www.google.com/maps/place/Hilton+Garden+Inn+Chicago+Downtown+South+Loop/data=!4m10!3m9!1s0x880e2d4fd078a447:0xf4ce29df7aca69d3!5m2!4m1!1i2!8m2!3d41.8690941!4d-87.62566!16s%2Fg%2F11h38ywtxg!19sChIJR6R40E8tDogR02nKet8pzvQ?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.1,823,+1 312-753-5100,"55 E 11th St, Chicago, IL 60605, United States",hilton.com
Best Western Grant Park Hotel,https://www.google.com/maps/place/Best+Western+Grant+Park+Hotel/data=!4m10!3m9!1s0x880e2c9b94cd8859:0x936a89b93b69fe18!5m2!4m1!1i2!8m2!3d41.8690914!4d-87.6246813!16s%2Fg%2F1td8zq4g!19sChIJWYjNlJssDogRGP5pO7mJapM?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,3.8,2709,+1 312-922-2900,"1100 S Michigan Ave, Chicago, IL 60605, United States",bestwestern.com
Central Loop Hotel,https://www.google.com/maps/place/Central+Loop+Hotel/data=!4m10!3m9!1s0x880e2cbc60d0d04b:0xd517e51cdbae1199!5m2!4m1!1i2!8m2!3d41.8792487!4d-87.631162!16s%2Fg%2F1tr7jzkn!19sChIJS9DQYLwsDogRmRGu2xzlF9U?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.1,1451,+1 312-601-3525,"111 W Adams St, Chicago, IL 60603, United States",centralloophotel.com
La Quinta Inn & Suites by Wyndham Chicago Downtown,https://www.google.com/maps/place/La+Quinta+Inn+%26+Suites+by+Wyndham+Chicago+Downtown/data=!4m10!3m9!1s0x880e2cb917612563:0xc11a7a2742e58557!5m2!4m1!1i2!8m2!3d41.8816263!4d-87.6350345!16s%2Fg%2F1vc6d_3b!19sChIJYyVhF7ksDogRV4XlQid6GsE?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.2,2205,+1 312-558-1020,"1 S Franklin St, Chicago, IL 60606, United States",wyndhamhotels.com
Chicago South Loop Hotel,https://www.google.com/maps/place/Chicago+South+Loop+Hotel/data=!4m10!3m9!1s0x880e2c7075b93b09:0x81e7bc715e175a8f!5m2!4m1!1i2!8m2!3d41.8452529!4d-87.6277863!16s%2Fg%2F1tkp5khq!19sChIJCTu5dXAsDogRj1oXXnG854E?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,3.9,2202,+1 312-225-7000,"11 W 26th St, Chicago, IL 60616, United States",chicagosouthloophotel.com
"Holiday Inn Express & Suites Chicago North Shore - Niles, an IHG Hotel","https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Chicago+North+Shore+-+Niles,+an+IHG+Hotel/data=!4m10!3m9!1s0x880fc91c0f03b181:0x4ad657f8276f70b5!5m2!4m1!1i2!8m2!3d42.0131464!4d-87.8016747!16s%2Fg%2F11c3yqs1rx!19sChIJgbEDDxzJD4gRtXBvJ_hX1ko?authuser=0&hl=en&rclk=1",Hotels in Chicago Illinois,4.3,970,+1 847-588-1900,"7247 N Waukegan Rd, Niles, IL 60714, United States",ihg.com
Chicago Getaway Hostel,https://www.google.com/maps/place/Chicago+Getaway+Hostel/data=!4m10!3m9!1s0x880fd30e41afb9ab:0xe7048c084e9305f!5m2!4m1!1i2!8m2!3d41.9268713!4d-87.6445955!16s%2Fg%2F1tg2l7zx!19sChIJq7mvQQ7TD4gRXzDphMBIcA4?authuser=0&hl=en&rclk=1,Hotels in Chicago Illinois,4.2,2213,+1 773-929-5380,"616 W Arlington Pl, Chicago, IL 60614, United States",getawayhostel.com
