Name,URL,Query,Rating,Reviews,Phone,Address,Website
Hampton Inn San Antonio Stone Oak,https://www.google.com/maps/place/Hampton+Inn+San+Antonio+Stone+Oak/data=!4m10!3m9!1s0x865c8a23ce337413:0xb98d339705814c38!5m2!4m1!1i2!8m2!3d29.605005!4d-98.459051!16s%2Fg%2F1tdqb_f3!19sChIJE3QzziOKXIYROEyBBZczjbk?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.9,599,+1 210-404-1144,"2127 Gold Canyon Rd, San Antonio, TX 78232, United States",hilton.com
Residence Inn San Antonio Downtown/Market Square,https://www.google.com/maps/place/Residence+Inn+San+Antonio+Downtown%2FMarket+Square/data=!4m10!3m9!1s0x865c58b17cf2fcb1:0x20cea8366ae258e3!5m2!4m1!1i2!8m2!3d29.41878!4d-98.498515!16s%2Fg%2F1th5jws5!19sChIJsfzyfLFYXIYR41jiajaoziA?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,4.2,657,+1 210-231-6000,"628 S Santa Rosa Ave, San Antonio, TX 78204, United States",marriott.com
Hampton Inn San Antonio-Downtown (River Walk),https://www.google.com/maps/place/Hampton+Inn+San+Antonio-Downtown+%28River+Walk%29/data=!4m10!3m9!1s0x865cf5ffef57fd3b:0xaad7aaf53295714e!5m2!4m1!1i2!8m2!3d29.4266327!4d-98.4826228!16s%2Fg%2F1v_w2shp!19sChIJO_1X7__1XIYRTnGVMvWq16o?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.9,1619,+1 210-225-8500,"414 Bowie St, San Antonio, TX 78205, United States",hilton.com
DoubleTree by Hilton Hotel San Antonio Downtown,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+San+Antonio+Downtown/data=!4m10!3m9!1s0x865c58b4e327c351:0xbf7ffffe8a721f06!5m2!4m1!1i2!8m2!3d29.4225151!4d-98.5036052!16s%2Fg%2F1tmk8xw4!19sChIJUcMn47RYXIYRBh9yiv7_f78?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.8,2108,+1 210-224-7155,"502 W Cesar E. Chavez Blvd, San Antonio, TX 78207, United States",hilton.com
Red Roof PLUS+ San Antonio Downtown - Riverwalk,https://www.google.com/maps/place/Red+Roof+PLUS%2B+San+Antonio+Downtown+-+Riverwalk/data=!4m10!3m9!1s0x865cf6008255e2d3:0xc4a143a9903b58c5!5m2!4m1!1i2!8m2!3d29.425589!4d-98.4808287!16s%2Fg%2F1tknkwc1!19sChIJ0-JVggD2XIYRxVg7kKlDocQ?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.4,2622,+1 726-999-1908,"1011 E Houston St, San Antonio, TX 78205, United States",redroof.com
Riverwalk Plaza Hotel,https://www.google.com/maps/place/Riverwalk+Plaza+Hotel/data=!4m10!3m9!1s0x865c58ad05a1159d:0x9cf3cb582d380879!5m2!4m1!1i2!8m2!3d29.4227669!4d-98.493036!16s%2Fg%2F1tkc72rw!19sChIJnRWhBa1YXIYReQg4LVjL85w?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.8,2527,+1 210-225-1234,"100 Villita St, San Antonio, TX 78205, United States",riverwalkplaza.com
Super 8 by Wyndham San Antonio Pearl District / Downtown,https://www.google.com/maps/place/Super+8+by+Wyndham+San+Antonio+Pearl+District+%2F+Downtown/data=!4m10!3m9!1s0x865c5f5f33a69b01:0x2dea6226058fa522!5m2!4m1!1i2!8m2!3d29.4400674!4d-98.4843842!16s%2Fg%2F1tdcb6vb!19sChIJAZumM19fXIYRIqWPBSZi6i0?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,2.9,1101,+1 210-222-8833,"1614 N St Mary`s St, San Antonio, TX 78215, United States",wyndhamhotels.com
San Antonio Marriott Riverwalk,https://www.google.com/maps/place/San+Antonio+Marriott+Riverwalk/data=!4m10!3m9!1s0x865c58aa7befb2d7:0x7c18736614273b2b!5m2!4m1!1i2!8m2!3d29.4223461!4d-98.4845042!16s%2Fm%2F0fpjt8m!19sChIJ17Lve6pYXIYRKzsnFGZzGHw?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,4.4,3328,+1 210-224-4555,"889 E Market St, San Antonio, TX 78205, United States",marriott.com
Days Inn by Wyndham San Antonio Seaworld/Lackland AFB,https://www.google.com/maps/place/Days+Inn+by+Wyndham+San+Antonio+Seaworld%2FLackland+AFB/data=!4m10!3m9!1s0x865c5daf44f29725:0x309f4915922bfab6!5m2!4m1!1i2!8m2!3d29.4744022!4d-98.6096939!16s%2Fg%2F1v5_9vv8!19sChIJJZfyRK9dXIYRtvorkhVJnzA?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,3.5,820,+1 210-522-1995,"6010 Northwest Loop 410, San Antonio, TX 78238, United States",wyndhamhotels.com
Hyatt Regency San Antonio Riverwalk,https://www.google.com/maps/place/Hyatt+Regency+San+Antonio+Riverwalk/data=!4m10!3m9!1s0x865c58ab335e4621:0x342aa7b57e9bbbf5!5m2!4m1!1i2!8m2!3d29.4255945!4d-98.4882006!16s%2Fg%2F11_pzn5pj!19sChIJIUZeM6tYXIYR9bubfrWnKjQ?authuser=0&hl=en&rclk=1,Hotels in San Antonio Texas,4.5,6569,+1 210-222-1234,"123 Losoya St, San Antonio, TX 78205, United States",hyatt.com
