Name,URL,Query,Rating,Reviews,Phone,Address,Website
Courtyard San Diego Old Town,https://www.google.com/maps/place/Courtyard+San+Diego+Old+Town/data=!4m10!3m9!1s0x80deaadfb93fff8d:0xf07643c9f4d9360e!5m2!4m1!1i2!8m2!3d32.750263!4d-117.19531!16s%2Fg%2F1hc1yl05f!19sChIJjf8_ud-q3oARDjbZ9MlDdvA?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.2,1218,+1 619-260-8500,"2435 Jefferson St, San Diego, CA 92110, United States",marriott.com
Hilton San Diego/Del Mar,https://www.google.com/maps/place/Hilton+San+Diego%2FDel+Mar/data=!4m10!3m9!1s0x80dc08da6d64c955:0x6462789d0886b2c0!5m2!4m1!1i2!8m2!3d32.978267!4d-117.255089!16s%2Fg%2F1tdx8_h2!19sChIJVclkbdoI3IARwLKGCJ14YmQ?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.2,1417,+1 858-792-5200,"15575 Jimmy Durante Blvd, Del Mar, CA 92014, United States",hilton.com
Samesun Ocean Beach - San Diego,https://www.google.com/maps/place/Samesun+Ocean+Beach+-+San+Diego/data=!4m10!3m9!1s0x80deaa3a06809799:0xa5ca21d3c27e91b5!5m2!4m1!1i2!8m2!3d32.7462344!4d-117.2505836!16s%2Fg%2F1thvs_wh!19sChIJmZeABjqq3oARtZF-wtMhyqU?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.6,753,+1 619-376-6477,"4961 Newport Ave, San Diego, CA 92107, United States",samesun.com
Heritage Inn San Diego,https://www.google.com/maps/place/Heritage+Inn+San+Diego/data=!4m10!3m9!1s0x80deaaf64aa4d453:0x8e66bdb97de44e5f!5m2!4m1!1i2!8m2!3d32.7559959!4d-117.2194385!16s%2Fg%2F1ttpbm50!19sChIJU9SkSvaq3oARX07kfbm9Zo4?authuser=0&hl=en&rclk=1,Hotels in San Diego California,2.5,1699,+1 619-223-9500,"3333 Channel Way, San Diego, CA 92110, United States",heritageinnsandiego.com
California Suites Hotel,https://www.google.com/maps/place/California+Suites+Hotel/data=!4m10!3m9!1s0x80dc007f6d8822f5:0xc95d4172597b5cfd!5m2!4m1!1i2!8m2!3d32.8336319!4d-117.1747792!16s%2Fm%2F0ddbrcl!19sChIJ9SKIbX8A3IAR_Vx7WXJBXck?authuser=0&hl=en&rclk=1,Hotels in San Diego California,3.5,1339,+1 858-560-0545,"5415 Clairemont Mesa Blvd #2308, San Diego, CA 92117, United States",californiasuiteshotel.com
HI San Diego Downtown Hostel,https://www.google.com/maps/place/HI+San+Diego+Downtown+Hostel/data=!4m10!3m9!1s0x80d95359bceddd73:0x1c4d3c69c0923875!5m2!4m1!1i2!8m2!3d32.7113162!4d-117.1598304!16s%2Fg%2F1tj2c8qp!19sChIJc93tvFlT2YARdTiSwGk8TRw?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.4,643,+1 619-525-1531,"521 Market St, San Diego, CA 92101, United States",hiusa.org
Wyndham San Diego Bayside,https://www.google.com/maps/place/Wyndham+San+Diego+Bayside/data=!4m10!3m9!1s0x80deab3fa3533567:0xc3004e4dd6672cfc!5m2!4m1!1i2!8m2!3d32.7193111!4d-117.1726522!16s%2Fg%2F12647jy_5!19sChIJZzVToz-r3oAR_Cxn1k1OAMM?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.0,4950,+1 619-232-3861,"1355 N Harbor Dr, San Diego, CA 92101, United States",wyndhamhotels.com
Wyndham Garden San Diego near SeaWorld,https://www.google.com/maps/place/Wyndham+Garden+San+Diego+near+SeaWorld/data=!4m10!3m9!1s0x80deaaf9fbacb845:0x61a9438f2f8ebfad!5m2!4m1!1i2!8m2!3d32.7540029!4d-117.2154985!16s%2Fg%2F1v5fs6cz!19sChIJRbis-_mq3oARrb-OL49DqWE?authuser=0&hl=en&rclk=1,Hotels in San Diego California,3.3,2669,+1 619-881-6100,"3737 Sports Arena Blvd, San Diego, CA 92110, United States",wyndhamhotels.com
Hilton San Diego Bayfront,https://www.google.com/maps/place/Hilton+San+Diego+Bayfront/data=!4m10!3m9!1s0x80d95345315f460b:0xd669cb6fe6a09fd7!5m2!4m1!1i2!8m2!3d32.7040088!4d-117.1576613!16s%2Fm%2F0465w_2!19sChIJC0ZfMUVT2YAR15-g5m_LadY?authuser=0&hl=en&rclk=1,Hotels in San Diego California,4.3,8311,+1 619-564-3333,"1 Park Blvd, San Diego, CA 92101, United States",hilton.com
Days Inn by Wyndham San Diego Hotel Circle,https://www.google.com/maps/place/Days+Inn+by+Wyndham+San+Diego+Hotel+Circle/data=!4m10!3m9!1s0x80d9552952cd2525:0xc3189ead79381c61!5m2!4m1!1i2!8m2!3d32.7597904!4d-117.1671894!16s%2Fg%2F1vhlygt_!19sChIJJSXNUilV2YARYRw4ea2eGMM?authuser=0&hl=en&rclk=1,Hotels in San Diego California,3.8,2819,+1 619-431-3303,"543 Hotel Cir S, San Diego, CA 92108, United States",wyndhamhotels.com
