Name,URL,Query,Rating,Reviews,Phone,Address,Website
Giving Tree Realty,https://www.google.com/maps/place/Giving+Tree+Realty/data=!4m7!3m6!1s0x885420abaf1e403d:0x9c525e22cff34e!8m2!3d35.2022971!4d-80.845628!16s%2Fg%2F1tf766n7!19sChIJPUAer6sgVIgRTvPPIl5SnAA?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,4.9,579,+1 704-323-8080,"1244 East Blvd, Charlotte, NC 28203, United States",givingtreerealty.com
Stone Realty Group,https://www.google.com/maps/place/Stone+Realty+Group/data=!4m7!3m6!1s0x88569f8fb6c6abc1:0xa3e85081798c89bc!8m2!3d35.223068!4d-80.8819479!16s%2Fg%2F11b77zb86v!19sChIJwavGto-fVogRvImMeYFQ6KM?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,5.0,471,+1 704-755-5095,"2459 Wilkinson Blvd STE 310, Charlotte, NC 28208, United States",mattstoneteam.com
Josh Finigan | The Finigan Group | eXp Realty,https://www.google.com/maps/place/Josh+Finigan+%7C+The+Finigan+Group+%7C+eXp+Realty/data=!4m7!3m6!1s0x88569d1796400001:0xe3fa2871d1342933!8m2!3d35.0679125!4d-80.8412129!16s%2Fg%2F11fljjjkqz!19sChIJAQBAlhedVogRMyk00XEo-uM?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,5.0,139,+1 704-631-3977,"3440 Toringdon Way #205, Charlotte, NC 28277, United States",thefinigangroup.com
"The Premier Team of RE/MAX Executive - Charlotte, NC","https://www.google.com/maps/place/The+Premier+Team+of+RE%2FMAX+Executive+-+Charlotte,+NC/data=!4m7!3m6!1s0x88569d17f85d7023:0x28afe55cde55ef0e!8m2!3d35.071837!4d-80.843773!16s%2Fg%2F11cncbntml!19sChIJI3Bd-BedVogRDu9V3lzlryg?authuser=0&hl=en&rclk=1",Real estate agents in Charlotte North Carolina,5.0,360,+1 980-236-0005,"12104 Copper Way Suite 100, Charlotte, NC 28277, United States",thepremierteam.com
High Performance Real Estate Advisors,https://www.google.com/maps/place/High+Performance+Real+Estate+Advisors/data=!4m7!3m6!1s0x88569cdf3fd1a135:0xc3497e3a2b02112!8m2!3d35.066945!4d-80.8400494!16s%2Fg%2F1tgk1bp1!19sChIJNaHRP9-cVogREiGwouOXNAw?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,4.9,2575,+1 704-322-3401,"3540 Toringdon Way Suite 200, Charlotte, NC 28277, United States",highperformancerealestatenc.com
"Realty Dynamics, Inc.","https://www.google.com/maps/place/Realty+Dynamics,+Inc./data=!4m7!3m6!1s0x8856a159215f6127:0xc9082dad0fd323a3!8m2!3d35.2322508!4d-80.8558685!16s%2Fg%2F11h77z56z4!19sChIJJ2FfIVmhVogRoyPTD60tCMk?authuser=0&hl=en&rclk=1",Real estate agents in Charlotte North Carolina,5.0,57,+1 704-779-6194,"1009A Westbrook Dr, Charlotte, NC 28202, United States",charlottehomezone.com
Andy Bovender Real Estate Team | Compass Charlotte,https://www.google.com/maps/place/Andy+Bovender+Real+Estate+Team+%7C+Compass+Charlotte/data=!4m7!3m6!1s0x8856856ba0bc5f0f:0x594af3e1915390bd!8m2!3d35.1501071!4d-80.8291719!16s%2Fg%2F1tg87c2q!19sChIJD1-8oGuFVogRvZBTkeHzSlk?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,5.0,317,+1 704-625-6127,"4525 Sharon Rd 3rd Floor, Charlotte, NC 28211, United States",bovenderteam.com
Dickens Mitchener Residential Real Estate,https://www.google.com/maps/place/Dickens+Mitchener+Residential+Real+Estate/data=!4m7!3m6!1s0x88569fe52281e0ab:0x1dc0db9b8bbc37b0!8m2!3d35.2047853!4d-80.8192413!16s%2Fg%2F1tdpsckf!19sChIJq-CBIuWfVogRsDe8i5vbwB0?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,5.0,95,+1 704-342-1000,"2330 Randolph Rd, Charlotte, NC 28207, United States",dickensmitchener.com
White Stag Realty Low Commission Real Estate Agent in Charlotte | North Carolina Reduced Fee Brokers | Discount Realtor,https://www.google.com/maps/place/White+Stag+Realty+Low+Commission+Real+Estate+Agent+in+Charlotte+%7C+North+Carolina+Reduced+Fee+Brokers+%7C+Discount+Realtor/data=!4m7!3m6!1s0x8856a129cab483f7:0x9d752e16d799698c!8m2!3d35.2353001!4d-80.8726333!16s%2Fg%2F11sq_rjyw8!19sChIJ94O0yimhVogRjGmZ1xYudZ0?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,5.0,47,+1 980-777-4440,"1026 Jay St Suite B165, Charlotte, NC 28208, United States",whitestagrealtync.com
Carter Group Realtors,https://www.google.com/maps/place/Carter+Group+Realtors/data=!4m7!3m6!1s0x88569f9f5795cbcb:0x9a5ac01359b4c219!8m2!3d35.2103485!4d-80.8538875!16s%2Fg%2F11b6xb1_ys!19sChIJy8uVV5-fVogRGcK0WRPAWpo?authuser=0&hl=en&rclk=1,Real estate agents in Charlotte North Carolina,4.9,134,+1 704-619-8594,"416 E Kingston Ave, Charlotte, NC 28203, United States",cartergrouprealtors.com
