Name,URL,Query,Rating,Reviews,Phone,Address,Website
DJ & Lindsey Real Estate,https://www.google.com/maps/place/DJ+%26+Lindsey+Real+Estate/data=!4m7!3m6!1s0x88e449545cc553af:0x1064edd3dd1c813e!8m2!3d30.2438449!4d-81.539978!16s%2Fg%2F11gl0bxh0w!19sChIJr1PFXFRJ5IgRPoEc3dPtZBA?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,1058,+1 904-560-5671,"10550 Deerwood Park Blvd Suite 602, Jacksonville, FL 32256, United States",djandlindsey.com
Momentum Realty,https://www.google.com/maps/place/Momentum+Realty/data=!4m7!3m6!1s0x88e5c93739ec4d19:0xfe95c0089b632e5c!8m2!3d30.3222754!4d-81.4525321!16s%2Fg%2F11gb3wsx7l!19sChIJGU3sOTfJ5YgRXC5jmwjAlf4?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,190,+1 904-570-1216,"13475 Atlantic Blvd Suite 8, Office S206, Jacksonville, FL 32225, United States",movewithmomentum.com
CrossView Realty,https://www.google.com/maps/place/CrossView+Realty/data=!4m7!3m6!1s0x88e5ceee85989d8d:0xe49fe03559280073!8m2!3d30.206398!4d-81.5943761!16s%2Fg%2F11csr1cq8b!19sChIJjZ2Yhe7O5YgRcwAoWTXgn-Q?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,160,+1 904-503-0672,"9393 Mill Springs Dr Suite 220, Jacksonville, FL 32257, United States",crossviewrealty.com
JPAR City and Beach & Expert Home Advisors,https://www.google.com/maps/place/JPAR+City+and+Beach+%26+Expert+Home+Advisors/data=!4m7!3m6!1s0x88e5cecf2dc7e39d:0xf199dbfb2d4e2f52!8m2!3d30.1887705!4d-81.5632684!16s%2Fg%2F1pp2tjv2c!19sChIJnePHLc_O5YgRUi9OLfvbmfE?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,665,+1 904-370-3500,"9700 Philips Hwy Ste 106, Jacksonville, FL 32256, United States",experthomeadvisors.com
Sandbar Realty,https://www.google.com/maps/place/Sandbar+Realty/data=!4m7!3m6!1s0x88e437e27cc8a2a1:0xc4dd055ec9dc594d!8m2!3d30.2541086!4d-81.5881312!16s%2Fg%2F11g_zyjnqh!19sChIJoaLIfOI35IgRTVncyV4F3cQ?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,62,+1 904-944-5390,"4221 Southpoint Blvd, Jacksonville, FL 32216, United States",sandbarrealtyjax.com
Florida Homes Realty & Mortgage LLC,https://www.google.com/maps/place/Florida+Homes+Realty+%26+Mortgage+LLC/data=!4m7!3m6!1s0x88e435db6f5fb52d:0x5171a768d3be0555!8m2!3d30.2122854!4d-81.5126701!16s%2Fg%2F11g_405v0!19sChIJLbVfb9s15IgRVQW-02incVE?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.8,851,+1 904-996-9115,"9191 R G Skinner Pkwy #102, Jacksonville, FL 32256, United States",joinfhrm.com
Chad and Sandy Real Estate Group,https://www.google.com/maps/place/Chad+and+Sandy+Real+Estate+Group/data=!4m7!3m6!1s0x88e5b455e3535a35:0x725677aafd5a6b4f!8m2!3d30.2171587!4d-81.5828438!16s%2Fg%2F1tc_rv0m!19sChIJNVpT41W05YgRT2ta_ap3VnI?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.8,136,+1 904-414-6200,"8367 Baymeadows Way Ste 200, Jacksonville, FL 32256, United States",chadandsandy.com
First Coast Heroes Real Estate,https://www.google.com/maps/place/First+Coast+Heroes+Real+Estate/data=!4m7!3m6!1s0x88e5b4c83665214d:0x796287b97ff92b60!8m2!3d30.1518155!4d-81.6344231!16s%2Fg%2F11fx7x1dfr!19sChIJTSFlNsi05YgRYCv5f7mHYnk?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,128,+1 904-593-4589,"12058 San Jose Blvd Suite 903E, Jacksonville, FL 32223, United States",firstcoastheroes.com
Bird Dog Real Estate Group,https://www.google.com/maps/place/Bird+Dog+Real+Estate+Group/data=!4m7!3m6!1s0x88e5b7e43ac47bd7:0x8832a50a580f61e7!8m2!3d30.3113479!4d-81.7356359!16s%2Fg%2F11j8tcnyj2!19sChIJ13vEOuS35YgR52EPWAqlMog?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.7,36,+1 904-903-4637,"5310 Lenox Ave # 16, Jacksonville, FL 32205, United States",seeknsellflhomes.com
Crystal Clear Realty,https://www.google.com/maps/place/Crystal+Clear+Realty/data=!4m7!3m6!1s0x88e5cb6d4e3551e5:0x7b597575c3815ec7!8m2!3d30.1642011!4d-81.5992417!16s%2Fg%2F11bzvx1s1c!19sChIJ5VE1Tm3L5YgRx16Bw3V1WXs?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,29,+1 904-716-1927,"11481 Old St Augustine Rd STE 201, Jacksonville, FL 32258, United States",crystalclearrealtygroup.com
Your Home Sold Guaranteed Realty - Phil Aitken Home Team,https://www.google.com/maps/place/Your+Home+Sold+Guaranteed+Realty+-+Phil+Aitken+Home+Team/data=!4m7!3m6!1s0x88e5b57e04b7dee9:0x3b3276fdd9b5ad3b!8m2!3d30.1403165!4d-81.519912!16s%2Fg%2F11c5_h3j0c!19sChIJ6d63BH615YgRO6212f12Mjs?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,107,+1 904-544-5252,"12574 Flagler Center Blvd Suite 101, Jacksonville, FL 32258, United States",yourhomesoldguaranteedrealty-philaitkenhometeam.com
JAX FL Realty,https://www.google.com/maps/place/JAX+FL+Realty/data=!4m7!3m6!1s0x88e5b7a78165d66d:0xf067e7b72b88eba7!8m2!3d30.2960207!4d-81.7042428!16s%2Fg%2F1tjrqswm!19sChIJbdZlgae35YgRp-uIK7fnZ_A?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.6,20,+1 904-701-3107,"3610 St Johns Ave, Jacksonville, FL 32205, United States",jaxflrealty.com
Gailey Enterprises Real Estate,https://www.google.com/maps/place/Gailey+Enterprises+Real+Estate/data=!4m7!3m6!1s0x88e5b516ecd86765:0xb1b7a5473bdfdb55!8m2!3d30.19542!4d-81.6182909!16s%2Fg%2F11f7pl9p9g!19sChIJZWfY7Ba15YgRVdvfO0elt7E?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,247,+1 904-646-7357,"9957 Moorings Dr Unit 201 & 202, Jacksonville, FL 32257, United States",gaileyenterprises.com
Anchored Real Estate Group,https://www.google.com/maps/place/Anchored+Real+Estate+Group/data=!4m7!3m6!1s0x88e44b608b214fad:0x9e11890b3ec64f95!8m2!3d30.3222754!4d-81.4525321!16s%2Fg%2F11sgrcn8lr!19sChIJrU8hi2BL5IgRlU_GPguJEZ4?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,76,+1 904-415-0657,"13475 Atlantic Blvd Unit 8 Ste.118, Jacksonville, FL 32225, United States",anchoredregroup.com
Cowford Realty & Design,https://www.google.com/maps/place/Cowford+Realty+%26+Design/data=!4m7!3m6!1s0x88e5b77dd9c44339:0xab85ed36e2e2ec0e!8m2!3d30.3004056!4d-81.7105759!16s%2Fg%2F11f00hxygn!19sChIJOUPE2X235YgRDuzi4jbthas?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,138,+1 904-330-4733,"3651 Park St, Jacksonville, FL 32205, United States",cowfordrealty.com
Hamilton House Real Estate Group,https://www.google.com/maps/place/Hamilton+House+Real+Estate+Group/data=!4m7!3m6!1s0x88e5b96a4ea34f25:0x6cd2ec94e14d2be5!8m2!3d30.3101146!4d-81.6889743!16s%2Fg%2F11f78b76g5!19sChIJJU-jTmq55YgR5StN4ZTs0mw?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,29,+1 904-434-6210,"2532 Oak St, Jacksonville, FL 32204, United States",hamiltonhousegroup.com
Pursuit Real Estate,https://www.google.com/maps/place/Pursuit+Real+Estate/data=!4m7!3m6!1s0x88e5b62761504c0b:0x5228e5054f367309!8m2!3d30.2560041!4d-81.6232102!16s%2Fg%2F1tfln7r2!19sChIJC0xQYSe25YgRCXM2TwXlKFI?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,129,+1 904-448-6771,"3725 Dupont Station Ct S Suite#1, Jacksonville, FL 32217, United States",pursuitrealestate.com
Yasha Wells | Jacksonville FL Realtor,https://www.google.com/maps/place/Yasha+Wells+%7C+Jacksonville+FL+Realtor/data=!4m7!3m6!1s0x88e5b52c673dc57b:0x81f7c31a9d1ff61c!8m2!3d30.3024805!4d-81.6577159!16s%2Fg%2F11rcdf4jv6!19sChIJe8U9Zyy15YgRHPYfnRrD94E?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,5.0,29,+1 904-343-4461,-,homesweethome904.com
Keller Williams Realty,https://www.google.com/maps/place/Keller+Williams+Realty/data=!4m7!3m6!1s0x88e5b57e04ebaa39:0xbccc018bd01a0be4!8m2!3d30.2558691!4d-81.5548129!16s%2Fg%2F1q67vw2kf!19sChIJOarrBH615YgR5Asa0IsBzLw?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.5,32,+1 904-515-2700,"8702 Perimeter Park Blvd, Jacksonville, FL 32216, United States",kwjaxsouthside.com
Watson Realty Corp North Jacksonville,https://www.google.com/maps/place/Watson+Realty+Corp+North+Jacksonville/data=!4m7!3m6!1s0x88e5b016ea74ef27:0xc573bb996329ea2b!8m2!3d30.4305829!4d-81.6735591!16s%2Fg%2F1hc6y54t0!19sChIJJ-906haw5YgRK-opY5m7c8U?authuser=0&hl=en&rclk=1,Real estate agents in Jacksonville Florida,4.9,45,+1 904-757-8800,"1566 Dunn Ave, Jacksonville, FL 32218, United States",watsonrealtycorp.com
