Name,URL,Query,Rating,Reviews,Phone,Address,Website
"Tyler Tapley (Broker) - Crye-Leike, Realtors Real Estate Agent","https://www.google.com/maps/place/Tyler+Tapley+%28Broker%29+-+Crye-Leike,+Realtors+Real+Estate+Agent/data=!4m7!3m6!1s0x887f9bd1f3917cc9:0xaf8fce17f8541378!8m2!3d35.1041641!4d-89.8457194!16s%2Fg%2F11m48dd_k4!19sChIJyXyR89Gbf4gReBNU-BfOj68?authuser=0&hl=en&rclk=1",Real estate agents in Memphis Tennessee,4.9,145,+1 901-871-1290,"6525 N Quail Hollow Rd, Memphis, TN 38120, United States",tyler.crye-leike.com
Berkshire Hathaway HomeServices Taliesyn Realty,https://www.google.com/maps/place/Berkshire+Hathaway+HomeServices+Taliesyn+Realty/data=!4m7!3m6!1s0x887f9b8bd6ddbb4b:0xbf4605a9c9db2fdf!8m2!3d35.1183626!4d-89.8919208!16s%2Fg%2F1262l961m!19sChIJS7vd1oubf4gR3y_byakFRr8?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,4.9,118,+1 901-466-4000,"465 Jack Kramer Dr #1, Memphis, TN 38117, United States",bhhstaliesynrealty.com
Layson Group - Keller Williams Memphis,https://www.google.com/maps/place/Layson+Group+-+Keller+Williams+Memphis/data=!4m7!3m6!1s0x887f85e570dc2f61:0x6d50890007baac59!8m2!3d35.1110914!4d-89.8686433!16s%2Fg%2F11gr5j9s70!19sChIJYS_ccOWFf4gRWay6BwCJUG0?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,5.0,92,+1 901-213-7866,"775 Ridge Lake Blvd Suite #400, Memphis, TN 38120, United States",memphisrealtysearch.com
Regency Realty,https://www.google.com/maps/place/Regency+Realty/data=!4m7!3m6!1s0x887f99e3d90603eb:0xeeadf2175622e747!8m2!3d35.1028265!4d-89.876524!16s%2Fg%2F11j6t88j5g!19sChIJ6wMG2eOZf4gRR-ciVhfyre4?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,4.9,98,+1 901-350-5050,"1053 Oakhaven Rd, Memphis, TN 38119, United States",regency-realty.com
eXp Realty - Melissa Thompson Team,https://www.google.com/maps/place/eXp+Realty+-+Melissa+Thompson+Team/data=!4m7!3m6!1s0x887f9b3607bdc5d7:0x963c08f3fa62ac65!8m2!3d35.1043678!4d-89.8660767!16s%2Fg%2F11ddx50w79!19sChIJ18W9Bzabf4gRZaxi-vMIPJY?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,4.9,134,+1 901-729-9526,"5865 Ridgeway Center Pkwy Ste. 218, Memphis, TN 38120, United States",yourkeytomemphis.com
"Carol & Amanda Lott, The Lott Team","https://www.google.com/maps/place/Carol+%26+Amanda+Lott,+The+Lott+Team/data=!4m7!3m6!1s0x87d57ff5dc257247:0x46835b095bf5424e!8m2!3d35.1188193!4d-89.9914568!16s%2Fg%2F11jgnj3057!19sChIJR3Il3PV_1YcRTkL1Wwlbg0Y?authuser=0&hl=en&rclk=1",Real estate agents in Memphis Tennessee,5.0,135,+1 901-461-9246,"981 Cooper St, Memphis, TN 38104, United States",thelottteam.com
The Live Love Memphis Group at Real Estate Agency,https://www.google.com/maps/place/The+Live+Love+Memphis+Group+at+Real+Estate+Agency/data=!4m7!3m6!1s0x887f9bbbb474daab:0x9a3ce631dae3d6f2!8m2!3d35.0880213!4d-89.8144669!16s%2Fg%2F11b6p7qvcp!19sChIJq9p0tLubf4gR8tbj2jHmPJo?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,4.9,165,+1 901-625-5200,"7455 McVay Station Ct #101, Germantown, TN 38138, United States",livelovememphis.place
Crye-Leike Real Estate Services,https://www.google.com/maps/place/Crye-Leike+Real+Estate+Services/data=!4m7!3m6!1s0x887f9b35fd943e57:0xdcb74c728852cea7!8m2!3d35.1041916!4d-89.8454918!16s%2Fg%2F113gnncc4!19sChIJVz6U_TWbf4gRp85SiHJMt9w?authuser=0&hl=en&rclk=1,Real estate agents in Memphis Tennessee,4.5,41,+1 901-756-8900,"6525 N Quail Hollow Rd, Memphis, TN 38120, United States",crye-leike.com
"Joe Spake, InCity Realty","https://www.google.com/maps/place/Joe+Spake,+InCity+Realty/data=!4m7!3m6!1s0x887f874936d2db1b:0xd52f4e5344922683!8m2!3d35.1183115!4d-89.9913673!16s%2Fg%2F1yfh_jxc3!19sChIJG9vSNkmHf4gRgyaSRFNOL9U?authuser=0&hl=en&rclk=1",Real estate agents in Memphis Tennessee,4.9,37,+1 901-214-5563,"999 Cooper St Suite 102, Memphis, TN 38104, United States",spake.com
"Donnie Morrow, Morrow Group, eXp Realty","https://www.google.com/maps/place/Donnie+Morrow,+Morrow+Group,+eXp+Realty/data=!4m7!3m6!1s0x887f754372d30fcb:0x2f2dd729afa1f83d!8m2!3d35.207265!4d-89.7935879!16s%2Fg%2F11lrzjrgyd!19sChIJyw_TckN1f4gRPfihrynXLS8?authuser=0&hl=en&rclk=1",Real estate agents in Memphis Tennessee,5.0,234,+1 901-359-9698,"8059 Stage Hills Blvd Ste 102, Bartlett, TN 38133, United States",donniemorrow.com
