Name,URL,Query,Rating,Reviews,Phone,Address,Website
Canaan Realty,https://www.google.com/maps/place/Canaan+Realty/data=!4m7!3m6!1s0x89c6c62a27ec0001:0x19bdebddde78635a!8m2!3d39.9533758!4d-75.1566659!16s%2Fg%2F11h5q82yr6!19sChIJAQDsJyrGxokRWmN43t3rvRk?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,3.0,2,+1 215-333-1826,"1004 Arch St, Philadelphia, PA 19107, United States",canaanrealtygroup.com
The Damon Michels Team Office at Keller Williams,https://www.google.com/maps/place/The+Damon+Michels+Team+Office+at+Keller+Williams/data=!4m7!3m6!1s0x89c6c0a7e1897eed:0x35cd7ce2ac43b98d!8m2!3d40.010966!4d-75.259688!16s%2Fg%2F11clsgtnx6!19sChIJ7X6J4afAxokRjblDrOJ8zTU?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.7,27,+1 610-668-3400,"854 Montgomery Ave, Narberth, PA 19072, United States",damonmichels.com
Reid Rosenthal & The Rosenthal Group Philadelphia & Main Line REALTORS,https://www.google.com/maps/place/Reid+Rosenthal+%26+The+Rosenthal+Group+Philadelphia+%26+Main+Line+REALTORS/data=!4m7!3m6!1s0x89c6c639e5b89005:0xbd73453cb81b6e44!8m2!3d39.9513708!4d-75.1723118!16s%2Fg%2F1wj_6_4z!19sChIJBZC45TnGxokRRG4buDxFc70?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.9,147,+1 267-626-7613,"112 S 19th St Suite 200, Philadelphia, PA 19103, United States",reidrosenthalgroup.com
Philly Home Girls - Elfant Wissahickon Realtors,https://www.google.com/maps/place/Philly+Home+Girls+-+Elfant+Wissahickon+Realtors/data=!4m7!3m6!1s0x89c6c885bc7107b3:0x12c124fb948b2fed!8m2!3d39.9789009!4d-75.1303225!16s%2Fg%2F11bw1zs2k5!19sChIJswdxvIXIxokR7S-LlPskwRI?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,257,+1 215-866-0050,"2006 Frankford Ave, Philadelphia, PA 19125, United States",phillyhomegirls.com
Maria Quattrone & Associates | RE/MAX @ HOME,https://www.google.com/maps/place/Maria+Quattrone+%26+Associates+%7C+RE%2FMAX+@+HOME/data=!4m7!3m6!1s0x89c6c631b17d364f:0x9364dabf97e37cc4!8m2!3d39.9449281!4d-75.1768576!16s%2Fg%2F1tdr94bz!19sChIJTzZ9sTHGxokRxHzjl7_aZJM?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.9,619,+1 215-607-3535,"2054 South St, Philadelphia, PA 19146, United States",mqrealestate.com
Rarity Real Estate,https://www.google.com/maps/place/Rarity+Real+Estate/data=!4m7!3m6!1s0x89c6c7e2ea6ed5c1:0x2ce1d4037e53517f!8m2!3d39.966217!4d-75.1317923!16s%2Fg%2F11gk8qz653!19sChIJwdVu6uLHxokRf1FTfgPU4Sw?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,166,+1 215-420-2610,"1100 N Delaware Ave Suite A, Philadelphia, PA 19125, United States",rarityre.com
Elfant Wissahickon Realtors : Chestnut Hill,https://www.google.com/maps/place/Elfant+Wissahickon+Realtors+:+Chestnut+Hill/data=!4m7!3m6!1s0x89c6b9762c117f71:0x8a55e4db359c695!8m2!3d40.0718648!4d-75.2014893!16s%2Fg%2F1vfzg37_!19sChIJcX8RLHa5xokRlcZZs01epQg?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.8,201,+1 215-247-3600,"8039 Germantown Ave, Philadelphia, PA 19118, United States",ewrhomes.com
The Mike McCann Team - KW Empower,https://www.google.com/maps/place/The+Mike+McCann+Team+-+KW+Empower/data=!4m7!3m6!1s0x89c6c8832d629ea5:0xb8ef4c6de142044b!8m2!3d39.9422651!4d-75.1664857!16s%2Fg%2F1tds7nkg!19sChIJpZ5iLYPIxokRSwRC4W1M77g?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.8,486,+1 215-709-6071,"728 S Broad St #3, Philadelphia, PA 19146, United States",mccannteam.com
"George Maynes - Berkshire Hathaway HomeServices Fox & Roach, REALTORS","https://www.google.com/maps/place/George+Maynes+-+Berkshire+Hathaway+HomeServices+Fox+%26+Roach,+REALTORS/data=!4m7!3m6!1s0x89c6c7b622fd5b9b:0x3a7066ed479db4ee!8m2!3d39.9675774!4d-75.1784893!16s%2Fg%2F1thr83mp!19sChIJm1v9IrbHxokR7rSdR-1mcDo?authuser=0&hl=en&rclk=1",Real estate agents in Philadelphia Pennsylvania,5.0,116,+1 215-317-3007,"2451 Fairmount Ave, Philadelphia, PA 19130, United States",g2philly.com
Philadelphia Home Collective | Philadelphia Real Estate Agents,https://www.google.com/maps/place/Philadelphia+Home+Collective+%7C+Philadelphia+Real+Estate+Agents/data=!4m7!3m6!1s0x89c6c75e0bfd4f39:0x837ad2da751d8c8!8m2!3d39.9491039!4d-75.1658813!16s%2Fg%2F11g3_9_n2j!19sChIJOU_9C17HxokRyNhRpy2tNwg?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,61,+1 215-620-8726,"1430 Walnut St 3th Floor, Philadelphia, PA 19102, United States",phillyhomecollective.com
Perfect Place Real Estate,https://www.google.com/maps/place/Perfect+Place+Real+Estate/data=!4m7!3m6!1s0x89c6c6c19a8108cf:0xef1d133d242046b1!8m2!3d39.9516399!4d-75.2269024!16s%2Fg%2F11clyfq47w!19sChIJzwiBmsHGxokRsUYgJD0THe8?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.9,79,+1 215-921-9053,"514 S 52nd St, Philadelphia, PA 19143, United States",perfectplacere.com
Philadelphia and New Jersey Real Estate - The Stawasz Group,https://www.google.com/maps/place/Philadelphia+and+New+Jersey+Real+Estate+-+The+Stawasz+Group/data=!4m7!3m6!1s0x89c6c6234f9ecf29:0x6943db5a7c7317ca!8m2!3d39.9422651!4d-75.1664857!16s%2Fg%2F11f_4s3t5f!19sChIJKc-eTyPGxokRyhdzfFrbQ2k?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,44,+1 215-701-4634,"728 S Broad St, Philadelphia, PA 19146, United States",thestawaszgroup.com
Brett Rosenthal - Greater Philadelphia Realtor | Compass,https://www.google.com/maps/place/Brett+Rosenthal+-+Greater+Philadelphia+Realtor+%7C+Compass/data=!4m7!3m6!1s0x89c6bdd4a2609b37:0xa918a6d48f346f22!8m2!3d39.9491039!4d-75.1658813!16s%2Fg%2F11g_x9t0k9!19sChIJN5tgotS9xokRIm80j9SmGKk?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.8,64,+1 267-342-8001,"1430 Walnut St 3rd Floor, Philadelphia, PA 19102, United States",revolve-philly.com
Robin Gordon Real Estate Group | Main Line & Philadelphia,https://www.google.com/maps/place/Robin+Gordon+Real+Estate+Group+%7C+Main+Line+%26+Philadelphia/data=!4m7!3m6!1s0x89c6c07ecdbf9f53:0xc0c8fb6354cbfcb6!8m2!3d40.0111491!4d-75.2979365!16s%2Fg%2F11clssmt9f!19sChIJU5-_zX7AxokRtvzLVGP7yMA?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,4.8,134,+1 610-246-2280,"338 W Lancaster Ave, Haverford, PA 19041, United States",robingordon.com
Venture Philly Group,https://www.google.com/maps/place/Venture+Philly+Group/data=!4m7!3m6!1s0x89c6c63077513e87:0xf980c0f29f6f94f4!8m2!3d39.9459247!4d-75.1523034!16s%2Fg%2F11f373gr_z!19sChIJhz5RdzDGxokR9JRvn_LAgPk?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,162,+1 215-592-9522,"604 S Washington Square Lbby 7, Philadelphia, PA 19106, United States",venturephilly.com
The Liz Clark Team | Philadelphia Realtors at Compass RE,https://www.google.com/maps/place/The+Liz+Clark+Team+%7C+Philadelphia+Realtors+at+Compass+RE/data=!4m7!3m6!1s0x89c6c638022db659:0xcbf9340c6a682012!8m2!3d40.0733117!4d-75.2030984!16s%2Fg%2F1vxzbl6l!19sChIJWbYtAjjGxokREiBoagw0-cs?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,49,+1 610-822-3356,"8204 Germantown Ave, Philadelphia, PA 19118, United States",lizclarkrealestate.com
South Philly Real Estate Team at Keller Williams Realty,https://www.google.com/maps/place/South+Philly+Real+Estate+Team+at+Keller+Williams+Realty/data=!4m7!3m6!1s0x89c6c71ec9a624f1:0x23b6fa8b39379075!8m2!3d39.9494304!4d-75.3114935!16s%2Fg%2F11k67st7tj!19sChIJ8SSmyR7HxokRdZA3OYv6tiM?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,14,+1 215-360-3434,-,southphillyrealestateteam.com
"Michael P. Cohen, Keller Williams Empower","https://www.google.com/maps/place/Michael+P.+Cohen,+Keller+Williams+Empower/data=!4m7!3m6!1s0x89c6c86f0b2c2273:0x27116fb3a9d6395!8m2!3d39.9421928!4d-75.1663025!16s%2Fg%2F11cmsbhz4l!19sChIJcyIsC2_IxokRlWOdOvsWcQI?authuser=0&hl=en&rclk=1",Real estate agents in Philadelphia Pennsylvania,4.8,65,+1 610-331-7213,"728 S Broad St, Philadelphia, PA 19146, United States",phillyreo.com
The Philly Homes,https://www.google.com/maps/place/The+Philly+Homes/data=!4m7!3m6!1s0x89c6c631aa0ae09d:0xf4757ac199bf895f!8m2!3d39.952767!4d-75.1693268!16s%2Fg%2F11fy9rt0dj!19sChIJneAKqjHGxokRX4m_mcF6dfQ?authuser=0&hl=en&rclk=1,Real estate agents in Philadelphia Pennsylvania,5.0,58,+1 215-948-2810,"1700 Market St Suite 1005, Philadelphia, PA 19103, United States",thephillyhomes.com
