Name,URL,Query,Rating,Reviews,Phone,Address,Website
Levi Rodgers Real Estate Group,https://www.google.com/maps/place/Levi+Rodgers+Real+Estate+Group/data=!4m7!3m6!1s0x865c615e1204e1a3:0xc02fa4a7d99bdbf5!8m2!3d29.6003799!4d-98.5416412!16s%2Fg%2F11cm3mj8wm!19sChIJo-EEEl5hXIYR9dub2aekL8A?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,4.9,783,+1 210-960-8520,"3128 Napier Pk, San Antonio, TX 78231, United States",lrgrealty.com
The Hesles Agency Best San Antonio Realtors,https://www.google.com/maps/place/The+Hesles+Agency+Best+San+Antonio+Realtors/data=!4m7!3m6!1s0x865c617f1024f5bb:0xb71ca54aeca9f8b8!8m2!3d29.6352628!4d-98.4545661!16s%2Fg%2F11rw68761!19sChIJu_UkEH9hXIYRuPip7EqlHLc?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,4.9,69,+1 210-908-6567,"20770 US-281, San Antonio, TX 78258, United States",heslesagency.com
Alexis Weigand Real Estate Group,https://www.google.com/maps/place/Alexis+Weigand+Real+Estate+Group/data=!4m7!3m6!1s0x865c650036eaaf09:0x9223734f21e7214!8m2!3d29.5897695!4d-98.5885901!16s%2Fg%2F1tmz7byn!19sChIJCa_qNgBlXIYRFHIe8jQ3Igk?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,5.0,623,+1 210-987-8801,"15510 Vance Jackson Rd Ste. 101, San Antonio, TX 78249, United States",weigandrealestate.com
"Cesar Amezcua, CA & Company, REALTORS","https://www.google.com/maps/place/Cesar+Amezcua,+CA+%26+Company,+REALTORS/data=!4m7!3m6!1s0x865c642f7c5ea107:0x332c371d9f01fb8c!8m2!3d29.6488587!4d-98.6244654!16s%2Fg%2F11b636r_5m!19sChIJB6FefC9kXIYRjPsBnx03LDM?authuser=0&hl=en&rclk=1",Real estate agents in San Antonio Texas,5.0,175,+1 210-442-7479,"22211 I-10 #1206, San Antonio, TX 78256, United States",fivestarcesar.com
Team Kristen Schramme,https://www.google.com/maps/place/Team+Kristen+Schramme/data=!4m7!3m6!1s0x865c89f906b49667:0xc032ed333cc50b6e!8m2!3d29.6137431!4d-98.4766155!16s%2Fg%2F11bymx_dlp!19sChIJZ5a0BvmJXIYRbgvFPDPtMsA?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,5.0,551,+1 210-482-9094,"1102 E Sonterra Blvd suite 106, San Antonio, TX 78258, United States",sahomeguide.net
"Exquisite Properties, LLC","https://www.google.com/maps/place/Exquisite+Properties,+LLC/data=!4m7!3m6!1s0x865c6102d01d3bd9:0xe84a6add4152f7d9!8m2!3d29.6092324!4d-98.4740422!16s%2Fg%2F1hhgrn06f!19sChIJ2Tsd0AJhXIYR2fdSQd1qSug?authuser=0&hl=en&rclk=1",Real estate agents in San Antonio Texas,5.0,537,+1 210-494-1695,"1354 N Loop 1604 E Ste 110, San Antonio, TX 78232, United States",exquisitesa.co
Garza Home Team San Antonio Real Estate,https://www.google.com/maps/place/Garza+Home+Team+San+Antonio+Real+Estate/data=!4m7!3m6!1s0x865c663ca42e68a7:0xd8b3ce6f81ab1ed!8m2!3d29.5706937!4d-98.6483062!16s%2Fg%2F1q6qj3dgw!19sChIJp2gupDxmXIYR7bEa-OY8iw0?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,5.0,76,+1 210-663-4092,"8131 W Hausman Rd Suite 101, San Antonio, TX 78249, United States",forsalesanantoniohomes.com
Rangel Real Estate Group,https://www.google.com/maps/place/Rangel+Real+Estate+Group/data=!4m7!3m6!1s0x865c671d196c574b:0xe811825545f3ee0f!8m2!3d29.5240264!4d-98.5665649!16s%2Fg%2F11ghrbwgs2!19sChIJS1dsGR1nXIYRD-7zRVWCEeg?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,5.0,105,+1 210-625-7541,"4204 Gardendale Rd Suite 308, San Antonio, TX 78229, United States",rangelrealestategroup.com
JBGoodwin REALTORS®,https://www.google.com/maps/place/JBGoodwin+REALTORS%C2%AE/data=!4m7!3m6!1s0x865c89fff2672113:0xef71f67eeb48fed6!8m2!3d29.6160061!4d-98.4854899!16s%2Fg%2F1tfp_7x5!19sChIJEyFn8v-JXIYR1v5I6372ce8?authuser=0&hl=en&rclk=1,Real estate agents in San Antonio Texas,4.9,1463,+1 210-581-9050,"607 E Sonterra Blvd Suite 108, San Antonio, TX 78258, United States",jbgoodwin.com
"Tami Price, Realtor","https://www.google.com/maps/place/Tami+Price,+Realtor/data=!4m7!3m6!1s0x865c617f1024f5bb:0xf5d8430c262fb39b!8m2!3d29.5239775!4d-98.5665847!16s%2Fg%2F126375t8p!19sChIJu_UkEH9hXIYRm7MvJgxD2PU?authuser=0&hl=en&rclk=1",Real estate agents in San Antonio Texas,4.9,170,+1 210-620-6681,"4204 Gardendale Rd # 312, San Antonio, TX 78229, United States",tamiprice.com
