Name,URL,Query,Rating,Reviews,Phone,Address,Website
Zaid Hanna Group @ Real Estate 38,https://www.google.com/maps/place/Zaid+Hanna+Group+@+Real+Estate+38/data=!4m7!3m6!1s0x808e33de98179c43:0x23af0b8968e58e6e!8m2!3d37.3063779!4d-121.8998837!16s%2Fg%2F11c483nqhb!19sChIJQ5wXmN4zjoARbo7laIkLryM?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,91,+1 408-515-1613,"1213 Lincoln Ave Ste. 104, San Jose, CA 95125, United States",re38.com
Haylen Real Estate,https://www.google.com/maps/place/Haylen+Real+Estate/data=!4m7!3m6!1s0x808e35e51123174d:0x3cc8f31c19f5cb25!8m2!3d37.2613943!4d-121.9237111!16s%2Fg%2F11fj1pw9dh!19sChIJTRcjEeU1joARJcv1GRzzyDw?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,42,+1 408-606-9960,"1900 Camden Ave, San Jose, CA 95124, United States",haylengroup.com
PRG Real Estate | EXP,https://www.google.com/maps/place/PRG+Real+Estate+%7C+EXP/data=!4m7!3m6!1s0x808fcc0c17c2b7ed:0x435a3adef5197aab!8m2!3d37.2590938!4d-121.8777817!16s%2Fg%2F11cjj49k77!19sChIJ7bfCFwzMj4ARq3oZ9d46WkM?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,200,+1 408-799-6047,"4982 Cherry Ave, San Jose, CA 95118, United States",realestateprg.com
L.Silva,https://www.google.com/maps/place/L.Silva/data=!4m7!3m6!1s0x808e33dedd134923:0x83762d5ec823e6cd!8m2!3d37.3294858!4d-121.9057686!16s%2Fg%2F11byxf76tr!19sChIJI0kT3d4zjoARzeYjyF4tdoM?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.9,35,+1 408-839-9009,"71 Wilson Ave, San Jose, CA 95126, United States",lupesilvahomes.com
"Jose Reyes, REALTOR® GRI, SFR","https://www.google.com/maps/place/Jose+Reyes,+REALTOR%C2%AE+GRI,+SFR/data=!4m7!3m6!1s0x808fcb45e85a7a13:0xcd1cbb580436adba!8m2!3d37.3162714!4d-121.9429781!16s%2Fg%2F11fkvyy8_n!19sChIJE3pa6EXLj4ARuq02BFi7HM0?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,43,+1 408-515-1872,"2787 Moorpark Ave, San Jose, CA 95128, United States",josereyesrealty.com
"Negar Fatemi, REALTOR","https://www.google.com/maps/place/Negar+Fatemi,+REALTOR/data=!4m7!3m6!1s0x808e332948389dd1:0xed5dba41ec49b170!8m2!3d37.3032353!4d-121.8986551!16s%2Fg%2F11fwby_7xk!19sChIJ0Z04SCkzjoARcLFJ7EG6Xe0?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,43,+1 408-478-5050,"1133 Minnesota Ave, San Jose, CA 95125, United States",negarfatemi.com
Randall Ramirez Real Estate Professional,https://www.google.com/maps/place/Randall+Ramirez+Real+Estate+Professional/data=!4m7!3m6!1s0x808fcd12d8a288d9:0x171d64531bf0d701!8m2!3d37.3631414!4d-121.8344878!16s%2Fg%2F11gd1_8c_j!19sChIJ2Yii2BLNj4ARAdfwG1NkHRc?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,46,+1 408-886-8989,"2771 Alum Rock Ave, San Jose, CA 95127, United States",randallsoldit.com
"Anh Dao Tran, REALTOR","https://www.google.com/maps/place/Anh+Dao+Tran,+REALTOR/data=!4m7!3m6!1s0x808e33c2cf16d555:0xd7b96be28fb3c8d6!8m2!3d37.3032353!4d-121.8986551!16s%2Fg%2F11j72jyjkt!19sChIJVdUWz8IzjoAR1sizj-Jrudc?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,27,+1 408-460-9218,"1133 Minnesota Ave, San Jose, CA 95125, United States",compass.com
Trung Lam & Evan Huynh,https://www.google.com/maps/place/Trung+Lam+%26+Evan+Huynh/data=!4m7!3m6!1s0x808e2d42bc38caf5:0x4f63c47badea9b75!8m2!3d37.3312933!4d-121.8583063!16s%2Fg%2F11h0rk6f9!19sChIJ9co4vEItjoARdZvqrXvEY08?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,52,+1 408-900-0009,"919 Story Rd #1132, San Jose, CA 95122, United States",evantrung.com
Silicon Valley Real Estate Team,https://www.google.com/maps/place/Silicon+Valley+Real+Estate+Team/data=!4m7!3m6!1s0x808e33de980e4851:0x17a1dc423b5d371b!8m2!3d37.295566!4d-121.9141096!16s%2Fg%2F119wlb2s1!19sChIJUUgOmN4zjoARGzddO0LcoRc?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,30,+1 408-741-9300,"1567 Meridian Ave, San Jose, CA 95125, United States",siliconvalleyrealestateteam.com
"Arpad Racz, Best Realtor - Silicon Valley, San Jose, Santa Clara, Sunnyvale, Mountain View, Cupertino, Saratoga, Los Gatos","https://www.google.com/maps/place/Arpad+Racz,+Best+Realtor+-+Silicon+Valley,+San+Jose,+Santa+Clara,+Sunnyvale,+Mountain+View,+Cupertino,+Saratoga,+Los+Gatos/data=!4m7!3m6!1s0x808e34cc67c6e2c1:0xe83957403d01cc7a!8m2!3d37.3045321!4d-121.9312216!16s%2Fg%2F1tqyfr0x!19sChIJweLGZ8w0joAReswBPUBXOeg?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,32,+1 408-252-0976,"1190 S Bascom Ave #118, San Jose, CA 95128, United States",homes.com
SALA Homes Realty & Development,https://www.google.com/maps/place/SALA+Homes+Realty+%26+Development/data=!4m7!3m6!1s0x808fcba1f5181fd1:0x2972c6276fc6fe78!8m2!3d37.3251525!4d-121.9282448!16s%2Fg%2F11jky1c9vr!19sChIJ0R8Y9aHLj4AReP7GbyfGcik?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.8,73,+1 650-218-2178,"97 Boston Ave, San Jose, CA 95128, United States",sala-homes.com
"Ned Laugharn, REALTOR, Silicon Valley Premier Properties","https://www.google.com/maps/place/Ned+Laugharn,+REALTOR,+Silicon+Valley+Premier+Properties/data=!4m7!3m6!1s0x808e34983aafffff:0x1fd6daa4de55f5d3!8m2!3d37.2648142!4d-121.8766846!16s%2Fg%2F11d_793f3c!19sChIJ__-vOpg0joAR0_VV3qTa1h8?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,51,+1 408-504-5898,-,svpremierproperties.com
"Kevin Jacob - Realtor®, Builder in the Bay Area, San Jose","https://www.google.com/maps/place/Kevin+Jacob+-+Realtor%C2%AE,+Builder+in+the+Bay+Area,+San+Jose/data=!4m7!3m6!1s0x808e336b36d50945:0xd135c204ac827116!8m2!3d37.295566!4d-121.9141096!16s%2Fg%2F11s4_fdhrs!19sChIJRQnVNmszjoARFnGCrATCNdE?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,5.0,24,+1 408-315-7234,"1567 Meridian Ave, San Jose, CA 95125, United States",kevinjacobre.com
Upswing Real Estate,https://www.google.com/maps/place/Upswing+Real+Estate/data=!4m7!3m6!1s0x42f0bd2f20160cc3:0xc05de2d9dc55a671!8m2!3d37.3399223!4d-121.89438!16s%2Fg%2F11pdymc8y6!19sChIJwwwWIC-98EIRcaZV3NniXcA?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.9,43,+1 408-297-5638,"46 W Julian St UNIT 229, San Jose, CA 95110, United States",upswingrealestate.com
Kollab Real Estate,https://www.google.com/maps/place/Kollab+Real+Estate/data=!4m7!3m6!1s0xfde6f6caeb3896b:0x1c01d6f1f69ce4d!8m2!3d37.382108!4d-121.894166!16s%2Fg%2F11s5c6r2dm!19sChIJa4mzrmxv3g8RTc5pH28dwAE?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,52,+1 650-250-0701,"1630 Oakland Rd Suite a102, San Jose, CA 95131, United States",kollabre.com
"Joe Rodriguez, REALTOR","https://www.google.com/maps/place/Joe+Rodriguez,+REALTOR/data=!4m7!3m6!1s0x808e33dec83be0db:0xa34de5d64939213e!8m2!3d37.3032353!4d-121.8986551!16s%2Fg%2F113jdygdz!19sChIJ2-A7yN4zjoARPiE5SdblTaM?authuser=0&hl=en&rclk=1",Real estate agents in San Jose California,4.8,17,+1 408-799-3118,"1133 Minnesota Ave, San Jose, CA 95125, United States",sanjosehomes4sale.com
Tom Nixon | Real Estate Agent | Greater San Jose Area,https://www.google.com/maps/place/Tom+Nixon+%7C+Real+Estate+Agent+%7C+Greater+San+Jose+Area/data=!4m7!3m6!1s0x641d6b58ab8c0583:0xe6401123e6c8a802!8m2!3d37.2922378!4d-121.9124204!16s%2Fg%2F11q8tm1pgg!19sChIJgwWMq1hrHWQRAqjI5iMRQOY?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.8,17,+1 408-981-4685,"1712 Meridian Ave, San Jose, CA 95125, United States",-
Real Estate Experts,https://www.google.com/maps/place/Real+Estate+Experts/data=!4m7!3m6!1s0x808e35f1e2c7f7bf:0xf068a3d9f16e87!8m2!3d37.2929717!4d-121.9348901!16s%2Fg%2F12lvwxtfv!19sChIJv_fH4vE1joARh27x2aNo8AA?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.9,128,+1 408-807-4541,"910 E Hamilton Ave Suite 130, Campbell, CA 95008, United States",therealexperts.com
Clarity Capital Group Real Estate,https://www.google.com/maps/place/Clarity+Capital+Group+Real+Estate/data=!4m7!3m6!1s0x808e34680627e14d:0xac4b7203b415543e!8m2!3d37.2615023!4d-121.9238488!16s%2Fg%2F1v6p92f6!19sChIJTeEnBmg0joARPlQVtANyS6w?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,28,+1 408-891-0496,"1900 Camden Ave, San Jose, CA 95124, United States",claritycapitalgroup.com
Sell my house fast San Jose | Peachtree Homes,https://www.google.com/maps/place/Sell+my+house+fast+San+Jose+%7C+Peachtree+Homes/data=!4m7!3m6!1s0x808fcb52b61ea2af:0x73e45e89dfb46a93!8m2!3d37.3055305!4d-121.8773853!16s%2Fg%2F11swzpw9gc!19sChIJr6IetlLLj4ARk2q034le5HM?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.9,45,+1 408-549-7183,"424 Lano St, San Jose, CA 95125, United States",peachtreehomes.org
Homes By Cinny - Residential and Commercial Realtor in San Jose CA. - Real Estate Agency,https://www.google.com/maps/place/Homes+By+Cinny+-+Residential+and+Commercial+Realtor+in+San+Jose+CA.+-+Real+Estate+Agency/data=!4m7!3m6!1s0x808fcb73226b05e5:0x5e5d57db280520c4!8m2!3d37.3964273!4d-121.89017!16s%2Fg%2F1q6jyqzkg!19sChIJ5QVrInPLj4ARxCAFKNtXXV4?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,32,+1 408-666-9956,"2050 Concourse Dr #98, San Jose, CA 95131, United States",siliconvalleybuysellhomes.com
Aaron and Iris Scheuerman Coldwell Banker Realty San Jose,https://www.google.com/maps/place/Aaron+and+Iris+Scheuerman+Coldwell+Banker+Realty+San+Jose/data=!4m7!3m6!1s0x808e33dedd055555:0x9ff4f077e645a1fb!8m2!3d37.2922378!4d-121.9124204!16s%2Fg%2F11f63y1cz9!19sChIJVVUF3d4zjoAR-6FF5nfw9J8?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,26,+1 408-694-7798,"1712 Meridian Ave, San Jose, CA 95125, United States",siliconvalleyhomesavailable.com
Sheila Santwani,https://www.google.com/maps/place/Sheila+Santwani/data=!4m7!3m6!1s0x808e33d2eaff2db7:0x50adf077bbfe8d15!8m2!3d37.3083361!4d-121.9005798!16s%2Fg%2F11h6j6t340!19sChIJty3_6tIzjoARFY3-u3fwrVA?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,15,+1 510-305-4712,"1100 Lincoln Ave #170, San Jose, CA 95125, United States",sheilasantwani.com
AVIOR Real Estate,https://www.google.com/maps/place/AVIOR+Real+Estate/data=!4m7!3m6!1s0x808e33ea77441b11:0x63509298483880fb!8m2!3d37.2628905!4d-121.8793419!16s%2Fg%2F1tdpgf89!19sChIJERtEd-ozjoAR-4A4SJiSUGM?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,15,+1 408-448-5600,"1185 Branham Ln, San Jose, CA 95118, United States",aviorre.com
Hanhan Commercial Group,https://www.google.com/maps/place/Hanhan+Commercial+Group/data=!4m7!3m6!1s0x808e3400e302d9c7:0x85569204bd9c247c!8m2!3d37.3032353!4d-121.8986551!16s%2Fg%2F1tdcglm8!19sChIJx9kC4wA0joARfCScvQSSVoU?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,4.9,22,+1 408-909-0998,"1133 Minnesota Ave, San Jose, CA 95125, United States",hanhancre.com
Nicole Gurries - Compass REALTOR,https://www.google.com/maps/place/Nicole+Gurries+-+Compass+REALTOR/data=!4m7!3m6!1s0x808fcd7d584dcfd1:0x5e6384c06313e224!8m2!3d37.3874571!4d-121.8579289!16s%2Fg%2F11jr_s2fdt!19sChIJ0c9NWH3Nj4ARJOITY8CEY14?authuser=0&hl=en&rclk=1,Real estate agents in San Jose California,5.0,14,+1 650-575-9378,"2530 Berryessa Rd Suite 551, San Jose, CA 95132, United States",nicolegurries.com
