Name,URL,Query,Rating,Reviews,Phone,Address,Website
Medieval Times Dinner & Tournament,https://www.google.com/maps/place/Medieval+Times+Dinner+%26+Tournament/data=!4m7!3m6!1s0x864e994d9a1afe3b:0xcc1bd65d49e5ad54!8m2!3d32.7999513!4d-96.8234198!16s%2Fg%2F1yfjc6htz!19sChIJO_4amk2ZToYRVK3lSV3WG8w?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,13629,+1 888-935-6878,"2021 N Stemmons Fwy, Dallas, TX 75207, United States",medievaltimes.com
Tango Room,https://www.google.com/maps/place/Tango+Room/data=!4m7!3m6!1s0x864e999951f15e3b:0xf1ff0d595b5716a7!8m2!3d32.795759!4d-96.8197869!16s%2Fg%2F11p0vvhgs6!19sChIJO17xUZmZToYRpxZXW1kN__E?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,116,+1 214-252-8595,"1617 Hi Line Dr Suite 250, Dallas, TX 75207, United States",tangoroomdallas.com
La Stella Cucina Verace,https://www.google.com/maps/place/La+Stella+Cucina+Verace/data=!4m7!3m6!1s0x864e995fd9169151:0xe86c87cd5f1ef750!8m2!3d32.789528!4d-96.7977356!16s%2Fg%2F11rxq27xb1!19sChIJUZEW2V-ZToYRUPceX82HbOg?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.9,1564,+1 469-663-7800,"2330 Flora St #150, Dallas, TX 75201, United States",lastellatx.com
Rodeo Goat,https://www.google.com/maps/place/Rodeo+Goat/data=!4m7!3m6!1s0x864e994e038ea6dd:0x3ea5b4778860d1f0!8m2!3d32.7972052!4d-96.8239149!16s%2Fg%2F11b6gnxjl7!19sChIJ3aaOA06ZToYR8NFgiHe0pT4?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,7522,+1 214-741-4628,"1926 Market Center Blvd, Dallas, TX 75207, United States",rodeogoat.com
Monarch Restaurant,https://www.google.com/maps/place/Monarch+Restaurant/data=!4m7!3m6!1s0x864e99588e29a6b1:0x6eda5493b4edf10f!8m2!3d32.7814389!4d-96.8006905!16s%2Fg%2F11qs4zxft2!19sChIJsaYpjliZToYRD_HttJNU2m4?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.3,1212,+1 214-945-2222,"1401 Elm St 49th Floor, Dallas, TX 75202, United States",monarchrestaurants.com
The Woolworth,https://www.google.com/maps/place/The+Woolworth/data=!4m7!3m6!1s0x864e9918a3354d6d:0xbc9a26a7ccc426ed!8m2!3d32.7813256!4d-96.7987239!16s%2Fg%2F1ptz6cc51!19sChIJbU01oxiZToYR7SbEzKcmmrw?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,2630,+1 214-814-0588,"1520 Elm St #201, Dallas, TX 75201, United States",thewoolworthdallas.com
Fearing's Restaurant,https://www.google.com/maps/place/Fearing%27s+Restaurant/data=!4m7!3m6!1s0x864e993ab2550cdb:0xbeb790db0f09e216!8m2!3d32.792157!4d-96.803528!16s%2Fm%2F0zflkh7!19sChIJ2wxVsjqZToYRFuIJD9uQt74?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,1028,+1 214-922-4848,"2121 McKinney Ave, Dallas, TX 75201, United States",fearingsrestaurant.com
Meddlesome Moth,https://www.google.com/maps/place/Meddlesome+Moth/data=!4m7!3m6!1s0x864e994ebccd4e19:0x5d882c441f5ad959!8m2!3d32.7968805!4d-96.8202465!16s%2Fg%2F1tf2y66f!19sChIJGU7NvE6ZToYRWdlaH0QsiF0?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,2952,+1 214-628-7900,"1621 Oak Lawn Ave, Dallas, TX 75207, United States",mothinthe.net
The Henry,https://www.google.com/maps/place/The+Henry/data=!4m7!3m6!1s0x864e99ba6ca54177:0xd5df6869d58f99e6!8m2!3d32.7892021!4d-96.8055857!16s%2Fg%2F11gycq90zq!19sChIJd0GlbLqZToYR5pmP1Wlo39U?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.4,2454,+1 972-677-9560,"2301 N Akard St Suite 250, Dallas, TX 75201, United States",thehenryrestaurant.com
The Mansion Restaurant,https://www.google.com/maps/place/The+Mansion+Restaurant/data=!4m7!3m6!1s0x864e9eccb42d8a13:0x7565971451ff3708!8m2!3d32.8040911!4d-96.8069952!16s%2Fm%2F0yjdzs8!19sChIJE4ottMyeToYRCDf_URSXZXU?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,900,+1 214-443-4747,"2821 Turtle Creek Blvd, Dallas, TX 75219, United States",rosewoodhotels.com
Chet's Dallas,https://www.google.com/maps/place/Chet%27s+Dallas/data=!4m7!3m6!1s0x864e9909328b02b1:0x24021562f6088961!8m2!3d32.7804796!4d-96.806174!16s%2Fg%2F11jgv984gj!19sChIJsQKLMgmZToYRYYkI9mIVAiQ?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.8,2085,+1 214-613-6500,"208 N Market St, Dallas, TX 75202, United States",chetsdallas.com
Ocean Prime,https://www.google.com/maps/place/Ocean+Prime/data=!4m7!3m6!1s0x864e99307eadc4b3:0x7c1d766a2cf4d539!8m2!3d32.7941298!4d-96.8064069!16s%2Fg%2F1thkxp66!19sChIJs8StfjCZToYROdX0LGp2HXw?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,1887,+1 214-965-0440,"2101 Cedar Springs Rd #150, Dallas, TX 75201, United States",ocean-prime.com
Petra and the Beast,https://www.google.com/maps/place/Petra+and+the+Beast/data=!4m7!3m6!1s0x864e9f3cb30dd37b:0xdda497cc4afe14a!8m2!3d32.8129772!4d-96.7519103!16s%2Fg%2F11v0_6z5nk!19sChIJe9MNszyfToYRSuGvxHxJ2g0?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,421,+1 214-484-2326,"1901 Abrams Rd, Dallas, TX 75214, United States",petraandthebeast.com
Billy Can Can,https://www.google.com/maps/place/Billy+Can+Can/data=!4m7!3m6!1s0x864e99b6ac16d549:0x81c459486970fd0e!8m2!3d32.787112!4d-96.8091455!16s%2Fg%2F11f6dvhc4z!19sChIJSdUWrLaZToYRDv1waUhZxIE?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,625,+1 214-296-2610,"2386 Victory Park Ln, Dallas, TX 75219, United States",billycancan.com
Gemma,https://www.google.com/maps/place/Gemma/data=!4m7!3m6!1s0x864e98b1d8657447:0xe8d3bbbf7c574b59!8m2!3d32.8138885!4d-96.7778838!16s%2Fg%2F11b6zr4hh3!19sChIJR3Rl2LGYToYRWUtXfL-70-g?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,699,+1 214-370-9426,"2323 N Henderson Ave #109, Dallas, TX 75206, United States",gemmadallas.com
Town Hearth,https://www.google.com/maps/place/Town+Hearth/data=!4m7!3m6!1s0x864e994f84a3f4a1:0xbb229b95f84c4281!8m2!3d32.7923379!4d-96.8221426!16s%2Fg%2F11c2nbrbb3!19sChIJofSjhE-ZToYRgUJM-JWbIrs?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,1544,+1 214-761-1617,"1617 Market Center Blvd, Dallas, TX 75207, United States",townhearth.com
Namak Indian Cuisine,https://www.google.com/maps/place/Namak+Indian+Cuisine/data=!4m7!3m6!1s0x864e995251701165:0xb0c615fd10659273!8m2!3d32.7821611!4d-96.7969993!16s%2Fg%2F11t_k9cmkn!19sChIJZRFwUVKZToYRc5JlEP0VxrA?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.8,7365,+1 972-982-2006,"1700 Pacific Avenue S, N Ervay St c101, Dallas, TX 75201, United States",namakdallas.com
Meso Maya Comida y Copas,https://www.google.com/maps/place/Meso+Maya+Comida+y+Copas/data=!4m7!3m6!1s0x864e993b7aa23333:0x37d40c1cc25c635a!8m2!3d32.787751!4d-96.8047241!16s%2Fg%2F1hjgnmq_p!19sChIJMzOiejuZToYRWmNcwhwM1Dc?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,4817,+1 214-484-6555,"1611 McKinney Ave, Dallas, TX 75202, United States",mesomaya.com
Kalachandji's,https://www.google.com/maps/place/Kalachandji%27s/data=!4m7!3m6!1s0x864e98a78e7dac85:0x5ac13c35ba95c939!8m2!3d32.79405!4d-96.7499028!16s%2Fg%2F1hc2fx569!19sChIJhax9jqeYToYROcmVujU8wVo?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,2468,+1 214-821-1048,"5430 Gurley Ave, Dallas, TX 75223, United States",kalachandjis.com
Rj Mexican Cuisine,https://www.google.com/maps/place/Rj+Mexican+Cuisine/data=!4m7!3m6!1s0x864e993df5e8dc2d:0xf3ed71adb56763b7!8m2!3d32.7816329!4d-96.8072558!16s%2Fg%2F1tmy5gcd!19sChIJLdzo9T2ZToYRt2Nnta1x7fM?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.8,10269,+1 214-744-1420,"1701 N Market St #102, Dallas, TX 75202, United States",rjmexicancuisine.com
Truluck's,https://www.google.com/maps/place/Truluck%27s/data=!4m7!3m6!1s0x864e992fe7989fc5:0x8fb0dbdedb6af8fa!8m2!3d32.7948633!4d-96.8029816!16s%2Fg%2F1tgpym1c!19sChIJxZ-Y5y-ZToYR-vhq297bsI8?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,2167,+1 214-220-2401,"2401 McKinney Ave, Dallas, TX 75201, United States",trulucks.com
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x864e993040a611af:0xd041030b1c194712!8m2!3d32.794066!4d-96.804734!16s%2Fg%2F1vvyyhcn!19sChIJrxGmQDCZToYREkcZHAsDQdA?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,1510,+1 214-303-0500,"500 Crescent Ct, Dallas, TX 75201, United States",thecapitalgrille.com
Stock & Barrel,https://www.google.com/maps/place/Stock+%26+Barrel/data=!4m7!3m6!1s0x864e9985ac755e7b:0x62c08290a90c2a92!8m2!3d32.7492691!4d-96.8273968!16s%2Fg%2F11bbrgth5j!19sChIJe151rIWZToYRkioMqZCCwGI?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,1365,+1 214-888-0150,"316 W Davis St, Dallas, TX 75208, United States",stockandbarreldallas.com
Written by the Seasons,https://www.google.com/maps/place/Written+by+the+Seasons/data=!4m7!3m6!1s0x864e99c276195023:0x4f96e5107580c337!8m2!3d32.7471258!4d-96.8279412!16s%2Fg%2F11rcmtjvrd!19sChIJI1AZdsKZToYRN8OAdRDllk8?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.8,442,+1 469-580-1185,"380 Melba St, Dallas, TX 75208, United States",writtenbytheseasons.com
Y.O. Ranch Steakhouse,https://www.google.com/maps/place/Y.O.+Ranch+Steakhouse/data=!4m7!3m6!1s0x864e9916272214d7:0xf9638aceca11e49e!8m2!3d32.7812903!4d-96.8064213!16s%2Fg%2F1vbnpts2!19sChIJ1xQiJxaZToYRnuQRys6KY_k?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,4843,+1 214-744-3287,"702 Ross Ave, Dallas, TX 75202, United States",yoranchsteakhouse.com
The Exchange Food Hall,https://www.google.com/maps/place/The+Exchange+Food+Hall/data=!4m7!3m6!1s0x864e9918e345b9d1:0x9b60bff708c0bb4f!8m2!3d32.7794769!4d-96.7997372!16s%2Fg%2F11q1j8pn7c!19sChIJ0blF4xiZToYRT7vACPe_YJs?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,799,+1 214-464-8101,"211 S Akard St, Dallas, TX 75202, United States",theexchangehall.com
Al Biernat's Oak Lawn,https://www.google.com/maps/place/Al+Biernat%27s+Oak+Lawn/data=!4m7!3m6!1s0x864e9edb4e13d64d:0x5a2dc1fca54a7dd6!8m2!3d32.8203061!4d-96.8026735!16s%2Fg%2F1tflgn3r!19sChIJTdYTTtueToYR1n1KpfzBLVo?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,2343,+1 214-219-2201,"4217 Oak Lawn Ave, Dallas, TX 75219, United States",albiernats.com
Perry's Steakhouse & Grille,https://www.google.com/maps/place/Perry%27s+Steakhouse+%26+Grille/data=!4m7!3m6!1s0x864e993acbd9cbff:0x47be02358b58eddb!8m2!3d32.7904483!4d-96.8014649!16s%2Fg%2F1tdhfdpz!19sChIJ_8vZyzqZToYR2-1YizUCvkc?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,3563,+1 214-855-5151,"2100 Olive St Suite #100, Dallas, TX 75201, United States",perryssteakhouse.com
Roots Southern Table,https://www.google.com/maps/place/Roots+Southern+Table/data=!4m7!3m6!1s0x864c27b785811669:0x6304e90792e58a5a!8m2!3d32.9233217!4d-96.8954351!16s%2Fg%2F11rc0c61lt!19sChIJaRaBhbcnTIYRWorlkgfpBGM?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,951,+1 214-346-4441,"13050 Bee St Suit 160, Farmers Branch, TX 75234, United States",rootssoutherntable.com
Pecan Lodge,https://www.google.com/maps/place/Pecan+Lodge/data=!4m7!3m6!1s0x864e98dd77317619:0x79d91023057f25ef!8m2!3d32.7836494!4d-96.7838379!16s%2Fg%2F11bbrlcd2m!19sChIJGXYxd92YToYR7yV_BSMQ2Xk?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,7791,+1 214-748-8900,"2702 Main St, Dallas, TX 75226, United States",pecanlodge.com
Brass Ram,https://www.google.com/maps/place/Brass+Ram/data=!4m7!3m6!1s0x864e995b5f53edcd:0xe085f094b7eb9271!8m2!3d32.7813733!4d-96.7915135!16s%2Fg%2F11tj_81bp4!19sChIJze1TX1uZToYRcZLrt5TwheA?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.7,191,+1 469-677-6170,"2130 Commerce St 2nd Floor, Dallas, TX 75201, United States",brassram.com
Sister Restaurant,https://www.google.com/maps/place/Sister+Restaurant/data=!4m7!3m6!1s0x864e9f9d96459549:0x4e0a50db9f878ddb!8m2!3d32.8233578!4d-96.7700051!16s%2Fg%2F11rxl9y_rt!19sChIJSZVFlp2fToYR242Hn9tQCk4?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,373,+1 214-888-8660,"2808 Greenville Ave, Dallas, TX 75206, United States",sempresister.com
Moxies Dallas Uptown Restaurant,https://www.google.com/maps/place/Moxies+Dallas+Uptown+Restaurant/data=!4m7!3m6!1s0x864e99301b7687e5:0x394326a3cbeadf02!8m2!3d32.7940037!4d-96.8029628!16s%2Fg%2F11c0rt3dby!19sChIJ5Yd2GzCZToYRAt_qy6MmQzk?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.3,2386,+1 469-687-0050,"100 Crescent Ct, Dallas, TX 75201, United States",moxies.com
Rye,https://www.google.com/maps/place/Rye/data=!4m7!3m6!1s0x864e9fbb094691c3:0xb76b0388b3fa9fb9!8m2!3d32.8134924!4d-96.7698533!16s%2Fg%2F11rws8hn61!19sChIJw5FGCbufToYRuZ_6s4gDa7c?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,338,+1 972-803-3391,"1920 Greenville Ave, Dallas, TX 75206, United States",rye.restaurant
Dakota's Steakhouse,https://www.google.com/maps/place/Dakota%27s+Steakhouse/data=!4m7!3m6!1s0x864e992303fc3189:0xd1516150ab29078e!8m2!3d32.7850611!4d-96.8006677!16s%2Fg%2F1tf081tc!19sChIJiTH8AyOZToYRjgcpq1BhUdE?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.5,1777,+1 972-573-5003,"600 N Akard St, Dallas, TX 75201, United States",dakotasrestaurant.com
Restaurant Beatrice,https://www.google.com/maps/place/Restaurant+Beatrice/data=!4m7!3m6!1s0x864e99e82b0142a3:0x1fc7488bec800d7b!8m2!3d32.7569652!4d-96.8232253!16s%2Fg%2F11rj62rvg2!19sChIJo0IBK-iZToYRew2A7ItIxx8?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.4,277,+1 469-962-2173,"1111 N Beckley Ave, Dallas, TX 75203, United States",restaurantbeatrice.com
Kitchen + Kocktails by Kevin Kelley - Dallas,https://www.google.com/maps/place/Kitchen+%2B+Kocktails+by+Kevin+Kelley+-+Dallas/data=!4m7!3m6!1s0x864e99f5bcd0ea13:0xda1c04ea26e1417b!8m2!3d32.7825873!4d-96.7946248!16s%2Fg%2F11jcnry__m!19sChIJE-rQvPWZToYRe0HhJuoEHNo?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.6,10765,+1 469-472-5445,"1933 Elm St, Dallas, TX 75201, United States",kitchenkocktailsusa.com
RH Rooftop Restaurant Dallas,https://www.google.com/maps/place/RH+Rooftop+Restaurant+Dallas/data=!4m7!3m6!1s0x864e9f71961e5d71:0xde0bf36c090e8ca8!8m2!3d32.8227922!4d-96.7885325!16s%2Fg%2F11ng5jgwhm!19sChIJcV0elnGfToYRqIwOCWzzC94?authuser=0&hl=en&rclk=1,Restaurants in Dallas Texas,4.1,981,+1 214-520-7255,"3133 Knox St, Dallas, TX 75205, United States",rh.com
