Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Capital Grille,https://www.google.com/maps/place/The+Capital+Grille/data=!4m7!3m6!1s0x864e713ff8e7beaf:0x2b8fdd3930a2c1b7!8m2!3d32.75247!4d-97.32992!16s%2Fg%2F11_r1sgb0!19sChIJr77n-D9xToYRt8GiMDndjys?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.8,1676,+1 817-348-9200,"800 Main St, Fort Worth, TX 76102, United States",thecapitalgrille.com
Reata Restaurant,https://www.google.com/maps/place/Reata+Restaurant/data=!4m7!3m6!1s0x864e7140fe1af0e5:0x40406372895d33fb!8m2!3d32.7534473!4d-97.3329569!16s%2Fg%2F1tfzh532!19sChIJ5fAa_kBxToYR-zNdiXJjQEA?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.5,3134,+1 817-336-1009,"530 Throckmorton St, Fort Worth, TX 76102, United States",reata.net
Lonesome Dove Fort Worth,https://www.google.com/maps/place/Lonesome+Dove+Fort+Worth/data=!4m7!3m6!1s0x864e76a71dbb4b93:0xd7793ec4dfdc2f0c!8m2!3d32.7882289!4d-97.3489231!16s%2Fg%2F1tfqlsww!19sChIJk0u7Had2ToYRDC_c38Q-edc?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.5,1179,+1 817-740-8810,"2406 N Main St, Fort Worth, TX 76164, United States",lonesomedovefortworth.com
Texas de Brazil - Fort Worth,https://www.google.com/maps/place/Texas+de+Brazil+-+Fort+Worth/data=!4m7!3m6!1s0x864e714137de48bd:0x217d9b91ce23a12a!8m2!3d32.7567567!4d-97.3340908!16s%2Fg%2F1tfrsb48!19sChIJvUjeN0FxToYRKqEjzpGbfSE?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.6,4922,+1 817-670-9569,"101 N Houston St, Fort Worth, TX 76102, United States",texasdebrazil.com
Rodeo Goat,https://www.google.com/maps/place/Rodeo+Goat/data=!4m7!3m6!1s0x864e73ddc6b91d73:0xc22b421d6a5abe4d!8m2!3d32.7486131!4d-97.3580864!16s%2Fg%2F11_t8cn_2!19sChIJcx25xt1zToYRTb5aah1CK8I?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.6,5279,+1 817-877-4628,"2836 Bledsoe St, Fort Worth, TX 76107, United States",rodeogoat.com
Charleston's Restaurant,https://www.google.com/maps/place/Charleston%27s+Restaurant/data=!4m7!3m6!1s0x864e725c4bd09b19:0xd122a37e43a8e8ae!8m2!3d32.7071706!4d-97.3882248!16s%2Fg%2F1tg81wdg!19sChIJGZvQS1xyToYRruioQ36jItE?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.6,2153,+1 817-735-8900,"3020 S Hulen St, Fort Worth, TX 76109, United States",charlestons.com
Mash'D,https://www.google.com/maps/place/Mash%27D/data=!4m7!3m6!1s0x864e73dd87087665:0x57c74d952ebc0d42!8m2!3d32.7503514!4d-97.3595195!16s%2Fg%2F11b81rtnfc!19sChIJZXYIh91zToYRQg28LpVNx1c?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.4,2389,+1 817-882-6723,"2948 Crockett St, Fort Worth, TX 76107, United States",mashd.com
GRACE,https://www.google.com/maps/place/GRACE/data=!4m7!3m6!1s0x864e713ff40daa71:0x42858bddc3e94405!8m2!3d32.7529693!4d-97.3298985!16s%2Fg%2F1thw73ys!19sChIJcaoN9D9xToYRBUTpw92LhUI?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.6,817,+1 817-877-3388,"777 Main St, Fort Worth, TX 76102, United States",gracefortworth.com
Woodshed Smokehouse,https://www.google.com/maps/place/Woodshed+Smokehouse/data=!4m7!3m6!1s0x864e72327c52dc63:0xbe6868d49708659c!8m2!3d32.7242447!4d-97.3643344!16s%2Fg%2F1hc5h6h87!19sChIJY9xSfDJyToYRnGUIl9RoaL4?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.1,3481,+1 817-877-4545,"3201 Riverfront Dr, Fort Worth, TX 76107, United States",woodshedsmokehouse.com
Del Frisco's Double Eagle Steakhouse,https://www.google.com/maps/place/Del+Frisco%27s+Double+Eagle+Steakhouse/data=!4m7!3m6!1s0x864e713ffde9bc07:0x3ec392fe31347d93!8m2!3d32.7520394!4d-97.3298447!16s%2Fm%2F0wpvzwh!19sChIJB7zp_T9xToYRk300Mf6Swz4?authuser=0&hl=en&rclk=1,Restaurants in Fort Worth Texas,4.4,2072,+1 817-877-3999,"812 Main St, Fort Worth, TX 76102, United States",delfriscos.com
