Name,URL,Query,Rating,Reviews,Phone,Address,Website
Tacolina,https://www.google.com/maps/place/Tacolina/data=!4m7!3m6!1s0x80c2c7830d499d67:0xc1a07ad84aa76ba4!8m2!3d34.0823975!4d-118.2718678!16s%2Fg%2F11w1wjm6fy!19sChIJZ51JDYPHwoARpGunSth6oME?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,5.0,7,+1 424-567-8226,"2815 Sunset Blvd, Los Angeles, CA 90026, United States",tacolina.la
Water Grill,https://www.google.com/maps/place/Water+Grill/data=!4m7!3m6!1s0x80c2c7b4901ce7c7:0x2ad996c9a82b097c!8m2!3d34.0490403!4d-118.2547066!16s%2Fm%2F01zhmf3!19sChIJx-cckLTHwoARfAkrqMmW2So?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.5,1961,+1 213-891-0900,"544 S Grand Ave, Los Angeles, CA 90071, United States",watergrill.com
Bottega Louie,https://www.google.com/maps/place/Bottega+Louie/data=!4m7!3m6!1s0x80c2c7b44ee125ff:0x189e483154a17e53!8m2!3d34.0470524!4d-118.2565439!16s%2Fm%2F010gq7hd!19sChIJ_yXhTrTHwoARU36hVDFInhg?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.5,6927,+1 213-802-1470,"700 S Grand Ave, Los Angeles, CA 90017, United States",bottegalouie.com
Maccheroni Republic,https://www.google.com/maps/place/Maccheroni+Republic/data=!4m7!3m6!1s0x80c2c64bbde85bbd:0x94aeb79d4a8cb362!8m2!3d34.0500306!4d-118.2485361!16s%2Fg%2F1232frw5j!19sChIJvVvovUvGwoARYrOMSp23rpQ?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.6,2665,+1 213-346-9725,"332 S Broadway, Los Angeles, CA 90013, United States",maccheronirepublic.com
Redbird,https://www.google.com/maps/place/Redbird/data=!4m7!3m6!1s0x80c2c6491a958cbf:0x9353f32dc373fe0b!8m2!3d34.050562!4d-118.2440748!16s%2Fg%2F11b6s14n5y!19sChIJv4yVGknGwoARC_5zwy3zU5M?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.6,1543,+1 213-788-1191,"114 E 2nd St, Los Angeles, CA 90012, United States",redbird.la
Bestia,https://www.google.com/maps/place/Bestia/data=!4m7!3m6!1s0x80c2c621d7d91b49:0x5e3e80cfbddfba70!8m2!3d34.0336799!4d-118.2292359!16s%2Fg%2F11xx0zgqw!19sChIJSRvZ1yHGwoARcLrfvc-APl4?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.6,3543,+1 213-514-5724,"2121 E 7th Pl, Los Angeles, CA 90021, United States",bestiala.com
Girl & the Goat Los Angeles,https://www.google.com/maps/place/Girl+%26+the+Goat+Los+Angeles/data=!4m7!3m6!1s0x80c2c757501d5a5d:0x7652aeb4ecd9ad7b!8m2!3d34.0402258!4d-118.2331693!16s%2Fg%2F11j7h8ppsl!19sChIJXVodUFfHwoARe63Z7LSuUnY?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.8,1906,+1 213-799-4628,"555-3 Mateo St, Los Angeles, CA 90013, United States",girlandthegoat.com
The Little Door,https://www.google.com/maps/place/The+Little+Door/data=!4m7!3m6!1s0x80c2b9366fe06e9f:0x7e3620ff820f571a!8m2!3d34.0720931!4d-118.3675088!16s%2Fg%2F1tl8kzmp!19sChIJn27gbza5woARGlcPgv8gNn4?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.5,1031,+1 323-951-1210,"8164 W 3rd St, Los Angeles, CA 90048, United States",thelittledoor.com
The Factory Kitchen,https://www.google.com/maps/place/The+Factory+Kitchen/data=!4m7!3m6!1s0x80c2c624b2cedb29:0x51a6ea7b406bd139!8m2!3d34.0389831!4d-118.2358783!16s%2Fg%2F1ydxpn62c!19sChIJKdvOsiTGwoAROdFrQHvqplE?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.5,946,+1 213-996-6000,"1300 Factory Pl, Los Angeles, CA 90013, United States",thefactorykitchen.com
Perch,https://www.google.com/maps/place/Perch/data=!4m7!3m6!1s0x80c2c64b17a7b2a9:0x35a90616562b4544!8m2!3d34.0489961!4d-118.2514107!16s%2Fm%2F0kjvkff!19sChIJqbKnF0vGwoARREUrVhYGqTU?authuser=0&hl=en&rclk=1,Restaurants in Los Angeles California,4.4,6682,+1 213-802-1770,"448 S Hill St, Los Angeles, CA 90013, United States",perchla.com
