Name,URL,Query,Rating,Reviews,Phone,Address,Website
George Southern Greek,https://www.google.com/maps/place/George+Southern+Greek/data=!4m7!3m6!1s0x89c2599ec1a29ac9:0x4356323d01651a5b!8m2!3d40.7619543!4d-73.9600367!16s%2Fg%2F11vs7dw4yw!19sChIJyZqiwZ5ZwokRWxplAT0yVkM?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.5,77,+1 646-449-9716,"1144 1st Ave., New York, NY 10065, United States",georgesoutherngreek.com
The Modern,https://www.google.com/maps/place/The+Modern/data=!4m7!3m6!1s0x89c258fbc4a06f31:0xb0f62a18b16739cc!8m2!3d40.761081!4d-73.976753!16s%2Fm%2F05yj_8q!19sChIJMW-gxPtYwokRzDlnsRgq9rA?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.6,2289,+1 212-333-1220,"9 W 53rd St, New York, NY 10019, United States",themodernnyc.com
Upland,https://www.google.com/maps/place/Upland/data=!4m7!3m6!1s0x89c259a715fb5059:0xe5543b76e952fab3!8m2!3d40.7419313!4d-73.984644!16s%2Fg%2F11btmqg_59!19sChIJWVD7FadZwokRs_pS6XY7VOU?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.5,2146,+1 212-686-1006,"345 Park Ave S, New York, NY 10010, United States",uplandnyc.com
OLIO E PIÙ,https://www.google.com/maps/place/OLIO+E+PI%C3%99/data=!4m7!3m6!1s0x89c25996bd0915fd:0x294a27aedc2f4135!8m2!3d40.7338208!4d-73.9997931!16s%2Fg%2F1tjyvj49!19sChIJ_RUJvZZZwokRNUEv3K4nSik?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.6,7119,+1 212-243-6546,"3 Greenwich Ave, New York, NY 10014, United States",olioepiu.com
Via Carota,https://www.google.com/maps/place/Via+Carota/data=!4m7!3m6!1s0x89c259937f4eb1af:0xe49ad5dc628370bb!8m2!3d40.7331437!4d-74.0036671!16s%2Fg%2F11bbwz4b3z!19sChIJr7FOf5NZwokRu3CDYtzVmuQ?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.4,2553,+1 212-255-1962,"51 Grove St, New York, NY 10014, United States",viacarota.com
1803 NYC,https://www.google.com/maps/place/1803+NYC/data=!4m7!3m6!1s0x89c25a1f689722d3:0x16683d41746a61e9!8m2!3d40.7154539!4d-74.0073301!16s%2Fg%2F11d_tqq6n7!19sChIJ0yKXaB9awokR6WFqdEE9aBY?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.5,1666,+1 212-267-3000,"82 Reade St, New York, NY 10007, United States",1803nyc.com
Manhatta,https://www.google.com/maps/place/Manhatta/data=!4m7!3m6!1s0x89c25bc797d635a1:0x60b055910436a0a4!8m2!3d40.7079974!4d-74.0088826!16s%2Fg%2F11gh9qhb9q!19sChIJoTXWl8dbwokRpKA2BJFVsGA?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.7,2383,+1 212-230-5788,"28 Liberty St 60th floor, New York, NY 10005, United States",manhattarestaurant.com
Essex Restaurant,https://www.google.com/maps/place/Essex+Restaurant/data=!4m7!3m6!1s0x89c25980cf9dfced:0xdbe6c5bc2e033c0c!8m2!3d40.719819!4d-73.9870967!16s%2Fg%2F11gz9mft3!19sChIJ7fydz4BZwokRDDwDLrzF5ts?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.8,7620,+1 212-533-9616,"124 Rivington St, New York, NY 10002, United States",essexnyc.com
Eataly NYC Downtown,https://www.google.com/maps/place/Eataly+NYC+Downtown/data=!4m7!3m6!1s0x89c25a19fce21ebf:0x13a96ff759f9d689!8m2!3d40.7103713!4d-74.0117875!16s%2Fg%2F11c0vkc8dn!19sChIJvx7i_BlawokRidb5WfdvqRM?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.2,5691,+1 212-897-2895,"101 Liberty St, New York, NY 10007, United States",eataly.com
Le Bernardin,https://www.google.com/maps/place/Le+Bernardin/data=!4m7!3m6!1s0x89c25947ea10b457:0x6548e99cd73a1e6b!8m2!3d40.7614218!4d-73.9817558!16s%2Fm%2F02qsq9d!19sChIJV7QQ6kdZwokRax4615zpSGU?authuser=0&hl=en&rclk=1,Restaurants in New York New York,4.6,3446,+1 212-554-1515,"155 W 51st St, New York, NY 10019, United States",le-bernardin.com
