Name,URL,Query,Rating,Reviews,Phone,Address,Website
Crepeccino Café & Crêperie,https://www.google.com/maps/place/Crepeccino+Caf%C3%A9+%26+Cr%C3%AAperie/data=!4m7!3m6!1s0x865c673c5991b071:0xf07192fd21dfdf91!8m2!3d29.517053!4d-98.5977324!16s%2Fg%2F11fd7ln7n2!19sChIJcbCRWTxnXIYRkd_fIf2ScfA?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.9,12383,+1 210-600-3362,"5500 Babcock Rd #104, San Antonio, TX 78240, United States",crepeccino.com
Cappy's Restaurant,https://www.google.com/maps/place/Cappy%27s+Restaurant/data=!4m7!3m6!1s0x865cf59fe42b6abd:0xbe16214491543e1d!8m2!3d29.47265!4d-98.4634571!16s%2Fg%2F1wc48d3n!19sChIJvWor5J_1XIYRHT5UkUQhFr4?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.6,1851,+1 210-828-9669,"5011 Broadway, San Antonio, TX 78209, United States",cappysrestaurant.com
Southerleigh Fine Food & Brewery,https://www.google.com/maps/place/Southerleigh+Fine+Food+%26+Brewery/data=!4m7!3m6!1s0x865cf5f436e239b3:0x82bf51841eb8d2ce!8m2!3d29.4425203!4d-98.4806628!16s%2Fg%2F11b7l8tmnd!19sChIJszniNvT1XIYRztK4HoRRv4I?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.5,3781,+1 210-455-5701,"136 E Grayson St Suite 120, San Antonio, TX 78215, United States",southerleighatpearl.com
Boudro's on the Riverwalk,https://www.google.com/maps/place/Boudro%27s+on+the+Riverwalk/data=!4m7!3m6!1s0x865c58ab3f8c1475:0x4b6c70b9b48686e6!8m2!3d29.4240604!4d-98.4883378!16s%2Fg%2F1tx15spc!19sChIJdRSMP6tYXIYR5oaGtLlwbEs?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.4,5057,+1 210-224-8484,"On The Riverwalk Level, 421 E Commerce St, San Antonio, TX 78205, United States",boudros.com
La Fonda On Main,https://www.google.com/maps/place/La+Fonda+On+Main/data=!4m7!3m6!1s0x865c5f6615d201f9:0xcebdc53df7bbf9b2!8m2!3d29.4525203!4d-98.4941634!16s%2Fg%2F1tf6mmpt!19sChIJ-QHSFWZfXIYRsvm79z3Fvc4?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.5,3436,+1 210-733-0621,"2415 N Main Ave, San Antonio, TX 78212, United States",lafondaonmain.com
Chart House,https://www.google.com/maps/place/Chart+House/data=!4m7!3m6!1s0x865cf5ffec52c517:0xdd0b26a922368ca0!8m2!3d29.4189966!4d-98.4835464!16s%2Fg%2F1ptw2x_06!19sChIJF8VS7P_1XIYRoIw2IqkmC90?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.1,5257,+1 210-223-3101,"739 E César E. Chávez Blvd, San Antonio, TX 78205, United States",chart-house.com
Domingo Restaurant,https://www.google.com/maps/place/Domingo+Restaurant/data=!4m7!3m6!1s0x865c58accee835ad:0x82b8fe4cc4813896!8m2!3d29.4250257!4d-98.4915254!16s%2Fg%2F11n8vy3_l6!19sChIJrTXozqxYXIYRljiBxEz-uII?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.7,4901,+1 210-404-7516,"123 N St Mary's St, San Antonio, TX 78205, United States",domingorestaurant.com
Bliss,https://www.google.com/maps/place/Bliss/data=!4m7!3m6!1s0x865c58a65537f88b:0xcd8c2cc5e9a017a1!8m2!3d29.4112858!4d-98.4870345!16s%2Fg%2F1hc1pscy8!19sChIJi_g3VaZYXIYRoReg6cUsjM0?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.7,1272,+1 210-225-2547,"926 S Presa St, San Antonio, TX 78210, United States",foodisbliss.com
Chama Gaúcha Brazilian Steakhouse - San Antonio,https://www.google.com/maps/place/Chama+Ga%C3%BAcha+Brazilian+Steakhouse+-+San+Antonio/data=!4m7!3m6!1s0x865c621d75e3e825:0xa23f8a553082d3fb!8m2!3d29.6102335!4d-98.4977099!16s%2Fg%2F1tvm35ly!19sChIJJejjdR1iXIYR-9OCMFWKP6I?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.9,13658,+1 210-564-9400,"18318 Sonterra Pl, San Antonio, TX 78258, United States",chamagauchasanantonio.com
Bohanan's Prime Steaks and Seafood,https://www.google.com/maps/place/Bohanan%27s+Prime+Steaks+and+Seafood/data=!4m7!3m6!1s0x865c5f52f972896d:0x14cff333967ab7e3!8m2!3d29.4267169!4d-98.4903776!16s%2Fg%2F11xt897py!19sChIJbYly-VJfXIYR47d6ljPzzxQ?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.7,2179,+1 210-472-2600,"219 E Houston St #275, San Antonio, TX 78205, United States",bohanans.com
Mi Tierra Cafe y Panaderia,https://www.google.com/maps/place/Mi+Tierra+Cafe+y+Panaderia/data=!4m7!3m6!1s0x865c5f4cb22e83bb:0x77558d160950aa0e!8m2!3d29.4249679!4d-98.4997053!16s%2Fm%2F051xnvq!19sChIJu4MuskxfXIYRDqpQCRaNVXc?authuser=0&hl=en&rclk=1,Restaurants in San Antonio Texas,4.4,21792,+1 210-225-1262,"218 Produce Row, San Antonio, TX 78207, United States",lafamiliacortez.com
