Name,URL,Query,Rating,Reviews,Phone,Address,Website
Water Grill San Diego,https://www.google.com/maps/place/Water+Grill+San+Diego/data=!4m7!3m6!1s0x80d9535a32f85891:0xce87f9731a5f9e9a!8m2!3d32.7092209!4d-117.1589267!16s%2Fg%2F11b7gdpyq_!19sChIJkVj4MlpT2YARmp5fGnP5h84?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.4,2418,+1 619-717-6992,"615 J St, San Diego, CA 92101, United States",watergrill.com
Born and Raised,https://www.google.com/maps/place/Born+and+Raised/data=!4m7!3m6!1s0x80d954b217aa2be3:0x188bc33bb9e0971!8m2!3d32.724668!4d-117.168413!16s%2Fg%2F11f0l335t6!19sChIJ4yuqF7JU2YARcQmeuzO8iAE?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.5,2816,+1 619-202-4577,"1909 India St, San Diego, CA 92101, United States",bornandraisedsteak.com
JRDN Restaurant,https://www.google.com/maps/place/JRDN+Restaurant/data=!4m7!3m6!1s0x80dc018d4d55b7c7:0x47f19b304b8e84bc!8m2!3d32.7970749!4d-117.2566656!16s%2Fm%2F0qzh3x0!19sChIJx7dVTY0B3IARvISOSzCb8Uc?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.5,1354,+1 858-270-5736,"723 Felspar St, San Diego, CA 92109, United States",t23hotel.com
La Puerta,https://www.google.com/maps/place/La+Puerta/data=!4m7!3m6!1s0x80d95359db658c4b:0x3ad37ce8d9ee8c19!8m2!3d32.7112162!4d-117.1612498!16s%2Fg%2F1tx4pnbl!19sChIJS4xl21lT2YARGYzu2eh80zo?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.5,4402,+1 619-696-3466,"560 Fourth Ave, San Diego, CA 92101, United States",lapuertasd.com
Juniper and Ivy,https://www.google.com/maps/place/Juniper+and+Ivy/data=!4m7!3m6!1s0x80d954b37ab64153:0x5bead8a029c74f5!8m2!3d32.7274546!4d-117.1711882!16s%2Fg%2F11bbrh4bhf!19sChIJU0G2erNU2YAR9XScAoqtvgU?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.6,2350,+1 619-269-9036,"2228 Kettner Blvd, San Diego, CA 92101, United States",juniperandivy.com
C Level Lounge,https://www.google.com/maps/place/C+Level+Lounge/data=!4m7!3m6!1s0x80deab41107953e9:0x47c2c55987d7a1ad!8m2!3d32.7241309!4d-117.188588!16s%2Fg%2F1pt_s2v9d!19sChIJ6VN5EEGr3oARraHXh1nFwkc?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.6,2805,+1 619-298-6802,"880 Harbor Island Dr, San Diego, CA 92101, United States",clevelsd.com
Ironside Fish & Oyster,https://www.google.com/maps/place/Ironside+Fish+%26+Oyster/data=!4m7!3m6!1s0x80d954adef812e3d:0x19c9da525de9706b!8m2!3d32.7226753!4d-117.1685793!16s%2Fg%2F1q5brm6y_!19sChIJPS6B761U2YARa3DpXVLayRk?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.5,4379,+1 619-269-3033,"1654 India St, San Diego, CA 92101, United States",ironsidefishandoyster.com
Coasterra,https://www.google.com/maps/place/Coasterra/data=!4m7!3m6!1s0x80deab4681f32a53:0xb65713f3d7d44b4b!8m2!3d32.724263!4d-117.1880096!16s%2Fg%2F11bvv_004v!19sChIJUyrzgUar3oARS0vU1_MTV7Y?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.4,4690,+1 619-814-1300,"880 Harbor Island Dr, San Diego, CA 92101, United States",coasterra.com
Herb & Wood,https://www.google.com/maps/place/Herb+%26+Wood/data=!4m7!3m6!1s0x80d954b376b6f2db:0xfe5b4b34708c2dfb!8m2!3d32.7273343!4d-117.1710044!16s%2Fg%2F11cn3phxf0!19sChIJ2_K2drNU2YAR-y2McDRLW_4?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.5,2178,+1 619-955-8495,"2210 Kettner Blvd, San Diego, CA 92101, United States",herbandwood.com
Cowboy Star Restaurant and Butcher Shop,https://www.google.com/maps/place/Cowboy+Star+Restaurant+and+Butcher+Shop/data=!4m7!3m6!1s0x80d9535ecacbdc87:0x62c66d7c50a85091!8m2!3d32.7121551!4d-117.1559327!16s%2Fg%2F1tcwg83_!19sChIJh9zLyl5T2YARkVCoUHxtxmI?authuser=0&hl=en&rclk=1,Restaurants in San Diego California,4.6,749,+1 619-450-5880,"640 Tenth Ave, San Diego, CA 92101, United States",thecowboystar.com
