Name,URL,Query,Rating,Reviews,Phone,Address,Website
Rich Table,https://www.google.com/maps/place/Rich+Table/data=!4m7!3m6!1s0x8085809f40b8fd87:0x7b5e765335d416ff!8m2!3d37.7748657!4d-122.4228497!16s%2Fg%2F11h18mfkk!19sChIJh_24QJ-AhYAR_xbUNVN2Xns?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.7,1357,+1 415-355-9085,"199 Gough St, San Francisco, CA 94102, United States",richtablesf.com
Waterbar Restaurant,https://www.google.com/maps/place/Waterbar+Restaurant/data=!4m7!3m6!1s0x808580701a2e7981:0xaf3b5f75b122566d!8m2!3d37.7904926!4d-122.3890417!16s%2Fm%2F04fjw_z!19sChIJgXkuGnCAhYARbVYisXVfO68?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.5,3838,+1 415-284-9922,"399 The Embarcadero, San Francisco, CA 94105, United States",waterbarsf.com
Sotto Mare,https://www.google.com/maps/place/Sotto+Mare/data=!4m7!3m6!1s0x808580f15632f641:0xa45875806e285c25!8m2!3d37.7997503!4d-122.4083449!16s%2Fm%2F04fhr_9!19sChIJQfYyVvGAhYARJVwoboB1WKQ?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.6,4227,+1 415-398-3181,"552 Green St, San Francisco, CA 94133, United States",sottomaresf.com
Fog Harbor Fish House,https://www.google.com/maps/place/Fog+Harbor+Fish+House/data=!4m7!3m6!1s0x808580fc8bb3211d:0x5a423e79bde2d7a6!8m2!3d37.8089886!4d-122.4102974!16s%2Fg%2F1tlc890x!19sChIJHSGzi_yAhYARptfivXk-Qlo?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.5,7759,+1 415-969-2010,"39 pier, San Francisco, CA 94133, United States",fogharbor.com
Lazy Bear,https://www.google.com/maps/place/Lazy+Bear/data=!4m7!3m6!1s0x808f7e3c8b5b7e93:0x7e267bfa507a2912!8m2!3d37.7604119!4d-122.4197156!16s%2Fg%2F11b63f5_6r!19sChIJk35bizx-j4AREil6UPp7Jn4?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.8,1034,+1 415-874-9921,"3416 19th St, San Francisco, CA 94110, United States",lazybearsf.com
Brenda's French Soul Food,https://www.google.com/maps/place/Brenda%27s+French+Soul+Food/data=!4m7!3m6!1s0x808580974839db67:0xa78fa85ec6c57d21!8m2!3d37.7829132!4d-122.4188995!16s%2Fg%2F1tfst318!19sChIJZ9s5SJeAhYARIX3Fxl6oj6c?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.5,5788,+1 415-345-8100,"652 Polk St, San Francisco, CA 94102, United States",frenchsoulfood.com
Trestle Restaurant,https://www.google.com/maps/place/Trestle+Restaurant/data=!4m7!3m6!1s0x808580f4d6db7e5d:0xffdcfce353003dbc!8m2!3d37.7961962!4d-122.4045409!16s%2Fg%2F11byfln3_q!19sChIJXX7b1vSAhYARvD0AU-P83P8?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.6,1082,+1 415-772-0922,"531 Jackson St, San Francisco, CA 94133, United States",trestlesf.com
State Bird Provisions,https://www.google.com/maps/place/State+Bird+Provisions/data=!4m7!3m6!1s0x808580b9a406b943:0x696de890da9ee029!8m2!3d37.7836806!4d-122.4330028!16s%2Fm%2F0xmdqk9!19sChIJQ7kGpLmAhYARKeCe2pDobWk?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.5,2097,+1 415-795-1272,"1529 Fillmore St, San Francisco, CA 94115, United States",statebirdsf.com
Delancey Street Restaurant,https://www.google.com/maps/place/Delancey+Street+Restaurant/data=!4m7!3m6!1s0x808580770df6174d:0x8be3ee157d693ab2!8m2!3d37.7843599!4d-122.3884342!16s%2Fm%2F04fjq0y!19sChIJTRf2DXeAhYARsjppfRXu44s?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.5,1461,+1 415-512-5179,"600 The Embarcadero, San Francisco, CA 94107, United States",delanceystreetfoundation.org
Gary Danko,https://www.google.com/maps/place/Gary+Danko/data=!4m7!3m6!1s0x808580e125367eab:0x8ee57d9f647dbc1!8m2!3d37.8058651!4d-122.4206043!16s%2Fm%2F01znl1j!19sChIJq342JeGAhYARwdtH9tlX7gg?authuser=0&hl=en&rclk=1,Restaurants in San Francisco California,4.6,1971,+1 415-749-2060,"800 North Point St, San Francisco, CA 94109, United States",garydanko.com
