Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Table,https://www.google.com/maps/place/The+Table/data=!4m7!3m6!1s0x808e3357dd85bb17:0xe05f5d927c9c06b1!8m2!3d37.3082046!4d-121.9012822!16s%2Fg%2F1hg4wrxdc!19sChIJF7uF3VczjoARsQacfJJdX-A?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.3,2219,+1 408-638-7911,"1110 Willow St, San Jose, CA 95125, United States",thetablesj.com
Maggiano's Little Italy,https://www.google.com/maps/place/Maggiano%27s+Little+Italy/data=!4m7!3m6!1s0x808fcadfd0533ecf:0x4062d275f2596b70!8m2!3d37.3207916!4d-121.9497552!16s%2Fg%2F1tf249vt!19sChIJzz5T0N_Kj4ARcGtZ8nXSYkA?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.3,3863,+1 408-423-8973,"3055 Olin Ave Suite 1000, San Jose, CA 95128, United States",maggianos.com
Yard House,https://www.google.com/maps/place/Yard+House/data=!4m7!3m6!1s0x808fcae018ca4a35:0x279ae180a6f8a82f!8m2!3d37.32309!4d-121.94763!16s%2Fg%2F1vn9pb3r!19sChIJNUrKGODKj4ARL6j4poDhmic?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.4,4308,+1 408-241-9273,"300 Santana Row Suite 101, San Jose, CA 95128, United States",yardhouse.com
Poor House Bistro,https://www.google.com/maps/place/Poor+House+Bistro/data=!4m7!3m6!1s0x808fcca71286e16d:0x638528042b10c12e!8m2!3d37.3352759!4d-121.8983499!16s%2Fm%2F0kfbx2r!19sChIJbeGGEqfMj4ARLsEQKwQohWM?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.4,1490,+1 408-292-5837,"317 W St John St, San Jose, CA 95110, United States",poorhousebistro.com
The Farmers Union,https://www.google.com/maps/place/The+Farmers+Union/data=!4m7!3m6!1s0x808fcca309970063:0x97bc199fe9e64304!8m2!3d37.335175!4d-121.8931722!16s%2Fg%2F1yg6ngmz8!19sChIJYwCXCaPMj4ARBEPm6Z8ZvJc?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.2,2084,+1 408-277-0545,"151 W Santa Clara St, San Jose, CA 95113, United States",thefarmersunion.com
Henry's World Famous Hi-Life,https://www.google.com/maps/place/Henry%27s+World+Famous+Hi-Life/data=!4m7!3m6!1s0x808fcca1b7897991:0x8879fd5a6b3725fc!8m2!3d37.3353822!4d-121.8981047!16s%2Fg%2F1hc2skzf0!19sChIJkXmJt6HMj4AR_CU3a1r9eYg?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.6,2380,+1 408-295-5414,"301 W St John St, San Jose, CA 95110, United States",henryshilife.com
LUNA Mexican Kitchen - The Alameda,https://www.google.com/maps/place/LUNA+Mexican+Kitchen+-+The+Alameda/data=!4m7!3m6!1s0x808fcb6858213639:0xffd92937210a585b!8m2!3d37.3339808!4d-121.9152907!16s%2Fg%2F11c56rlg2n!19sChIJOTYhWGjLj4ARW1gKITcp2f8?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.5,3211,+1 408-320-2654,"1495 The Alameda, San Jose, CA 95126, United States",lunamexicankitchen.com
Jackie's Place,https://www.google.com/maps/place/Jackie%27s+Place/data=!4m7!3m6!1s0x808fcd6a821c6ef7:0x5475c9e96bd63cff!8m2!3d37.3522426!4d-121.9021066!16s%2Fg%2F11gnnzf70b!19sChIJ924cgmrNj4AR_zzWa-nJdVQ?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.6,1524,+1 408-490-4653,"840 N First St, San Jose, CA 95112, United States",jackiesplacesj.com
"Petiscos ""Downtown""",https://www.google.com/maps/place/Petiscos+%22Downtown%22/data=!4m7!3m6!1s0x808fcd7819cfb763:0xaadc150de6744eab!8m2!3d37.3300768!4d-121.8862249!16s%2Fg%2F11qnt1pr5s!19sChIJY7fPGXjNj4ARq0505g0V3Ko?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.3,550,+1 408-320-2884,"399 S 1st St, San Jose, CA 95113, United States",petiscosadega.com
The Province,https://www.google.com/maps/place/The+Province/data=!4m7!3m6!1s0x808fcb92a492f74d:0x77c0d8f40fbd6d89!8m2!3d37.3697349!4d-121.9137621!16s%2Fg%2F11gdg_wf7p!19sChIJTfeSpJLLj4ARiW29D_TYwHc?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.0,337,+1 408-796-1699,"1788 N First St #10, San Jose, CA 95112, United States",theprovinceonline.com
Urban Plates,https://www.google.com/maps/place/Urban+Plates/data=!4m7!3m6!1s0x808fcbf1dae71e23:0x9cad8c44e71ef75b!8m2!3d37.3209645!4d-121.9492021!16s%2Fg%2F11kpm7dtbk!19sChIJIx7n2vHLj4ARW_ce50SMrZw?authuser=0&hl=en&rclk=1,Restaurants in San Jose California,4.8,1026,+1 669-284-5505,"3055 Olin Ave #1020, San Jose, CA 95128, United States",urbanplates.com
