Name,URL,Query,Rating,Reviews,Phone,Address,Website
Group Therapy,https://www.google.com/maps/place/Group+Therapy/data=!4m7!3m6!1s0x8644b593ee8d39f9:0x902c8a77d255e033!8m2!3d30.2671074!4d-97.7464235!16s%2Fg%2F11j8mfm2kj!19sChIJ-TmN7pO1RIYRM-BV0neKLJA?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.2,241,+1 512-542-9292,"400 Lavaca St, Austin, TX 78701, United States",hotelzaza.com
Libertine,https://www.google.com/maps/place/Libertine/data=!4m7!3m6!1s0x865b4d3a2764ae13:0xaffea4c4dd175a24!8m2!3d30.1997143!4d-97.7949579!16s%2Fg%2F11jyz1bgx3!19sChIJE65kJzpNW4YRJFoX3cSk_q8?authuser=0&hl=en&rclk=1,Spas in Austin Texas,5.0,11,+1 512-762-8192,"1110 W William Cannon Dr # 404, Austin, TX 78745, United States",libertineaustin.com
Viva Day Spa + Med Spa | Lamar,https://www.google.com/maps/place/Viva+Day+Spa+%2B+Med+Spa+%7C+Lamar/data=!4m7!3m6!1s0x8644b510a81dd5ed:0x2cb87f45e8746d46!8m2!3d30.2636403!4d-97.7571217!16s%2Fg%2F1tgkhp6c!19sChIJ7dUdqBC1RIYRRm106EV_uCw?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.6,341,+1 512-361-2047,"215 S Lamar Blvd, Austin, TX 78704, United States",vivadayspa.com
Spavia Day spa,https://www.google.com/maps/place/Spavia+Day+spa/data=!4m7!3m6!1s0x8644ca54f3d71c8f:0xc172accc8cd2bbda!8m2!3d30.3427759!4d-97.7383286!16s%2Fg%2F11c1q7p699!19sChIJjxzX81TKRIYR2rvSjMyscsE?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.6,400,+1 512-956-5005,"6701 Burnet Rd b3, Austin, TX 78757, United States",spaviadayspa.com
Spa Sway Domain | Day + Med Spa,https://www.google.com/maps/place/Spa+Sway+Domain+%7C+Day+%2B+Med+Spa/data=!4m7!3m6!1s0x8644cc76bbaa95d3:0xb385f499c5f58cb5!8m2!3d30.3968457!4d-97.7261132!16s%2Fg%2F11b72nnkyt!19sChIJ05Wqu3bMRIYRtYz1xZn0hbM?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.5,373,+1 512-873-0999,"11011 Domain Dr #124, Austin, TX 78758, United States",spasway.com
Viva Day Spa + Med Spa | Domain Northside,https://www.google.com/maps/place/Viva+Day+Spa+%2B+Med+Spa+%7C+Domain+Northside/data=!4m7!3m6!1s0x8644cc72f5836d23:0xb0467e506cc6b244!8m2!3d30.4016739!4d-97.7222788!16s%2Fg%2F11bzyyh0nz!19sChIJI22D9XLMRIYRRLLGbFB-RrA?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.6,532,+1 512-361-2558,"11601 Rock Rose Ave, Austin, TX 78758, United States",vivadayspa.com
milk + honey | 2nd Street District,https://www.google.com/maps/place/milk+%2B+honey+%7C+2nd+Street+District/data=!4m7!3m6!1s0x8644b50f5913f343:0x771fd765f3355ccc!8m2!3d30.2646306!4d-97.7482041!16s%2Fg%2F1tgpbnzd!19sChIJQ_MTWQ-1RIYRzFw182XXH3c?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.3,470,+1 512-236-1115,"100A Guadalupe St, Austin, TX 78701, United States",milkandhoneyspa.com
Viva Day Spa + Med Spa | 35th,https://www.google.com/maps/place/Viva+Day+Spa+%2B+Med+Spa+%7C+35th/data=!4m7!3m6!1s0x8644ca9a954005df:0xf41ea694fe149000!8m2!3d30.3081499!4d-97.7540535!16s%2Fg%2F1thsrs97!19sChIJ3wVAlZrKRIYRAJAU_pSmHvQ?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.8,182,+1 512-361-1786,"1811 W 35th St, Austin, TX 78703, United States",vivadayspa.com
AWAY Spa,https://www.google.com/maps/place/AWAY+Spa/data=!4m7!3m6!1s0x8644b508b6222543:0xa3871483741499f2!8m2!3d30.2654139!4d-97.7467581!16s%2Fg%2F1xfsp3s9!19sChIJQyUitgi1RIYR8pkUdIMUh6M?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.4,43,+1 512-542-3626,"200 Lavaca St, Austin, TX 78701, United States",austinawayspa.com
Hiatus Day Spa • Med Spa,https://www.google.com/maps/place/Hiatus+Day+Spa+%E2%80%A2+Med+Spa/data=!4m7!3m6!1s0x8644b53ff1dbf7ad:0xab4d60bdbb876436!8m2!3d30.2740798!4d-97.7640708!16s%2Fg%2F1wh4g7dn!19sChIJrffb8T-1RIYRNmSHu71gTas?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.5,220,+1 512-362-5777,"1611 W 5th St #155, Austin, TX 78703, United States",hiatusspa.com
Spa Reveil,https://www.google.com/maps/place/Spa+Reveil/data=!4m7!3m6!1s0x8644cc71e9793381:0x8e688fe49a8c2e01!8m2!3d30.4011729!4d-97.7270377!16s%2Fg%2F1tfccksn!19sChIJgTN56XHMRIYRAS6MmuSPaI4?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.4,419,+1 512-339-7000,"11410 Century Oaks Terrace Suite 140, Austin, TX 78758, United States",spareveil.com
Fairmont Spa Austin,https://www.google.com/maps/place/Fairmont+Spa+Austin/data=!4m7!3m6!1s0x8644b5b013d152a1:0x67c2848930d15ad3!8m2!3d30.2622245!4d-97.7385483!16s%2Fg%2F11gphzmfkc!19sChIJoVLRE7C1RIYR01rRMImEwmc?authuser=0&hl=en&rclk=1,Spas in Austin Texas,4.7,64,+1 512-524-4600,"101 Red River St, Austin, TX 78701, United States",fairmont-austin.com
