Name,URL,Query,Rating,Reviews,Phone,Address,Website
Sofitel Chicago Magnificent Mile,https://www.google.com/maps/place/Sofitel+Chicago+Magnificent+Mile/data=!4m10!3m9!1s0x880fd3526998e83f:0x9dca0c639619b0c2!5m2!4m1!1i2!8m2!3d41.8987007!4d-87.6272703!16s%2Fm%2F0glt4bx!19sChIJP-iYaVLTD4gRwrAZlmMMyp0?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,3485,+1 312-324-4000,"20 E Chestnut St, Chicago, IL 60611, United States",sofitel.accor.com
Barbara&Barbara,https://www.google.com/maps/place/Barbara%26Barbara/data=!4m7!3m6!1s0x880fcd7abfdf571f:0xf104d4ba1ed675fd!8m2!3d41.93186!4d-87.701158!16s%2Fg%2F1vqthcs3!19sChIJH1ffv3rND4gR_XXWHrrUBPE?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.7,349,+1 773-384-6244,"2925 W Diversey Ave, Chicago, IL 60647, United States",barbaraandbarbara.com
Spa Space Chicago,https://www.google.com/maps/place/Spa+Space+Chicago/data=!4m7!3m6!1s0x880e2cc7c3102b49:0xb1fdcb49d39e5a1b!8m2!3d41.8848667!4d-87.6396579!16s%2Fg%2F1tfczdb2!19sChIJSSsQw8csDogRG1qe00nL_bE?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,346,+1 312-466-9585,"161 N Canal St, Chicago, IL 60606, United States",spaspacechicago.com
Spavia Day Spa - Lincoln Park,https://www.google.com/maps/place/Spavia+Day+Spa+-+Lincoln+Park/data=!4m7!3m6!1s0x880fd2e167e70863:0x4fc5b92026907b2d!8m2!3d41.9201813!4d-87.6618871!16s%2Fg%2F11bvvzxc0v!19sChIJYwjnZ-HSD4gRLXuQJiC5xU8?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.8,489,+1 312-724-8777,"2121 N Clybourn Ave, Chicago, IL 60614, United States",spaviadayspa.com
The Spa at Palmer House,https://www.google.com/maps/place/The+Spa+at+Palmer+House/data=!4m7!3m6!1s0x880e2ca362068ae1:0x294e83efdea673ef!8m2!3d41.8803113!4d-87.6269745!16s%2Fg%2F11g86nwzdp!19sChIJ4YoGYqMsDogR73Om3u-DTik?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.8,417,+1 312-422-1336,"17 E Monroe St 5th Floor, Chicago, IL 60603, United States",spaatph.com
Allyu Spa,https://www.google.com/maps/place/Allyu+Spa/data=!4m7!3m6!1s0x880fd3349c9527a5:0x7d244b437873914!8m2!3d41.8969173!4d-87.6435474!16s%2Fg%2F1tyyxqdl!19sChIJpSeVnDTTD4gRFDmHN7RE0gc?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,484,+1 312-755-1313,"600 W Chicago Ave, Chicago, IL 60654, United States",allyuspa.com
"Chuan Spa at The Langham, Chicago","https://www.google.com/maps/place/Chuan+Spa+at+The+Langham,+Chicago/data=!4m7!3m6!1s0x880e2cae477ec96b:0xff8e25b960686887!8m2!3d41.888284!4d-87.6274377!16s%2Fg%2F12lks2_fq!19sChIJa8l-R64sDogRh2hoYLkljv8?authuser=0&hl=en&rclk=1",Spas in Chicago Illinois,4.5,97,+1 312-923-7650,"330 N Wabash Ave, Chicago, IL 60611, United States",langhamhotels.com
The Peninsula Spa & Wellness Center,https://www.google.com/maps/place/The+Peninsula+Spa+%26+Wellness+Center/data=!4m7!3m6!1s0x880fd35335ccbd63:0x918bf0fead12a5a0!8m2!3d41.8958458!4d-87.6249247!16s%2Fg%2F119wxrgf4!19sChIJY73MNVPTD4gRoKUSrf7wi5E?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.5,104,+1 312-573-6860,"108 E Superior St #2508, Chicago, IL 60611, United States",peninsula.com
Cowshed Spa Chicago,https://www.google.com/maps/place/Cowshed+Spa+Chicago/data=!4m7!3m6!1s0x880e2cdad2d03d9d:0xa60193e538ca9468!8m2!3d41.883765!4d-87.648284!16s%2Fg%2F11clygm5xc!19sChIJnT3Q0tosDogRaJTKOOWTAaY?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,97,+1 312-754-6915,"113-125 N Green St, Chicago, IL 60607, United States",cowshed.com
The One Spa Chicago,https://www.google.com/maps/place/The+One+Spa+Chicago/data=!4m7!3m6!1s0x880e2b3efa82b9e5:0x281f596a53d7eada!8m2!3d41.891999!4d-87.6163387!16s%2Fg%2F11l8rp_9ds!19sChIJ5bmC-j4rDogR2urXU2pZHyg?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.9,159,+1 312-340-6740,"432 E Grand Ave Suite D, Chicago, IL 60611, United States",theonespachicago.com
Leaf Spa Chicago,https://www.google.com/maps/place/Leaf+Spa+Chicago/data=!4m7!3m6!1s0x880e2dc78eeb358f:0x306a653a0d696d5e!8m2!3d41.8861846!4d-87.6211324!16s%2Fg%2F11t9c8z3_j!19sChIJjzXrjsctDogRXm1pDTplajA?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,82,+1 312-946-8945,"200 N Columbus Dr, Lower Level, Fairmont, Chicago, IL 60601, United States",fairmont.com
Waldorf Astoria Spa Chicago,https://www.google.com/maps/place/Waldorf+Astoria+Spa+Chicago/data=!4m7!3m6!1s0x880fd3521afd098d:0xc31b49d0620eb003!8m2!3d41.899701!4d-87.6276042!16s%2Fg%2F1hdzd6r6w!19sChIJjQn9GlLTD4gRA7AOYtBJG8M?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,59,+1 312-646-1310,"11 E Walton St 4th Floor, Chicago, IL 60611, United States",hilton.com
De La Vie Day Spa,https://www.google.com/maps/place/De+La+Vie+Day+Spa/data=!4m7!3m6!1s0x880fd399fd08c355:0x5d84bbbcd240a537!8m2!3d41.9387967!4d-87.6543934!16s%2Fg%2F11h4nbsljv!19sChIJVcMI_ZnTD4gRN6VA0ry7hF0?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.8,82,+1 773-687-8206,"3120 N Sheffield Ave N, Chicago, IL 60657, United States",delaviedayspa.com
"Kohler Waters Spa at Lincoln Park, Chicago","https://www.google.com/maps/place/Kohler+Waters+Spa+at+Lincoln+Park,+Chicago/data=!4m7!3m6!1s0x880fd37d31db0b8d:0xa55b4ea589e881f0!8m2!3d41.9248756!4d-87.6481388!16s%2Fg%2F11h_7kf59n!19sChIJjQvbMX3TD4gR8IHoiaVOW6U?authuser=0&hl=en&rclk=1",Spas in Chicago Illinois,4.5,186,+1 312-245-9129,"2358 N Lincoln Ave, Chicago, IL 60614, United States",kohlerwatersspalincolnpark.com
Oxygen Spa Studio,https://www.google.com/maps/place/Oxygen+Spa+Studio/data=!4m7!3m6!1s0x880e2cdd524945f9:0x2532a6e9843837ea!8m2!3d41.8959254!4d-87.6933694!16s%2Fg%2F1tfpkdcw!19sChIJ-UVJUt0sDogR6jc4hOmmMiU?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.7,111,+1 312-846-1047,"2638 W Chicago Ave, Chicago, IL 60622, United States",oxygenspastudio.com
Renee Day Spa II,https://www.google.com/maps/place/Renee+Day+Spa+II/data=!4m7!3m6!1s0x880e2cac9f4a738d:0x58bd82d27e38730b!8m2!3d41.893578!4d-87.623727!16s%2Fg%2F1tdky7xc!19sChIJjXNKn6wsDogRC3M4ftKCvVg?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.8,133,+1 312-787-2544,"142 E Ontario St #525, Chicago, IL 60611, United States",reneedayspa.com
Spa Soak,https://www.google.com/maps/place/Spa+Soak/data=!4m7!3m6!1s0x880fd2beedd8fffb:0x1cf27a8803ef4113!8m2!3d41.9129685!4d-87.6812619!16s%2Fg%2F1w3w3mv5!19sChIJ-__Y7b7SD4gRE0HvA4h68hw?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,108,+1 773-395-9000,"1733 N Milwaukee Ave, Chicago, IL 60647, United States",spasoakchicago.com
Allure De Vie Day Spa & Med Spa,https://www.google.com/maps/place/Allure+De+Vie+Day+Spa+%26+Med+Spa/data=!4m7!3m6!1s0x880fc972c0f82c5f:0x1759ed515da2909d!8m2!3d41.9972577!4d-87.807599!16s%2Fg%2F1vf9czg6!19sChIJXyz4wHLJD4gRnZCiXVHtWRc?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.7,861,+1 773-775-7700,"6400 N Northwest Hwy, Chicago, IL 60631, United States",alluredeviespa.com
Freeze & Float Spa,https://www.google.com/maps/place/Freeze+%26+Float+Spa/data=!4m7!3m6!1s0x880e2d8523c75ed1:0x92609253b32b8f3e!8m2!3d41.8928519!4d-87.6384142!16s%2Fg%2F11fhnhzd32!19sChIJ0V7HI4UtDogRPo8rs1OSYJI?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.9,208,+1 312-809-7008,"371 W Ontario St, Chicago, IL 60654, United States",freezefloatspa.com
AIRE Ancient Baths Chicago,https://www.google.com/maps/place/AIRE+Ancient+Baths+Chicago/data=!4m7!3m6!1s0x880fd332aae992ff:0x500b278ed0211cd6!8m2!3d41.8957293!4d-87.6481481!16s%2Fg%2F11fy_dnlzw!19sChIJ_5LpqjLTD4gR1hwh0I4nC1A?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.6,2342,+1 312-312-9610,"800 W Superior St, Chicago, IL 60642, United States",beaire.com
CHICAGO BATH HOUSE,https://www.google.com/maps/place/CHICAGO+BATH+HOUSE/data=!4m7!3m6!1s0x880fd2c9aa3d55bb:0xd64c647de2d958bb!8m2!3d41.9034057!4d-87.6755122!16s%2Fg%2F1hhhp2qt9!19sChIJu1U9qsnSD4gRu1jZ4n1kTNY?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.5,857,+1 773-227-2284,"1914 W Division St, Chicago, IL 60622, United States",bathhousechicago.com
Bettye O Day Spa,https://www.google.com/maps/place/Bettye+O+Day+Spa/data=!4m7!3m6!1s0x880e296ddb329c4d:0xd37999b16512e740!8m2!3d41.7996953!4d-87.5907208!16s%2Fg%2F1tgcsgmr!19sChIJTZwy220pDogRQOcSZbGZedM?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.8,103,+1 773-752-3600,"1424 E 53rd St #101, Chicago, IL 60615, United States",bettyeodayspa.com
milk + honey | Gold Coast,https://www.google.com/maps/place/milk+%2B+honey+%7C+Gold+Coast/data=!4m7!3m6!1s0x880fd37b29b1b021:0xdce0b597441b4d10!8m2!3d41.9004029!4d-87.6281861!16s%2Fg%2F11rkc541w6!19sChIJIbCxKXvTD4gREE0bRJe14Nw?authuser=0&hl=en&rclk=1,Spas in Chicago Illinois,4.3,126,+1 844-645-5772,"945 N State St, Chicago, IL 60610, United States",milkandhoneyspa.com
"The Ritz-Carlton Spa, Chicago","https://www.google.com/maps/place/The+Ritz-Carlton+Spa,+Chicago/data=!4m7!3m6!1s0x880e2cae5d2fa103:0x9f24734e1879599c!8m2!3d41.8985951!4d-87.6217451!16s%2Fg%2F113k7yjx6!19sChIJA6EvXa4sDogRnFl5GE5zJJ8?authuser=0&hl=en&rclk=1",Spas in Chicago Illinois,4.3,55,+1 312-573-4915,"160 East Pearson Street Water Tower Place, Chicago, IL 60611, United States",ritzcarlton.com
