Name,URL,Query,Rating,Reviews,Phone,Address,Website
Juvly Aesthetics,https://www.google.com/maps/place/Juvly+Aesthetics/data=!4m7!3m6!1s0x88388f89d78d50c9:0x4f7e25e64bc98b33!8m2!3d39.963626!4d-83.0021246!16s%2Fg%2F11h3jt7l6r!19sChIJyVCN14mPOIgRM4vJS-Ylfk8?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.5,189,+1 614-500-7000,"40 W Gay St, Columbus, OH 43215, United States",juvly.com
Open Sky Day Spa,https://www.google.com/maps/place/Open+Sky+Day+Spa/data=!4m7!3m6!1s0x88388e5a19ec3ddb:0x2fbdc9cb0c6d2c11!8m2!3d39.9745184!4d-83.0551947!16s%2Fg%2F1tj4zcfx!19sChIJ2z3sGVqOOIgRESxtDMvJvS8?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.7,293,+1 614-486-4520,"1225 Dublin Rd #125, Columbus, OH 43215, United States",openskydayspa.com
Woodhouse Spa - Polaris,https://www.google.com/maps/place/Woodhouse+Spa+-+Polaris/data=!4m7!3m6!1s0x8838f5f25ec0bb75:0xd09f58dfeb6771b6!8m2!3d40.1438376!4d-82.9631982!16s%2Fg%2F11mbm_ccpx!19sChIJdbvAXvL1OIgRtnFn699Yn9A?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.4,108,+1 614-839-5520,"2015 Polaris Pkwy, Columbus, OH 43240, United States",polaris.woodhousespas.com
LC Relaxation Spa,https://www.google.com/maps/place/LC+Relaxation+Spa/data=!4m7!3m6!1s0x8838913b019dc8c3:0x249c79d261857cfc!8m2!3d39.953705!4d-83.1308182!16s%2Fg%2F11rcqr5dmt!19sChIJw8idATuROIgR_HyFYdJ5nCQ?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.7,95,+1 614-955-0698,"4852 W Broad St, Columbus, OH 43228, United States",-
Panacea Luxury Spa,https://www.google.com/maps/place/Panacea+Luxury+Spa/data=!4m7!3m6!1s0x8838917cba079da3:0x29225e73e00f504b!8m2!3d39.9985527!4d-83.0827979!16s%2Fg%2F11kb5bmggf!19sChIJo50HunyROIgRS1AP4HNeIik?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.7,228,+1 614-324-7777,"2130 Quarry Trails Dr Suite 300, Columbus, OH 43228, United States",panacealuxuryspa.com
Papillon Day Spa,https://www.google.com/maps/place/Papillon+Day+Spa/data=!4m7!3m6!1s0x8838f466c83db00f:0x1b7c97929d6e560b!8m2!3d40.0921752!4d-83.0176215!16s%2Fg%2F1tdlhz9_!19sChIJD7A9yGb0OIgRC1ZunZKXfBs?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.8,229,+1 614-436-6801,"890 High St Suite B, Worthington, OH 43085, United States",papillondayspa.net
Allvera Wellness Spa,https://www.google.com/maps/place/Allvera+Wellness+Spa/data=!4m7!3m6!1s0x88388e39fb871971:0xa905c96a7175a70f!8m2!3d39.9893375!4d-83.0625168!16s%2Fg%2F1tjbsv5p!19sChIJcRmH-zmOOIgRD6d1cWrJBak?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.9,150,+1 614-914-5092,"2079 W 5th Ave, Columbus, OH 43212, United States",allvera.com
PALOMA,https://www.google.com/maps/place/PALOMA/data=!4m7!3m6!1s0x88388f6dc42fca21:0x72c56323335845bf!8m2!3d39.9883117!4d-83.038414!16s%2Fg%2F11j584502b!19sChIJIcovxG2POIgRv0VYMyNjxXI?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.7,176,+1 614-929-5434,"1197 W 5th Ave, Columbus, OH 43212, United States",experiencepaloma.com
Replenish: The Spa Co-op,https://www.google.com/maps/place/Replenish:+The+Spa+Co-op/data=!4m7!3m6!1s0x883888cc42a844f9:0x850ad18e12f35de8!8m2!3d39.9611411!4d-82.9862584!16s%2Fg%2F1wnbyp6w!19sChIJ-USoQsyIOIgR6F3zEo7RCoU?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.9,106,+1 614-429-3165,"124 S Washington Ave, Columbus, OH 43215, United States",replenishwith.us
Open Sky Day Spa,https://www.google.com/maps/place/Open+Sky+Day+Spa/data=!4m7!3m6!1s0x88388d580f22daa5:0xa79b641f36c30406!8m2!3d40.0510283!4d-82.9996667!16s%2Fg%2F11sx4xj8y_!19sChIJpdoiD1iNOIgRBgTDNh9km6c?authuser=0&hl=en&rclk=1,Spas in Columbus Ohio,4.8,23,+1 614-486-4520,"4218 Indianola Ave, Columbus, OH 43214, United States",openskydayspa.com
