Name,URL,Query,Rating,Reviews,Phone,Address,Website
Woodhouse Spa- Bottleworks,https://www.google.com/maps/place/Woodhouse+Spa-+Bottleworks/data=!4m7!3m6!1s0x886b51bc0d12efe5:0xe88f40636eb9b4ff!8m2!3d39.7803256!4d-86.1433432!16s%2Fg%2F11mpd7jpw5!19sChIJ5e8SDbxRa4gR_7S5bmNAj-g?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.4,157,+1 317-981-8888,"850 Massachusetts Ave Suite 140, Indianapolis, IN 46204, United States",indianapolis.woodhousespas.com
Conrad Spa Indianapolis,https://www.google.com/maps/place/Conrad+Spa+Indianapolis/data=!4m7!3m6!1s0x886b51c61ab02dad:0x44083ee6350319eb!8m2!3d39.7673096!4d-86.1593775!16s%2Fg%2F11s152dmbl!19sChIJrS2wGsZRa4gR6xkDNeY-CEQ?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.5,50,+1 317-524-2575,"50 W Washington St, Indianapolis, IN 46204, United States",hilton.com
Be Bliss Bodywork,https://www.google.com/maps/place/Be+Bliss+Bodywork/data=!4m7!3m6!1s0x886b4fed19d506dd:0xf30ec5f385e27a3!8m2!3d39.7686313!4d-86.155521!16s%2Fg%2F11dzz_dsm8!19sChIJ3QbVGe1Pa4gRoydeOF_sMA8?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.5,169,+1 317-762-6056,"120 E Market St, Indianapolis, IN 46204, United States",massagebook.com
Perfect Balance Day Spa,https://www.google.com/maps/place/Perfect+Balance+Day+Spa/data=!4m7!3m6!1s0x886b5bfdbe3ba783:0xbc1fb51c3106de4e!8m2!3d39.6888028!4d-86.148321!16s%2Fg%2F11gy4k_yyw!19sChIJg6c7vv1ba4gRTt4GMRy1H7w?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.9,162,+1 317-951-9226,"5401 S East St Ste 102, Indianapolis, IN 46227, United States",perfectbalancedayspa.net
U Spa,https://www.google.com/maps/place/U+Spa/data=!4m7!3m6!1s0x886b4f36a657d76f:0x49b5d0d812607e73!8m2!3d39.7741372!4d-86.0173009!16s%2Fg%2F11f5dhmmb3!19sChIJb9dXpjZPa4gRc35gEtjQtUk?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.0,44,+1 317-820-1980,"8520 E Washington St, Indianapolis, IN 46219, United States",-
Indy Massage Company,https://www.google.com/maps/place/Indy+Massage+Company/data=!4m7!3m6!1s0x886b525ab880a0ed:0x8313f3936027f4a0!8m2!3d39.9040549!4d-86.0889175!16s%2Fg%2F1pp2x9mgp!19sChIJ7aCAuFpSa4gRoPQnYJPzE4M?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.8,354,+1 317-288-0929,"4735 Statesmen Dr ste d, Indianapolis, IN 46250, United States",indymassagecompany.com
Tulip Foot Spa,https://www.google.com/maps/place/Tulip+Foot+Spa/data=!4m7!3m6!1s0x886b5cfa7d713e0b:0x6d8f268c6d4d5a6d!8m2!3d39.6382012!4d-86.1272489!16s%2Fg%2F1pp2x654d!19sChIJCz5xffpca4gRbVpNbYwmj20?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.6,303,+1 317-888-2222,"1955 E Stop 13 Rd, Indianapolis, IN 46227, United States",tulipfootspa.com
New King Spa,https://www.google.com/maps/place/New+King+Spa/data=!4m7!3m6!1s0x886b4f5db5b9e217:0x968f780a01461086!8m2!3d39.7514138!4d-86.0300511!16s%2Fg%2F11hz7jvts8!19sChIJF-K5tV1Pa4gRhhBGAQp4j5Y?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,3.9,25,+1 317-222-6243,"7802 Brookville Rd suite e, Indianapolis, IN 46239, United States",newkingspa.weebly.com
N Spa,https://www.google.com/maps/place/N+Spa/data=!4m7!3m6!1s0x886b49d969d2e89b:0xcc2f0c3ebd77d2b5!8m2!3d39.77374!4d-85.9885334!16s%2Fg%2F11f3wbf_pf!19sChIJm-jSadlJa4gRtdJ3vT4ML8w?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.7,94,+1 317-792-0350,"10057 E Washington St, Indianapolis, IN 46229, United States",nspaindiana.wixsite.com
Leaf & Limb + a tiny spa,https://www.google.com/maps/place/Leaf+%26+Limb+%2B+a+tiny+spa/data=!4m7!3m6!1s0x886b53af4843a205:0x8799b9bbd1959d98!8m2!3d39.8726945!4d-86.1442045!16s%2Fg%2F11b7qx4xmk!19sChIJBaJDSK9Ta4gRmJ2V0bu5mYc?authuser=0&hl=en&rclk=1,Spas in Indianapolis Indiana,4.9,35,+1 317-759-4220,"810 E 64th St, Indianapolis, IN 46220, United States",atinyspa.com
