Name,URL,Query,Rating,Reviews,Phone,Address,Website
The Spa Midtown,https://www.google.com/maps/place/The+Spa+Midtown/data=!4m7!3m6!1s0x87d57e0ca4e6db75:0x781cadc5632cb0a2!8m2!3d35.13833!4d-89.9902302!16s%2Fg%2F1ptw9v7qb!19sChIJddvmpAx-1YcRorAsY8WtHHg?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.9,108,+1 901-260-9640,"59 N Cooper St, Memphis, TN 38104, United States",thespamidtown.com
Amazing Hands Day Spa,https://www.google.com/maps/place/Amazing+Hands+Day+Spa/data=!4m7!3m6!1s0x887f9d59c5d5a60b:0x7f8a465b4b84fd03!8m2!3d35.2110189!4d-89.8402361!16s%2Fg%2F11bv3mq0yy!19sChIJC6bVxVmdf4gRA_2ES1tGin8?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.9,270,+1 901-402-9588,"3135 Kirby Whitten Rd Suite 103, Bartlett, TN 38134, United States",amazinghandsdayspa.com
Harbor Town Day Spa & Wellness Center,https://www.google.com/maps/place/Harbor+Town+Day+Spa+%26+Wellness+Center/data=!4m7!3m6!1s0x87d57ee7c9154a71:0x55788e8b80c2b5e!8m2!3d35.161167!4d-90.054259!16s%2Fg%2F1tgpt4dn!19sChIJcUoVyed-1YcRXisMuOiIVwU?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.8,121,+1 901-523-8772,"90 Harbor Town Square #101, Memphis, TN 38103, United States",harbortownspa.com
Feather's Spa at The Peabody Memphis,https://www.google.com/maps/place/Feather%27s+Spa+at+The+Peabody+Memphis/data=!4m7!3m6!1s0x87d57fd8767ff88f:0x9e5a6fa242355385!8m2!3d35.142642!4d-90.0519507!16s%2Fg%2F11pd794fw5!19sChIJj_h_dth_1YcRhVM1QqJvWp4?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.7,23,+1 901-529-4000,"149 Union Ave, Memphis, TN 38103, United States",peabodymemphis.com
A Beautiful You Medical Spa,https://www.google.com/maps/place/A+Beautiful+You+Medical+Spa/data=!4m7!3m6!1s0x887f84c634fd58e1:0xaccb85c8e17df946!8m2!3d35.0988713!4d-89.83812!16s%2Fg%2F1vxzbct5!19sChIJ4Vj9NMaEf4gRRvl94ciFy6w?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.8,742,+1 901-683-8220,"6750 Poplar Ave Suite 202, Memphis, TN 38138, United States",abeautifulyoumedicalspa.com
Living Health Day Spa,https://www.google.com/maps/place/Living+Health+Day+Spa/data=!4m7!3m6!1s0x887f84eb09eb1e49:0xed21411df844523!8m2!3d35.102112!4d-89.873255!16s%2Fg%2F1tczfnqk!19sChIJSR7rCeuEf4gRI0WE3xEU0g4?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.6,97,+1 901-507-2333,"5658 S Rex Rd STE 100, Memphis, TN 38119, United States",livinghealthdayspa.com
The Healing Point Massage Clinic - Memphis,https://www.google.com/maps/place/The+Healing+Point+Massage+Clinic+-+Memphis/data=!4m7!3m6!1s0x87d57e0cadc84d93:0xfaaa418b7dd07dff!8m2!3d35.1174024!4d-89.9909449!16s%2Fg%2F11g6pg4n32!19sChIJk03IrQx-1YcR_33QfYtBqvo?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.9,384,+1 901-275-8644,"1034 Cooper St, Memphis, TN 38104, United States",healingpointmassage.com
Massage Envy,https://www.google.com/maps/place/Massage+Envy/data=!4m7!3m6!1s0x87d57e04ed33cd17:0xc46582311f8585a6!8m2!3d35.1362055!4d-90.0058015!16s%2Fg%2F1tfx5f9y!19sChIJF80z7QR-1YcRpoWFHzGCZcQ?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.6,328,+1 901-276-1011,"1680 Union Ave Suite 111, Memphis, TN 38104, United States",locations.massageenvy.com
Calming Influence,https://www.google.com/maps/place/Calming+Influence/data=!4m7!3m6!1s0x887f80babb7d38a1:0xf032296667fa5e4c!8m2!3d35.138624!4d-89.9895249!16s%2Fg%2F1trvm5tg!19sChIJoTh9u7qAf4gRTF76Z2YpMvA?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,4.8,88,+1 901-276-9423,"74 N Cooper St, Memphis, TN 38104, United States",calminfluence.com
Isle Of Indulgence Spa,https://www.google.com/maps/place/Isle+Of+Indulgence+Spa/data=!4m7!3m6!1s0x8d667b8e91c1ec89:0xfbb0e774cb702726!8m2!3d35.1565388!4d-89.7852749!16s%2Fg%2F11tb6syzsk!19sChIJiezBkY57Zo0RJidwy3TnsPs?authuser=0&hl=en&rclk=1,Spas in Memphis Tennessee,5.0,159,+1 901-453-6855,"1143 Cully Rd Suite 102, Cordova, TN 38018, United States",isleofindulgencespa.com
