Name,URL,Query,Rating,Reviews,Phone,Address,Website
BeautyFix Medspa Flatiron,https://www.google.com/maps/place/BeautyFix+Medspa+Flatiron/data=!4m7!3m6!1s0x89c259a47486d0f9:0xa370ff61206d0cce!8m2!3d40.74163!4d-73.990519!16s%2Fg%2F11b8276_nc!19sChIJ-dCGdKRZwokRzgxtIGH_cKM?authuser=0&hl=en&rclk=1,Spas in New York New York,4.7,705,+1 212-366-4787,"18 W 23rd St 2nd floor, New York, NY 10010, United States",beautyfixmedspa.com
Equinox Hotel New York,https://www.google.com/maps/place/Equinox+Hotel+New+York/data=!4m10!3m9!1s0x89c259e8dd44e27f:0x10324bfc60110a5e!5m2!4m1!1i2!8m2!3d40.7546506!4d-74.0022128!16s%2Fg%2F11fkkfc0th!19sChIJf-JE3ehZwokRXgoRYPxLMhA?authuser=0&hl=en&rclk=1,Spas in New York New York,4.4,498,+1 212-812-9200,"33 Hudson Yards, New York, NY 10001, United States",equinox-hotels.com
ZZ Day Spa,https://www.google.com/maps/place/ZZ+Day+Spa/data=!4m7!3m6!1s0x89c259b298a05353:0x4c6d9b216ea0c480!8m2!3d40.7604884!4d-73.9706578!16s%2Fg%2F11gy77w9sw!19sChIJU1OgmLJZwokRgMSgbiGbbUw?authuser=0&hl=en&rclk=1,Spas in New York New York,4.9,2303,+1 212-904-1552,"120 E 56th St 2 Floor, New York, NY 10022, United States",zzdayspa.com
AIRE Ancient Baths New York · Tribeca,https://www.google.com/maps/place/AIRE+Ancient+Baths+New+York+%C2%B7+Tribeca/data=!4m7!3m6!1s0x89c25a206d5e73eb:0x7fb77b50ca8f3b9c!8m2!3d40.7181473!4d-74.00482!16s%2Fg%2F1hhwp_ssz!19sChIJ63NebSBawokRnDuPylB7t38?authuser=0&hl=en&rclk=1,Spas in New York New York,4.6,1907,+1 917-563-4542,"88 Franklin St, New York, NY 10013, United States",beaire.com
ZZ Day Spa,https://www.google.com/maps/place/ZZ+Day+Spa/data=!4m7!3m6!1s0x89c2597f6af76451:0xe7e38952a27fd005!8m2!3d40.7502624!4d-73.9842445!16s%2Fg%2F11spp_dlqr!19sChIJUWT3an9ZwokRBdB_olKJ4-c?authuser=0&hl=en&rclk=1,Spas in New York New York,4.9,720,+1 212-904-1552,"7 W 36th St. 7th Floor, New York, NY 10018, United States",zzdayspa.com
Ohm Spa,https://www.google.com/maps/place/Ohm+Spa/data=!4m7!3m6!1s0x89c259a63b7d0783:0x69fbee3e1e9aab28!8m2!3d40.734596!4d-73.985551!16s%2Fg%2F1vkxn5h6!19sChIJgwd9O6ZZwokRKKuaHj7u-2k?authuser=0&hl=en&rclk=1,Spas in New York New York,4.8,162,+1 212-845-9812,"205 E 16th St 2nd floor, New York, NY 10003, United States",ohmspa.com
Renew Day Spa,https://www.google.com/maps/place/Renew+Day+Spa/data=!4m7!3m6!1s0x89c25a27b094b883:0x992e353a8f0a4290!8m2!3d40.714422!4d-73.9976142!16s%2Fg%2F1tpn3h2r!19sChIJg7iUsCdawokRkEIKjzo1Lpk?authuser=0&hl=en&rclk=1,Spas in New York New York,4.9,3200,+1 212-227-9488,"10 Bowery 2nd floor, New York, NY 10013, United States",renewdayspa.onbuildhealth.com
"The Spa at Mandarin Oriental, New York","https://www.google.com/maps/place/The+Spa+at+Mandarin+Oriental,+New+York/data=!4m7!3m6!1s0x89c258f61de5cd2f:0x2bbf006d2ba66fd0!8m2!3d40.7688051!4d-73.983068!16s%2Fg%2F1ttpc6hq!19sChIJL83lHfZYwokR0G-mK20Avys?authuser=0&hl=en&rclk=1",Spas in New York New York,4.3,61,+1 212-805-8880,"80 Columbus Cir, New York, NY 10023, United States",mandarinoriental.com
Haven,https://www.google.com/maps/place/Haven/data=!4m7!3m6!1s0x89c2598ef9a4a59d:0x2f27b10c3a8e0226!8m2!3d40.7284936!4d-73.9952189!16s%2Fg%2F1tdmqzry!19sChIJnaWk-Y5ZwokRJgKOOgyxJy8?authuser=0&hl=en&rclk=1,Spas in New York New York,4.6,363,+1 212-343-3515,"250 Mercer St, New York, NY 10012, United States",havenspa.nyc
QC NY SPA,https://www.google.com/maps/place/QC+NY+SPA/data=!4m7!3m6!1s0x89c25b5b8ec50ce9:0x26a35cd1d1d3886!8m2!3d40.6927471!4d-74.0178168!16s%2Fg%2F11nx3sq6vx!19sChIJ6QzFjltbwokRhjgdHc01agI?authuser=0&hl=en&rclk=1,Spas in New York New York,4.0,1302,+1 646-402-9647,"Governors Island, 112 Andes Rd, New York, NY 10004, United States",qcny.com
Eden Med Spa,https://www.google.com/maps/place/Eden+Med+Spa/data=!4m7!3m6!1s0x89c25a209d21b187:0xd79b1dc661e65f38!8m2!3d40.7182564!4d-74.002682!16s%2Fg%2F1tsr43jy!19sChIJh7EhnSBawokROF_mYcYdm9c?authuser=0&hl=en&rclk=1,Spas in New York New York,4.5,246,+1 212-226-0515,"388 Broadway # 1, New York, NY 10013, United States",edenmedspany.com
Great Jones Spa,https://www.google.com/maps/place/Great+Jones+Spa/data=!4m7!3m6!1s0x89c2599aca9d9ca1:0x1de99c819678864b!8m2!3d40.7269783!4d-73.9932774!16s%2Fg%2F1tdzs19g!19sChIJoZydyppZwokRS4Z4loGc6R0?authuser=0&hl=en&rclk=1,Spas in New York New York,4.1,412,+1 212-505-3185,"29 Great Jones St, New York, NY 10012, United States",gjspa.com
Oasis Day Spa,https://www.google.com/maps/place/Oasis+Day+Spa/data=!4m7!3m6!1s0x89c25907ea1ef903:0xe4a0420198c04d76!8m2!3d40.7459158!4d-73.9815497!16s%2Fg%2F1hc2_8vw4!19sChIJA_ke6gdZwokRdk3AmAFCoOQ?authuser=0&hl=en&rclk=1,Spas in New York New York,4.5,403,+1 212-254-7722,"1 Park Ave, New York, NY 10016, United States",oasisdayspanyc.com
"The Ritz-Carlton Spa New York, NoMad","https://www.google.com/maps/place/The+Ritz-Carlton+Spa+New+York,+NoMad/data=!4m7!3m6!1s0x89c259bec98cd0a1:0xff4045547a18c3d8!8m2!3d40.7455382!4d-73.9888515!16s%2Fg%2F11jsf8dpn2!19sChIJodCMyb5ZwokR2MMYelRFQP8?authuser=0&hl=en&rclk=1",Spas in New York New York,4.6,21,+1 212-404-8430,"25 W 28th St, New York, NY 10001, United States",ritzcarlton.com
Nuansa Spa,https://www.google.com/maps/place/Nuansa+Spa/data=!4m7!3m6!1s0x89c258fe9b7ed0d7:0xa28cd628cb79395c!8m2!3d40.757549!4d-73.977514!16s%2Fg%2F11b7467zzk!19sChIJ19B-m_5YwokRXDl5yyjWjKI?authuser=0&hl=en&rclk=1,Spas in New York New York,4.7,150,+1 212-602-1500,"605 5th Ave, New York, NY 10017, United States",nuansaspa.com
NYC Massage and Spa,https://www.google.com/maps/place/NYC+Massage+and+Spa/data=!4m7!3m6!1s0x89c2585dd7171ac1:0x8bdaa0ecc47e541c!8m2!3d40.75764!4d-73.9795423!16s%2Fg%2F1tmbx0fm!19sChIJwRoX111YwokRHFR-xOyg2os?authuser=0&hl=en&rclk=1,Spas in New York New York,4.5,92,+1 212-729-1479,"22 W 48th St #704, New York, NY 10036, United States",nycmassageandspa.com
JUVENEX SPA,https://www.google.com/maps/place/JUVENEX+SPA/data=!4m7!3m6!1s0x89c259a8e05909d5:0x8b1b7e8b9fd57e2d!8m2!3d40.747929!4d-73.986776!16s%2Fg%2F1tk640sq!19sChIJ1QlZ4KhZwokRLX7Vn4t-G4s?authuser=0&hl=en&rclk=1,Spas in New York New York,3.9,509,+1 646-733-1330,"25 W 32nd St, New York, NY 10001, United States",juvenexspanyc.com
Tribeca Spa of Tranquility | Korean Body scrub NYC,https://www.google.com/maps/place/Tribeca+Spa+of+Tranquility+%7C+Korean+Body+scrub+NYC/data=!4m7!3m6!1s0x89c2591162eb2f5f:0x54cf6664c65d30a5!8m2!3d40.7238433!4d-74.0095954!16s%2Fg%2F1tdbxp60!19sChIJXy_rYhFZwokRpTBdxmRmz1Q?authuser=0&hl=en&rclk=1,Spas in New York New York,4.5,239,+1 212-226-4141,"462 Greenwich St, New York, NY 10013, United States",tribecaspa.nyc
Renew Day Spa 2,https://www.google.com/maps/place/Renew+Day+Spa+2/data=!4m7!3m6!1s0x89c25a2658666631:0xdea9bee61ee8e03!8m2!3d40.7169289!4d-73.9959781!16s%2Fg%2F11hb9bk78m!19sChIJMWZmWCZawokRA47uYe6b6g0?authuser=0&hl=en&rclk=1,Spas in New York New York,5.0,3516,+1 212-510-8930,"78 Bowery 1st Floor, New York, NY 10013, United States",renewdayspa2.onbuildhealth.com
Rescue Spa,https://www.google.com/maps/place/Rescue+Spa/data=!4m7!3m6!1s0x89c259a22962f0ab:0xb637929f06b03e9e!8m2!3d40.7383571!4d-73.9891193!16s%2Fg%2F11gbf8r2rk!19sChIJq_BiKaJZwokRnj6wBp-SN7Y?authuser=0&hl=en&rclk=1,Spas in New York New York,4.5,259,+1 866-772-2766,"29 E 19th St, New York, NY 10003, United States",rescuespa.com
Spa Castle,https://www.google.com/maps/place/Spa+Castle/data=!4m7!3m6!1s0x89c28ab3ec6c3ef7:0x75a06703ec0d0aed!8m2!3d40.787472!4d-73.8369663!16s%2Fg%2F1vb9d_2c!19sChIJ9z5s7LOKwokR7QoN7ANnoHU?authuser=0&hl=en&rclk=1,Spas in New York New York,3.9,6870,+1 718-939-6300,"131-10 11th Ave, College Point, NY 11356, United States",ny.spacastleusa.com
