Name,URL,Query,Rating,Reviews,Phone,Address,Website
Skin and Body Solutions,https://www.google.com/maps/place/Skin+and+Body+Solutions/data=!4m7!3m6!1s0x89c41ec9ecd222f9:0xf5413816d5f3acf2!8m2!3d40.4093393!4d-75.2734109!16s%2Fg%2F11cmhkx8gr!19sChIJ-SLS7MkexIkR8qzz1RY4QfU?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,5.0,21,+1 267-446-8722,"2020 Three Mile Run Rd, Perkasie, PA 18944, United States",skinandbodysolutionsspa.com
Reiki Waves - Reiki Healing & Massage Therapy,https://www.google.com/maps/place/Reiki+Waves+-+Reiki+Healing+%26+Massage+Therapy/data=!4m7!3m6!1s0x89c6f1e38e28f07f:0x3614c170d550171c!8m2!3d39.8857746!4d-75.5352215!16s%2Fg%2F11j6_605yk!19sChIJf_AojuPxxokRHBdQ1XDBFDY?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,5.0,36,-,"975 Baltimore Pike Suite 7A, Glen Mills, PA 19342, United States",reikiwavesmassage.com
Rescue Spa,https://www.google.com/maps/place/Rescue+Spa/data=!4m7!3m6!1s0x89c6c63a59762d31:0xb8eeac826ddcb091!8m2!3d39.9504289!4d-75.1712114!16s%2Fg%2F1vn9q0wg!19sChIJMS12WTrGxokRkbDcbYKs7rg?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.6,294,+1 866-772-2766,"1811 Walnut St, Philadelphia, PA 19103, United States",rescuespa.com
Heaven Spa (PHILADELPHIA),https://www.google.com/maps/place/Heaven+Spa+%28PHILADELPHIA%29/data=!4m7!3m6!1s0x89c6b0c3e381fd9f:0x2182529de90c30c8!8m2!3d40.0903341!4d-75.1243457!16s%2Fg%2F1wn_71b_!19sChIJn_2B48OwxokRyDAM6Z1SgiE?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.8,827,+1 215-576-7000,"261 Old York Rd Level, Jenkintown, PA 19046, United States",heaven-spa.com
The Underground Spa & Wellness at The Logan Hotel,https://www.google.com/maps/place/The+Underground+Spa+%26+Wellness+at+The+Logan+Hotel/data=!4m7!3m6!1s0x89c6c633bdd9a237:0x83ccf5163df2fbc2!8m2!3d39.9566039!4d-75.1696426!16s%2Fg%2F11gbl27l55!19sChIJN6LZvTPGxokRwvvyPRb1zIM?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.5,116,+1 215-405-2815,"One Logan Square, Philadelphia, PA 19103, United States",theloganhotel.com
Body Restoration Spa,https://www.google.com/maps/place/Body+Restoration+Spa/data=!4m7!3m6!1s0x89c6c6573540a655:0x347cb4c39e292640!8m2!3d39.9500227!4d-75.1680133!16s%2Fg%2F1ttphvpy!19sChIJVaZANVfGxokRQCYpnsO0fDQ?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.8,289,+1 215-569-9599,"1611 Walnut St, Philadelphia, PA 19103, United States",bodyrest.com
eviama life,https://www.google.com/maps/place/eviama+life/data=!4m7!3m6!1s0x89c6c63ae5c7cdc7:0xc5519ed11335c4bb!8m2!3d39.9501771!4d-75.161666!16s%2Fg%2F1td4qnsj!19sChIJx83H5TrGxokRu8Q1E9GeUcU?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.7,105,+1 215-545-3344,"courtyard, 109 S 13th St 2nd floor, Philadelphia, PA 19107, United States",eviama.com
Nirvana Wellness Med Spa & Beauty,https://www.google.com/maps/place/Nirvana+Wellness+Med+Spa+%26+Beauty/data=!4m7!3m6!1s0x89c6c9d721b2e55f:0x38019d06e34dd50c!8m2!3d39.9646897!4d-75.1403244!16s%2Fg%2F11jlmlcjjw!19sChIJX-WyIdfJxokRDNVN4wadATg?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.8,165,+1 267-764-2835,"925 N 2nd St, Philadelphia, PA 19123, United States",nirvanawellnessmedspa.com
The Rittenhouse Spa & Club,https://www.google.com/maps/place/The+Rittenhouse+Spa+%26+Club/data=!4m7!3m6!1s0x89c6c639e44edd23:0xa0babfab0ab0d838!8m2!3d39.9499125!4d-75.1736448!16s%2Fg%2F11bbw_z271!19sChIJI91O5DnGxokRONiwCqu_uqA?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.2,120,+1 215-790-2500,"210 W Rittenhouse Square, Philadelphia, PA 19103, United States",therittenhousespaclub.com
Fabriq Spa,https://www.google.com/maps/place/Fabriq+Spa/data=!4m7!3m6!1s0x89c6c89f276e4add:0x5493e8fd338851f9!8m2!3d39.9397825!4d-75.1497154!16s%2Fg%2F1wt3pcqc!19sChIJ3UpuJ5_IxokR-VGIM_3ok1Q?authuser=0&hl=en&rclk=1,Spas in Philadelphia Pennsylvania,4.9,50,+1 215-922-3235,"728 S 4th St, Philadelphia, PA 19147, United States",fabriqspa.com
