Name,URL,Query,Rating,Reviews,Phone,Address,Website
Six Flags Great America,https://www.google.com/maps/place/Six+Flags+Great+America/data=!4m7!3m6!1s0x880f9205a4923b45:0x13ba4d442c660b60!8m2!3d42.3706208!4d-87.9360261!16zL20vMDQxNjZj!19sChIJRTuSpAWSD4gRYAtmLERNuhM?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.4,29132,+1 847-249-1776,"1 Great America Parkway, Gurnee, IL 60031, United States",sixflags.com
Safari Land,https://www.google.com/maps/place/Safari+Land/data=!4m7!3m6!1s0x880fb2b4622f434d:0x84d60df6009f355a!8m2!3d41.9040866!4d-87.9962483!16s%2Fg%2F1vfn77hc!19sChIJTUMvYrSyD4gRWjWfAPYN1oQ?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.2,1935,+1 630-530-4649,"701 W North Ave, Villa Park, IL 60181, United States",safarilandfun.com
Amazing Chicago's Funhouse Maze,https://www.google.com/maps/place/Amazing+Chicago%27s+Funhouse+Maze/data=!4m7!3m6!1s0x880e2b52643f778f:0xb6598ce3dcd125c8!8m2!3d41.8914665!4d-87.6051762!16s%2Fg%2F1td_5s20!19sChIJj3c_ZFIrDogRyCXR3OOMWbY?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.2,292,+1 312-595-5375,"600 E Grand Ave, Chicago, IL 60611, United States",amazingchicago.com
Water Playground,https://www.google.com/maps/place/Water+Playground/data=!4m7!3m6!1s0x880fd31f0dc42497:0x489e611ce6b59474!8m2!3d41.9171228!4d-87.6551328!16s%2Fg%2F1yglt6p_8!19sChIJlyTEDR_TD4gRdJS15hxhnkg?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.5,11,+1 312-742-7787,"1919 N Seminary Ave, Chicago, IL 60614, United States",chicagoparkdistrict.com
Santa’s Village Amusement & Water Park,https://www.google.com/maps/place/Santa%E2%80%99s+Village+Amusement+%26+Water+Park/data=!4m7!3m6!1s0x880f0f3bc1aab391:0x6dfe54390feb0b6e!8m2!3d42.091242!4d-88.26029!16s%2Fm%2F02q3931!19sChIJkbOqwTsPD4gRbgvrDzlU_m0?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.5,3442,+1 847-426-6751,"601 Dundee Ave, East Dundee, IL 60118, United States",santasvillagedundee.com
Haunted Trails Family Entertainment Center (Burbank),https://www.google.com/maps/place/Haunted+Trails+Family+Entertainment+Center+%28Burbank%29/data=!4m7!3m6!1s0x880e3768bd8c1b75:0x24d5e5f08a66b074!8m2!3d41.7502746!4d-87.7993773!16s%2Fg%2F1tgh3kql!19sChIJdRuMvWg3DogRdLBmivDl1SQ?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.3,2212,+1 708-598-8580,"7759 S Harlem Ave, Burbank, IL 60459, United States",hauntedtrailsburbank.com
Water Park,https://www.google.com/maps/place/Water+Park/data=!4m7!3m6!1s0x880fca3385e9665f:0xcbdd8f7ba8cec86d!8m2!3d41.9638226!4d-87.8186801!16s%2Fg%2F11ggbljnfn!19sChIJX2bphTPKD4gRbcjOqHuP3cs?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.2,44,+1 708-457-1244,"Harwood Heights, IL 60706, United States",norridgepk.com
In The Game Hollywood Park,https://www.google.com/maps/place/In+The+Game+Hollywood+Park/data=!4m7!3m6!1s0x880e3c781e647e03:0xfca00b54c13a0cbb!8m2!3d41.6559118!4d-87.7473954!16s%2Fg%2F1tgcyn7n!19sChIJA35kHng8DogRuww6wVQLoPw?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.3,1877,+1 708-389-7275,"5051 Cal Sag Rd, Crestwood, IL 60418, United States",crestwood.inthegame.net
"Crestwood, IL Hollywood Park Go Carts","https://www.google.com/maps/place/Crestwood,+IL+Hollywood+Park+Go+Carts/data=!4m7!3m6!1s0x880e3d731a0743e5:0x670d318bef1e192!8m2!3d41.6561913!4d-87.7476552!16s%2Fg%2F11ft8hn34p!19sChIJ5UMHGnM9DogRkuHxvhjTcAY?authuser=0&hl=en&rclk=1",Theme parks in Chicago Illinois,4.4,5,-,"5011 Cal Sag Rd, Crestwood, IL 60445, United States",-
The Forge Adventure Park & Ziplines,https://www.google.com/maps/place/The+Forge+Adventure+Park+%26+Ziplines/data=!4m7!3m6!1s0x880e450d4cdb169d:0xf73b748170c02e78!8m2!3d41.6793569!4d-87.9883851!16s%2Fg%2F11fszhs5s1!19sChIJnRbbTA1FDogReC7AcIF0O_c?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.5,1145,-,"227 Heritage Quarries Dr, Lemont, IL 60439, United States",forgeparks.com
Pirates' Cove Children's Theme Park,https://www.google.com/maps/place/Pirates%27+Cove+Children%27s+Theme+Park/data=!4m7!3m6!1s0x880fae20447fdf7f:0x1d52cc63eb0bce58!8m2!3d42.0022583!4d-88.0117663!16s%2Fg%2F1tcv20td!19sChIJf99_RCCuD4gRWM4L62PMUh0?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.6,657,+1 847-439-2683,"901 Leicester Rd, Elk Grove Village, IL 60007, United States",elkgroveparks.org
Wave Swinger,https://www.google.com/maps/place/Wave+Swinger/data=!4m7!3m6!1s0x880e2b4d90a8f9e5:0x6f3a2c0feed01379!8m2!3d41.8917104!4d-87.6078374!16s%2Fg%2F1tqyg271!19sChIJ5fmokE0rDogReRPQ7g8sOm8?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.8,20,+1 708-539-6234,"600 E Grand Ave, Chicago, IL 60611, United States",-
Play and Spin,https://www.google.com/maps/place/Play+and+Spin/data=!4m7!3m6!1s0x880fc8d8d48d4329:0x577ea9aaa8c9a807!8m2!3d42.0195676!4d-87.7900945!16s%2Fg%2F11fy_845y0!19sChIJKUON1NjID4gRB6jJqKqpflc?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,3.9,933,+1 847-324-9721,"7631 N Caldwell Ave, Niles, IL 60714, United States",playandspin.com
Great Wolf Lodge Water Park | Illinois,https://www.google.com/maps/place/Great+Wolf+Lodge+Water+Park+%7C+Illinois/data=!4m10!3m9!1s0x880f8e1aef2b855b:0x6415b9d50bcb823c!5m2!4m1!1i2!8m2!3d42.3836168!4d-87.9447157!16s%2Fm%2F05f66lb!19sChIJW4Ur7xqOD4gRPILLC9W5FWQ?authuser=0&hl=en&rclk=1,Theme parks in Chicago Illinois,4.1,7718,+1 847-623-9653,"1700 Nations Dr, Gurnee, IL 60031, United States",greatwolf.com
