Name,URL,Query,Rating,Reviews,Phone,Address,Website
Houston Funplex,https://www.google.com/maps/place/Houston+Funplex/data=!4m7!3m6!1s0x8640ddeb31c63827:0xdb3c67eda26fc34d!8m2!3d29.6896328!4d-95.6252149!16s%2Fg%2F1tdf1r90!19sChIJJzjGMevdQIYRTcNvou1nPNs?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,3.7,4844,+1 281-530-7777,"13700 Beechnut St, Houston, TX 77083, United States",houstonfunplex.com
Kemah Boardwalk,https://www.google.com/maps/place/Kemah+Boardwalk/data=!4m7!3m6!1s0x863f6302909a68fb:0x30a8c580ef2a10bb!8m2!3d29.5473219!4d-95.0202048!16zL20vMDN5bnIy!19sChIJ-2iakAJjP4YRuxAq74DFqDA?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.5,36328,+1 281-535-8100,"215 Kipp Ave, Kemah, TX 77565, United States",kemahboardwalk.com
Grand Texas,https://www.google.com/maps/place/Grand+Texas/data=!4m7!3m6!1s0x864751acdf5ca063:0x630069c1eeda547!8m2!3d30.1971374!4d-95.2007084!16s%2Fm%2F0z6twl3!19sChIJY6Bc36xRR4YRR6XtHpwGMAY?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.2,396,-,"23065 TX-242, New Caney, TX 77357, United States",grandtx.com
Gator Bayou Adventure Park,https://www.google.com/maps/place/Gator+Bayou+Adventure+Park/data=!4m7!3m6!1s0x8647504c7e9d96ed:0xedfb56321d6fdbcb!8m2!3d30.1984076!4d-95.2004851!16s%2Fg%2F11ffv4f530!19sChIJ7ZadfkxQR4YRy9tvHTJW--0?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.1,49,-,"23211 TX-242, New Caney, TX 77357, United States",bigriverswaterpark.com
Wildlife Carousel,https://www.google.com/maps/place/Wildlife+Carousel/data=!4m7!3m6!1s0x8640bf8814f38161:0x97ede9e52e266365!8m2!3d29.7129324!4d-95.3927833!16s%2Fg%2F11b6zp4zfk!19sChIJYYHzFIi_QIYRZWMmLuXp7Zc?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.7,43,+1 713-533-6500,"6200 Hermann Park Dr, Houston, TX 77030, United States",houstonzoo.org
Geronimo Adventure Park,https://www.google.com/maps/place/Geronimo+Adventure+Park/data=!4m7!3m6!1s0x8647334e022eb3c9:0x304e192f35b158f6!8m2!3d30.0704174!4d-95.5269546!16s%2Fg%2F11hffqz_rg!19sChIJybMuAk4zR4YR9lixNS8ZTjA?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.9,1000,+1 830-365-5867,"6749 Farm to Market 2920, Spring, TX 77379, United States",geronimoadventurepark.com
iRise Trampoline & Fun Park,https://www.google.com/maps/place/iRise+Trampoline+%26+Fun+Park/data=!4m7!3m6!1s0x8640cde7cfaa2ba5:0x72ed87ee9019e8fb!8m2!3d29.9608188!4d-95.5429179!16s%2Fg%2F11f3mbsjy7!19sChIJpSuqz-fNQIYR--gZkO6H7XI?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.3,1008,+1 713-242-1240,"7885 Farm to Market 1960 Rd W, Houston, TX 77070, United States",irisepark.com
Big Rivers Waterpark & Adventures,https://www.google.com/maps/place/Big+Rivers+Waterpark+%26+Adventures/data=!4m7!3m6!1s0x864751b5ac20743b:0xc4c8c7e23d2dd627!8m2!3d30.1960545!4d-95.1995318!16s%2Fg%2F11hd6whlqm!19sChIJO3QgrLVRR4YRJ9YtPeLHyMQ?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.2,2276,+1 832-509-1556,"23101 TX-242, New Caney, TX 77357, United States",bigriverswaterpark.com
Flip N' Fun Trampoline Park,https://www.google.com/maps/place/Flip+N%27+Fun+Trampoline+Park/data=!4m7!3m6!1s0x8640cc23b3a5de91:0x523bd627fb4aad26!8m2!3d29.9588144!4d-95.5001087!16s%2Fg%2F11c1wz2325!19sChIJkd6lsyPMQIYRJq1K-yfWO1I?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.3,878,+1 832-602-5400,"5379 W Richey Rd, Houston, TX 77066, United States",flipnfuncenter.com
Dig World,https://www.google.com/maps/place/Dig+World/data=!4m7!3m6!1s0x8641270cd6d3dd6f:0x22a024f53064da9a!8m2!3d29.7789773!4d-95.8096795!16s%2Fg%2F11rwq94hgm!19sChIJb93T1gwnQYYRmtpkMPUkoCI?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.6,545,+1 346-435-8888,"5000 Katy Mills Cir, Katy, TX 77494, United States",digworldtx.com
Jumping World,https://www.google.com/maps/place/Jumping+World/data=!4m7!3m6!1s0x8640cf87a72104db:0x7bb7013867dee7ad!8m2!3d29.8591467!4d-95.5266655!16s%2Fg%2F11_fkyqkr!19sChIJ2wQhp4fPQIYRrefeZzgBt3s?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.1,1671,+1 713-996-7811,"14147 Northwest Fwy, Houston, TX 77040, United States",jwentertainment.com
Sky Sports Trampoline Park Houston,https://www.google.com/maps/place/Sky+Sports+Trampoline+Park+Houston/data=!4m7!3m6!1s0x8640dc21542363af:0x43c3fc8bc31d9b8d!8m2!3d29.7325592!4d-95.6409072!16s%2Fg%2F11clyp6bnw!19sChIJr2MjVCHcQIYRjZsdw4v8w0M?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.1,1079,+1 281-529-6462,"14409 Parkhollow Dr, Houston, TX 77082, United States",skysportsusa.com
Hermann Park Railroad,https://www.google.com/maps/place/Hermann+Park+Railroad/data=!4m7!3m6!1s0x8640bf868ea8902d:0xcc24bd1b424d491b!8m2!3d29.7168713!4d-95.3895547!16s%2Fg%2F1yg58n5d6!19sChIJLZCojoa_QIYRG0lNQhu9JMw?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.7,815,+1 713-524-5876,"6102 Hermann Park Dr, Houston, TX 77030, United States",hermannpark.org
Urban Air Trampoline and Adventure Park,https://www.google.com/maps/place/Urban+Air+Trampoline+and+Adventure+Park/data=!4m7!3m6!1s0x8640d13e5a89961b:0x2cd0ca7cffe202b8!8m2!3d29.9216421!4d-95.6232569!16s%2Fg%2F11cs04r4wj!19sChIJG5aJWj7RQIYRuALi_3zK0Cw?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.1,1512,+1 832-447-1278,"20502 Hempstead Rd Suite 110, Houston, TX 77065, United States",urbanair.com
Kemah Waterfront,https://www.google.com/maps/place/Kemah+Waterfront/data=!4m7!3m6!1s0x863f6302909a68fb:0x8dbd03e7899aa80!8m2!3d29.5453774!4d-95.0172949!16s%2Fg%2F1tlbpjg4!19sChIJ-2iakAJjP4YRgKqZeD7Q2wg?authuser=0&hl=en&rclk=1,Theme parks in Houston Texas,4.4,125,+1 281-334-8902,"701 4th St, Kemah, TX 77565, United States",kemahboardwalk.com
