Name,URL,Query,Rating,Reviews,Phone,Address,Website
Universal Studios Hollywood,https://www.google.com/maps/place/Universal+Studios+Hollywood/data=!4m7!3m6!1s0x80c2be4f253238cf:0xd3dd5027799c9a71!8m2!3d34.1370713!4d-118.3533061!16zL20vMDVxc3k4!19sChIJzzgyJU--woARcZqceSdQ3dM?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.6,158494,+1 800-864-8377,"100 Universal City Plaza, Universal City, CA 91608, United States",universalstudioshollywood.com
Six Flags Magic Mountain,https://www.google.com/maps/place/Six+Flags+Magic+Mountain/data=!4m7!3m6!1s0x80c280a5bffa65c5:0x8f03c1443c734740!8m2!3d34.4249209!4d-118.5958464!16zL20vMDN6bGg3!19sChIJxWX6v6WAwoARQEdzPETBA48?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.5,47841,+1 661-255-4100,"26101 Magic Mountain Pkwy, Valencia, CA 91355, United States",sixflags.com
Super Silly Fun Land,https://www.google.com/maps/place/Super+Silly+Fun+Land/data=!4m7!3m6!1s0x80c2be48ecf02895:0x1eeb7a862aa34801!8m2!3d34.1386905!4d-118.35644!16s%2Fg%2F11c20919g_!19sChIJlSjw7Ei-woARAUijKoZ66x4?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.6,846,+1 800-864-8377,"100 Universal City Plaza, Studio City, CA 91602, United States",universalstudioshollywood.com
Pacific Park on the Santa Monica Pier,https://www.google.com/maps/place/Pacific+Park+on+the+Santa+Monica+Pier/data=!4m7!3m6!1s0x80c2c0f737432875:0x2b6a866c1e701b95!8m2!3d34.008576!4d-118.498101!16zL20vMGZiemNk!19sChIJdShDN_fAwoARlRtwHmyGais?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.6,13793,+1 310-260-8744,"380 Santa Monica Pier, Santa Monica, CA 90401, United States",pacpark.com
Disneyland Park,https://www.google.com/maps/place/Disneyland+Park/data=!4m7!3m6!1s0x80dcd7d12b3b5e6b:0x2ef62f8418225cfa!8m2!3d33.8120918!4d-117.9189742!16zL20vMDJmenM!19sChIJa147K9HX3IAR-lwiGIQv9i4?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.6,115770,+1 714-781-4636,"Anaheim, CA 92802, United States",disneyland.disney.go.com
Springfield U.S.A,https://www.google.com/maps/place/Springfield+U.S.A/data=!4m7!3m6!1s0x80c2be491cf35709:0x246ca6cec2d980d!8m2!3d34.1392391!4d-118.3546893!16s%2Fg%2F11cs5_d5x3!19sChIJCVfzHEm-woARDZgt7GzKRgI?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.7,93,-,"49 Production Plaza, North Hollywood, CA 91602, United States",-
The Wizarding World of Harry Potter,https://www.google.com/maps/place/The+Wizarding+World+of+Harry+Potter/data=!4m7!3m6!1s0x80c2be49258fcd69:0x907f5454583f35eb!8m2!3d34.1382828!4d-118.3532976!16s%2Fm%2F0hnbzm2!19sChIJac2PJUm-woAR6zU_WFRUf5A?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.7,8548,+1 800-864-8377,"100 Universal City Plaza, Universal City, CA 91608, United States",universalstudioshollywood.com
Boney Island,https://www.google.com/maps/place/Boney+Island/data=!4m7!3m6!1s0x80c2bfbc634e2ef9:0x4119245c34760298!8m2!3d34.0176125!4d-118.2884981!16s%2Fg%2F11gty2f_91!19sChIJ-S5OY7y_woARmAJ2NFwkGUE?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,3.9,23,+1 213-763-3466,"900 Exposition Blvd, Los Angeles, CA 90007, United States",nhm.org
Hogsmeade,https://www.google.com/maps/place/Hogsmeade/data=!4m7!3m6!1s0x80c2be4922f33829:0x663cd5d52f07c9a!8m2!3d34.1387329!4d-118.3543839!16s%2Fg%2F11dx929z7l!19sChIJKTjzIkm-woARmnzwUl3NYwY?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.9,62,-,"4426 Main Way Universal, North Hollywood, CA 91602, United States",-
Knott's Berry Farm,https://www.google.com/maps/place/Knott%27s+Berry+Farm/data=!4m7!3m6!1s0x80dd295ff57f78a3:0xae8e394e901e3055!8m2!3d33.8443038!4d-118.0002265!16zL20vMDE3ejM3!19sChIJo3h_9V8p3YARVTAekE45jq4?authuser=0&hl=en&rclk=1,Theme parks in Los Angeles California,4.6,62235,+1 714-220-5200,"8039 Beach Blvd, Buena Park, CA 90620, United States",knotts.com
