Name,URL,Query,Rating,Reviews,Phone,Address,Website
Morgan's Wonderland,https://www.google.com/maps/place/Morgan%27s+Wonderland/data=!4m7!3m6!1s0x865c8ca6db6d0d5d:0xb4c78114419287d4!8m2!3d29.5391049!4d-98.3926044!16s%2Fm%2F0bwg69f!19sChIJXQ1t26aMXIYR1IeSQRSBx7Q?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.8,3898,+1 210-495-5888,"5223 David Edwards Dr, San Antonio, TX 78233, United States",morganswonderland.com
Six Flags Fiesta Texas,https://www.google.com/maps/place/Six+Flags+Fiesta+Texas/data=!4m7!3m6!1s0x865c65169b579e37:0x235fc0938c92ce9d!8m2!3d29.5993818!4d-98.6088838!16zL20vMDNzbTJz!19sChIJN55XmxZlXIYRnc6SjJPAXyM?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.3,33796,+1 210-697-5050,"San Antonio, TX 78257, United States",sixflags.com
SeaWorld San Antonio,https://www.google.com/maps/place/SeaWorld+San+Antonio/data=!4m7!3m6!1s0x865c4301d23bd773:0x7ae161f5e6cb8083!8m2!3d29.4562822!4d-98.6999612!16zL20vMGM3M2s4!19sChIJc9c70gFDXIYRg4DL5vVh4Xo?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.4,34086,+1 210-520-4732,"10500 SeaWorld Dr, San Antonio, TX 78251, United States",seaworld.com
Wonder World Cave & Adventure Park,https://www.google.com/maps/place/Wonder+World+Cave+%26+Adventure+Park/data=!4m7!3m6!1s0x865ca87f285d1da1:0xe9d13e038223526a!8m2!3d29.8777384!4d-97.9566054!16s%2Fm%2F02wwc9l!19sChIJoR1dKH-oXIYRalIjggM-0ek?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.6,1633,+1 512-392-6711,"1000 Prospect St, San Marcos, TX 78666, United States",wonderworldpark.com
Hemisfair,https://www.google.com/maps/place/Hemisfair/data=!4m7!3m6!1s0x865c58a9e14131e1:0x1f199c3677750778!8m2!3d29.4193306!4d-98.484005!16s%2Fg%2F1w0sd8qt!19sChIJ4TFB4alYXIYReAd1dzacGR8?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.6,15320,+1 210-709-4750,"434 S Alamo St, San Antonio, TX 78205, United States",hemisfair.org
The Rush Fun Park,https://www.google.com/maps/place/The+Rush+Fun+Park/data=!4m7!3m6!1s0x865c61171197395f:0x162ff23fb8be875a!8m2!3d29.5721446!4d-98.5457724!16s%2Fg%2F11k2vf2lfr!19sChIJXzmXERdhXIYRWoe-uD_yLxY?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.1,450,+1 210-757-4255,"14610 Huebner Rd, San Antonio, TX 78230, United States",rushfunpark.com
The Rush Fun Park,https://www.google.com/maps/place/The+Rush+Fun+Park/data=!4m7!3m6!1s0x865c59a8272f3669:0x59aae8cbbe770d1b!8m2!3d29.3556577!4d-98.4915353!16s%2Fg%2F11v0n897rd!19sChIJaTYvJ6hZXIYRGw13vsvoqlk?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.1,185,+1 210-441-7524,"114 SW Military Dr, San Antonio, TX 78221, United States",rushfunpark.com
Kiddie Park,https://www.google.com/maps/place/Kiddie+Park/data=!4m7!3m6!1s0x865cf5922116a2ab:0x15b981883de28972!8m2!3d29.4621943!4d-98.4734067!16s%2Fg%2F1ty74pj3!19sChIJq6IWIZL1XIYRconiPYiBuRU?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.4,1390,+1 210-734-7184,"3903 N St Mary's St, San Antonio, TX 78212, United States",kiddiepark.com
ZDT's Amusement Park,https://www.google.com/maps/place/ZDT%27s+Amusement+Park/data=!4m7!3m6!1s0x865cb824415c4855:0xd6821db8bc126734!8m2!3d29.5795103!4d-97.9666901!16s%2Fm%2F012brjb0!19sChIJVUhcQSS4XIYRNGcSvLgdgtY?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.6,1649,+1 830-386-0151,"301 W Kingsbury St, Seguin, TX 78155, United States",zdtamusement.com
White Water Bay,https://www.google.com/maps/place/White+Water+Bay/data=!4m7!3m6!1s0x865c668222cc7a2f:0xfef528a5aee6a159!8m2!3d29.6002651!4d-98.6098961!16s%2Fm%2F0136zdss!19sChIJL3rMIoJmXIYRWaHmrqUo9f4?authuser=0&hl=en&rclk=1,Theme parks in San Antonio Texas,4.2,71,-,"17000 W I-10, San Antonio, TX 78257, United States",sixflags.com
