Name,URL,Query,Rating,Reviews,Phone,Address,Website
SeaWorld San Diego,https://www.google.com/maps/place/SeaWorld+San+Diego/data=!4m7!3m6!1s0x80deaa60b159eb77:0xb8b8a676d2bbc3fe!8m2!3d32.7642958!4d-117.2264396!16zL20vMGM4Y2p3!19sChIJd-tZsWCq3oAR_sO70namuLg?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.4,48102,+1 619-222-4732,"500 Sea World Dr., San Diego, CA 92109, United States",seaworld.com
Belmont Park,https://www.google.com/maps/place/Belmont+Park/data=!4m7!3m6!1s0x80d954e299eb9719:0x146519427b49852f!8m2!3d32.7706735!4d-117.2516218!16zL20vMDlmN2hx!19sChIJGZfrmeJU2YARL4VJe0IZZRQ?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.6,16674,+1 858-488-1549,"3146 Mission Blvd, San Diego, CA 92109, United States",belmontpark.com
Mission Bay Park,https://www.google.com/maps/place/Mission+Bay+Park/data=!4m7!3m6!1s0x80deaa7c7e5dd6f5:0xa348d03e6305f723!8m2!3d32.7641067!4d-117.2262649!16s%2Fg%2F1tf_t54r!19sChIJ9dZdfnyq3oARI_cFYz7QSKM?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.6,24755,+1 619-525-8213,"San Diego, CA 92109, United States",sandiego.gov
LEGOLAND California,https://www.google.com/maps/place/LEGOLAND+California/data=!4m7!3m6!1s0x80dc73d69e231bf3:0x1ebc75741330f7d8!8m2!3d33.1262316!4d-117.310507!16zL20vMDJwYzA3!19sChIJ8xsjntZz3IAR2PcwE3R1vB4?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.5,35525,+1 888-690-5346,"One Legoland Dr, Carlsbad, CA 92008, United States",legoland.com
Pirates Cove,https://www.google.com/maps/place/Pirates+Cove/data=!4m7!3m6!1s0x80deab56eaafb029:0x65e9f876714bb383!8m2!3d32.770134!4d-117.2512515!16s%2Fg%2F11sg_wxzsb!19sChIJKbCv6lar3oARg7NLcXb46WU?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.8,25,-,"3106 Mission Blvd, San Diego, CA 92109, United States",specfoodequip.com
Waterfront Park,https://www.google.com/maps/place/Waterfront+Park/data=!4m7!3m6!1s0x80d954ad5d44a503:0x99bb37dd2b343cba!8m2!3d32.722281!4d-117.172761!16s%2Fg%2F11bbrhmfc1!19sChIJA6VEXa1U2YARujw0K903u5k?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.7,9168,+1 619-232-7275,"1600 Pacific Hwy, San Diego, CA 92101, United States",sdparks.org
Sesame Place San Diego,https://www.google.com/maps/place/Sesame+Place+San+Diego/data=!4m7!3m6!1s0x80d94f4b7962c827:0x666574aefb4b8043!8m2!3d32.58763!4d-117.0107593!16s%2Fg%2F1jkz93cjf!19sChIJJ8hieUtP2YARQ4BL-650ZWY?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.1,4848,+1 619-943-3566,"2052 Entertainment Cir, Chula Vista, CA 91911, United States",sesameplace.com
Journey to Atlantis,https://www.google.com/maps/place/Journey+to+Atlantis/data=!4m7!3m6!1s0x80deaa606000b38d:0x92ad4d0011584d0b!8m2!3d32.7639473!4d-117.2237973!16s%2Fg%2F11cnwf756k!19sChIJjbMAYGCq3oARC01YEQBNrZI?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.6,98,+1 619-222-4732,"500 Sea World Dr., San Diego, CA 92109, United States",seaworld.com
Giant Dipper Roller Coaster,https://www.google.com/maps/place/Giant+Dipper+Roller+Coaster/data=!4m7!3m6!1s0x80d954e299eb9719:0xf0fe57f2d4fe878b!8m2!3d32.7715084!4d-117.2516655!16zL20vMDVnamhj!19sChIJGZfrmeJU2YARi4f-1PJX_vA?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.5,565,+1 858-488-1549,"3146 Mission Blvd, San Diego, CA 92109, United States",belmontpark.com
Emperor,https://www.google.com/maps/place/Emperor/data=!4m7!3m6!1s0x80deab89781951eb:0xe4a61e11a0d15783!8m2!3d32.764051!4d-117.2224937!16s%2Fg%2F11j3y8sd15!19sChIJ61EZeImr3oARg1fRoBEepuQ?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.7,97,+1 619-222-4732,"500 Sea World Dr., San Diego, CA 92109, United States",seaworld.com
Skytower,https://www.google.com/maps/place/Skytower/data=!4m7!3m6!1s0x80deaa66cd9f2ea7:0x1671a781ee967c3e!8m2!3d32.7654226!4d-117.2266623!16s%2Fg%2F11yhj8s18!19sChIJpy6fzWaq3oARPnyW7oGncRY?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.0,49,-,"500 Sea World Dr., San Diego, CA 92109, United States",seaworld.com
Manta,https://www.google.com/maps/place/Manta/data=!4m7!3m6!1s0x80deaa66b108ccbf:0x23be57ada6797b97!8m2!3d32.7664434!4d-117.2274132!16s%2Fm%2F0gfgm_q!19sChIJv8wIsWaq3oARl3t5pq1XviM?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.6,214,-,"500 Sea World Dr., San Diego, CA 92109, United States",-
Gaslamp Quarter,https://www.google.com/maps/place/Gaslamp+Quarter/data=!4m7!3m6!1s0x80d95359bba39737:0x690b7bc9e8aac83f!8m2!3d32.7116717!4d-117.1598289!16s%2Fg%2F11dzt3fnmk!19sChIJN5eju1lT2YARP8iq6Ml7C2k?authuser=0&hl=en&rclk=1,Theme parks in San Diego California,4.5,60,-,"510 Market St, San Diego, CA 92101, United States",-
