Name,URL,Query,Rating,Reviews,Phone,Address,Website
California's Great America,https://www.google.com/maps/place/California%27s+Great+America/data=!4m7!3m6!1s0x808fc9c6db85b8ab:0x72af1434e8036575!8m2!3d37.3998324!4d-121.9759177!16zL20vMDVtdnpk!19sChIJq7iF28bJj4ARdWUD6DQUr3I?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.4,15258,+1 408-988-1776,"4701 Great America Pkwy, Santa Clara, CA 95054, United States",cagreatamerica.com
Raging Waters San Jose,https://www.google.com/maps/place/Raging+Waters+San+Jose/data=!4m7!3m6!1s0x808e2d5a74995b57:0xe6ec58b946453c67!8m2!3d37.336138!4d-121.813037!16s%2Fg%2F1tfb6syq!19sChIJV1uZdFotjoARZzxFRrlY7OY?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.0,1345,+1 661-200-9260,"2333 S White Rd, San Jose, CA 95148, United States",rwsplash.com
Planet Snoopy,https://www.google.com/maps/place/Planet+Snoopy/data=!4m7!3m6!1s0x808fc9c09a8e0b0d:0x157173b3f05d551a!8m2!3d37.3949269!4d-121.9718436!16s%2Fg%2F1tdd5hm_!19sChIJDQuOmsDJj4ARGlVd8LNzcRU?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.6,288,+1 408-988-1776,"4701 Great America Pkwy, Santa Clara, CA 95054, United States",cagreatamerica.com
The Jungle Island,https://www.google.com/maps/place/The+Jungle+Island/data=!4m7!3m6!1s0x808e3401aabf3943:0x6d32658450be3868!8m2!3d37.2404179!4d-121.9058073!16s%2Fg%2F11cfgh699!19sChIJQzm_qgE0joARaDi-UIRlMm0?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,3.5,552,+1 408-499-2237,"Avanti Shopping Center, 5401 Camden Ave, San Jose, CA 95124, United States",funtropolous.com
California's Great America Passenger Drop Off Area,https://www.google.com/maps/place/California%27s+Great+America+Passenger+Drop+Off+Area/data=!4m7!3m6!1s0x808fc9cf6b6ecd47:0x4bd7b25d9380261d!8m2!3d37.4005684!4d-121.9773816!16s%2Fg%2F11bv18vkvr!19sChIJR81ua8_Jj4ARHSaAk12y10s?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.3,190,+1 408-988-1776,"4911 Great America Pkwy, Santa Clara, CA 95054, United States",cagreatamerica.com
Happy Hollow Park & Zoo,https://www.google.com/maps/place/Happy+Hollow+Park+%26+Zoo/data=!4m7!3m6!1s0x808e332c1367abdf:0x45e46ed9f52f2e85!8m2!3d37.3259432!4d-121.8607856!16zL20vMDUzajFf!19sChIJ36tnEywzjoARhS4v9dlu5EU?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.5,4758,+1 408-794-6400,"748 Story Rd, San Jose, CA 95112, United States",happyhollow.org
Golfland San Jose,https://www.google.com/maps/place/Golfland+San+Jose/data=!4m7!3m6!1s0x808e33d7faf216cf:0xb5a23ca7634eaaa9!8m2!3d37.2496195!4d-121.8675235!16s%2Fg%2F1tls31sh!19sChIJzxby-tczjoARqapOY6c8orU?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.2,1009,+1 408-225-1533,"976 Blossom Hill Rd, San Jose, CA 95123, United States",golfland.com
FUNBOX SAN JOSE,https://www.google.com/maps/place/FUNBOX+SAN+JOSE/data=!4m7!3m6!1s0x808e33924c01bc6b:0x309f82c28ed47d64!8m2!3d37.301665!4d-121.8522536!16s%2Fg%2F11lmcwxxds!19sChIJa7wBTJIzjoARZH3UjsKCnzA?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.5,40,+1 916-548-0783,"344 Tully Rd, San Jose, CA 95111, United States",funbox.com
CaliBunga Waterpark San Jose,https://www.google.com/maps/place/CaliBunga+Waterpark+San+Jose/data=!4m7!3m6!1s0x808e334512c68479:0xc61dfba6ce391348!8m2!3d37.3346794!4d-121.8117869!16s%2Fg%2F11y4brjpz0!19sChIJeYTGEkUzjoARSBM5zqb7HcY?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,3.6,102,+1 408-767-7110,"2333 S White Rd, San Jose, CA 95148, United States",calibunga.com
Great Barrier Reef,https://www.google.com/maps/place/Great+Barrier+Reef/data=!4m7!3m6!1s0x808fc9bf72f62643:0x47d88dd232d7165b!8m2!3d37.3953577!4d-121.9688184!16s%2Fg%2F11c54_gg8c!19sChIJQyb2cr_Jj4ARWxbXMtKN2Ec?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,3.9,31,+1 408-988-1776,"4701 Great America Pkwy, Santa Clara, CA 95054, United States",cagreatamerica.com
Lost Worlds Funtropolous,https://www.google.com/maps/place/Lost+Worlds+Funtropolous/data=!4m7!3m6!1s0x808e351a8dd6a6eb:0xcf91a8db2be13b0e!8m2!3d37.2403436!4d-121.9059744!16s%2Fg%2F11nfqrpxwr!19sChIJ66bWjRo1joARDjvhK9uokc8?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,3.7,177,+1 408-499-2237,"5401 Camden Ave, San Jose, CA 95124, United States",funtropolous.com
NorCal County Fair,https://www.google.com/maps/place/NorCal+County+Fair/data=!4m7!3m6!1s0x808fc9c0560084af:0x8cb0e0e4b0d3191!8m2!3d37.3935818!4d-121.9719714!16s%2Fg%2F1tk1n6y5!19sChIJr4QAVsDJj4ARkTENSw4Oywg?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.3,73,-,"Mission College Blvd, Santa Clara, CA 95054, United States",cagreatamerica.com
Brigadoon Park,https://www.google.com/maps/place/Brigadoon+Park/data=!4m7!3m6!1s0x808e2d8245d75bb1:0x8056be9d2d194af9!8m2!3d37.3062647!4d-121.802796!16s%2Fg%2F11g_ymnx3!19sChIJsVvXRYItjoAR-UoZLZ2-VoA?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.4,461,+1 408-793-5510,"Brigadoon Way, San Jose, CA 95121, United States",-
Luna Park,https://www.google.com/maps/place/Luna+Park/data=!4m7!3m6!1s0x808fcc6327d410f3:0xffee6e986f754f30!8m2!3d37.3611676!4d-121.8898013!16s%2Fg%2F1tds6yft!19sChIJ8xDUJ2PMj4ARME91b5hu7v8?authuser=0&hl=en&rclk=1,Theme parks in San Jose California,4.3,39,+1 408-793-5510,"702 Berryessa Rd, San Jose, CA 95112, United States",sanjoseca.gov
