business_name,address,phone,category,subcategory,query,rating,reviews,google_maps_url,source_file
JET,"2118 S Congress Ave Unit C, Austin, TX 78704, United States",+1 512-825-0766,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,21,https://www.google.com/maps/place/JET/data=!4m7!3m6!1s0x8644b59dacc065fb:0x502b7f569866f998!8m2!3d30.2424094!4d-97.7526732!16s%2Fg%2F11h58_46zb!19sChIJ-2XArJ21RIYRmPlmmFZ_K1A?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"401 W 5th St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50b9abc89e3:0xe36927047e83924e!8m2!3d30.2672784!4d-97.7471537!16s%2Fg%2F11g9jm5rqq!19sChIJ44m8mgu1RIYRTpKDfgQnaeM?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"151 E 2nd St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b507d9b98975:0x7cc8a0e7b8e6d7e3!8m2!3d30.2640988!4d-97.7435393!16s%2Fg%2F11f00f512v!19sChIJdYm52Qe1RIYR49fmuOegyHw?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1 Rainey St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,3.8,10,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5aaf6f3ffc3:0x1783950456e406e5!8m2!3d30.2559638!4d-97.7399329!16s%2Fg%2F11bwfkbvf6!19sChIJw__z9qq1RIYR5QbkVgSVgxc?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"300 E Riverside Dr, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,2.8,5,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5006c530667:0xc7342fb302027c5b!8m2!3d30.2546258!4d-97.742656!16s%2Fg%2F11fx8fynpp!19sChIJZwZTbAC1RIYRW3wCArMvNMc?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"652 W 3rd St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50e3b724cab:0xe21a905898cddce9!8m2!3d30.2677565!4d-97.7517745!16s%2Fg%2F11bxjf3ycn!19sChIJq0xyOw61RIYR6dzNmFiQGuI?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"404 S 1st St, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b504607b972b:0xef4ec620e5d0619b!8m2!3d30.2594173!4d-97.7497108!16s%2Fg%2F11cjk2ht1k!19sChIJK5d7YAS1RIYRm2HQ5SDGTu8?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"99 Rainey St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5a972492b83:0xd4d3cb3e857a021!8m2!3d30.2608192!4d-97.7380778!16s%2Fg%2F11ckz4h35f!19sChIJgytJcqm1RIYRIaBX6LM8TQ0?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1901 E 4th St, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5b69e614e13:0x57cf7b3a5b4c433d!8m2!3d30.2596732!4d-97.7231722!16s%2Fg%2F11bw4xt94h!19sChIJE05hnra1RIYRPUNMWzp7z1c?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2414 E 2nd St, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5cb24bb7a71:0x78a45b2db7981c31!8m2!3d30.2554357!4d-97.7167558!16s%2Fg%2F11fxznxx9m!19sChIJcXq7JMu1RIYRMRyYty1bpHg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1530 Barton Springs Rd, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b51837054557:0xf2c42d5666c3d6b7!8m2!3d30.2619371!4d-97.7611129!16s%2Fg%2F11g9jl_cyb!19sChIJV0UFNxi1RIYRt9bDZlYtxPI?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
